datetime,cpu,mem
Sun Oct 23 23:13:31 GMT 2022,0.1,941699
Sun Oct 23 23:13:32 GMT 2022,7.1,945467
Sun Oct 23 23:13:34 GMT 2022,7.1,1087678
Sun Oct 23 23:13:35 GMT 2022,7.1,1130505
Sun Oct 23 23:13:37 GMT 2022,7.1,1155077
Sun Oct 23 23:13:39 GMT 2022,0.1,1172700
Sun Oct 23 23:13:41 GMT 2022,0.1,1192113
Sun Oct 23 23:13:45 GMT 2022,0.1,1239920
Sun Oct 23 23:13:48 GMT 2022,0.1,1269361
Sun Oct 23 23:13:50 GMT 2022,0.1,1200681
Sun Oct 23 23:13:52 GMT 2022,0.1,1196132
Sun Oct 23 23:13:55 GMT 2022,0.1,1164649
Sun Oct 23 23:13:58 GMT 2022,0.1,1188146
Sun Oct 23 23:14:02 GMT 2022,0.1,1233914
Sun Oct 23 23:14:05 GMT 2022,0.1,1237275
Sun Oct 23 23:14:08 GMT 2022,0.1,1233324
Sun Oct 23 23:14:12 GMT 2022,0.1,1230905
Sun Oct 23 23:14:15 GMT 2022,0.1,1209538
Sun Oct 23 23:14:18 GMT 2022,0.1,1225907
Sun Oct 23 23:14:21 GMT 2022,0.1,1237404
Sun Oct 23 23:14:24 GMT 2022,0.1,1253521
Sun Oct 23 23:14:26 GMT 2022,0.1,1277432
Sun Oct 23 23:14:29 GMT 2022,87,1287015
Sun Oct 23 23:14:32 GMT 2022,87,1321064
Sun Oct 23 23:14:35 GMT 2022,89,1307335
Sun Oct 23 23:14:38 GMT 2022,89,1314700
Sun Oct 23 23:14:41 GMT 2022,96,1317431
Sun Oct 23 23:14:44 GMT 2022,96,1295442
