Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
1,2357912,955738
90,2753367,1351193
189,2832560,1430386
288,2749499,1347325
390,2566438,1164264
495,2849172,1446998
595,3179255,1777081
691,2348598,946424
791,2564307,1162133
899,2952706,1550532
993,3179255,1777081
1097,3241309,1839135
1198,3007898,1605724
1298,3072794,1670620
1401,3570043,2167869
1506,4000936,2598762
1598,3588639,2186465
1700,4329876,2927702
1800,4118151,2715977
1901,2614796,1212622
1996,2651937,1249763
2097,2636008,1233834
2197,1681192,279018
2298,1479565,77391
2400,1668053,265879
2501,1540065,137891
2603,1498782,96608
2702,1436136,33962
2803,1969742,567568
2904,1471987,69813
3003,2024994,622820
3103,1383118,0
3205,2668375,1266201
3306,3011449,1609275
3410,2779326,1377152
3509,2932578,1530404
3612,2638604,1236430
3710,2502372,1100198
3814,2815177,1413003
3914,3255836,1853662
4011,2984918,1582744
4112,2822008,1419834
4211,2334061,931887
4320,3080883,1678709
4432,2505210,1103036
4545,2251468,849294
4625,2195182,793008
4715,2251468,849294
4819,2138895,736721
4923,2127638,725464
5025,2251468,849294
5125,2251468,849294
5224,2144524,742350
5325,2183924,781750
5429,2082608,680434
5528,2178296,776122
5632,2195182,793008
5726,2195182,793008
5835,2195182,793008
5952,2144524,742350
6028,2251468,849294
6128,2144524,742350
6234,2251468,849294
6336,2195182,793008
6435,2251468,849294
6531,2195182,793008
6631,2122009,719835
6731,2251468,849294
6833,2138895,736721
6933,2088237,686063
7043,2155781,753607
7133,2167038,764864
7254,2155781,753607
7342,2251468,849294
7445,2155781,753607
7536,2251468,849294
7640,2144524,742350
7738,2251468,849294
7852,2150152,747978
7944,2178296,776122
8051,2178296,776122
8138,2138895,736721
8260,2026321,624147
8354,2251468,849294
8441,2144524,742350
8548,2110752,708578
8650,2183924,781750
8743,2127638,725464
8849,2138895,736721
8942,2144524,742350
9049,2138895,736721
9150,2251468,849294
9245,2251468,849294
9345,2251468,849294
9447,2195182,793008
9549,2110752,708578
9656,2195182,793008
9749,2054465,652291
9855,2200810,798636
9964,2195182,793008
10055,2251468,849294
10166,2138895,736721
10269,2251468,849294
10365,2251468,849294
10458,2127638,725464
10564,2251468,849294
10658,2195182,793008
10768,2200810,798636
10893,2251468,849294
10967,2251468,849294
11096,2251468,849294
11175,2251468,849294
11264,2195182,793008
11374,2195182,793008
11473,2183924,781750
11582,2195182,793008
11670,2183924,781750
11768,2195182,793008
11868,2122009,719835
11970,1874347,472173
