datetime,cpu,mem
Sun Oct 23 10:12:57 GMT 2022,0,1205940
Sun Oct 23 10:12:58 GMT 2022,0,1206287
Sun Oct 23 10:12:59 GMT 2022,0,1206203
Sun Oct 23 10:13:01 GMT 2022,0,1212380
Sun Oct 23 10:13:02 GMT 2022,0,1201167
Sun Oct 23 10:13:03 GMT 2022,45,1198579
Sun Oct 23 10:13:05 GMT 2022,45,1199149
Sun Oct 23 10:13:06 GMT 2022,45,1196582
Sun Oct 23 10:13:07 GMT 2022,45,1206765
Sun Oct 23 10:13:08 GMT 2022,30,1191330
Sun Oct 23 10:13:10 GMT 2022,30,1190582
Sun Oct 23 10:13:11 GMT 2022,30,1191726
Sun Oct 23 10:13:13 GMT 2022,30,1192007
Sun Oct 23 10:13:14 GMT 2022,0,1190922
Sun Oct 23 10:13:16 GMT 2022,0,1190602
Sun Oct 23 10:13:18 GMT 2022,0,1191626
Sun Oct 23 10:13:19 GMT 2022,0,1191555
Sun Oct 23 10:13:20 GMT 2022,0,1188662
Sun Oct 23 10:13:22 GMT 2022,0,1189127
Sun Oct 23 10:13:23 GMT 2022,0,1190279
Sun Oct 23 10:13:25 GMT 2022,0,1192752
Sun Oct 23 10:13:26 GMT 2022,0.1,1190127
Sun Oct 23 10:13:28 GMT 2022,0.1,1190295
Sun Oct 23 10:13:29 GMT 2022,0.1,1185668
Sun Oct 23 10:13:30 GMT 2022,0.1,1188057
Sun Oct 23 10:13:32 GMT 2022,0,1185872
Sun Oct 23 10:13:33 GMT 2022,0,1183308
Sun Oct 23 10:13:35 GMT 2022,0,1185532
Sun Oct 23 10:13:37 GMT 2022,0,1187317
Sun Oct 23 10:13:38 GMT 2022,33,1184040
Sun Oct 23 10:13:39 GMT 2022,33,1184196
Sun Oct 23 10:13:41 GMT 2022,33,1184420
Sun Oct 23 10:13:42 GMT 2022,33,1185757
Sun Oct 23 10:13:43 GMT 2022,26,1180112
Sun Oct 23 10:13:45 GMT 2022,26,1180752
Sun Oct 23 10:13:46 GMT 2022,26,1184992
Sun Oct 23 10:13:48 GMT 2022,26,1186733
Sun Oct 23 10:13:50 GMT 2022,0,1186727
Sun Oct 23 10:13:51 GMT 2022,0,1185388
Sun Oct 23 10:13:53 GMT 2022,0,1183896
Sun Oct 23 10:13:54 GMT 2022,0,1186077
Sun Oct 23 10:13:56 GMT 2022,29,1186172
Sun Oct 23 10:13:58 GMT 2022,29,1184816
Sun Oct 23 10:13:59 GMT 2022,29,1185936
Sun Oct 23 10:14:00 GMT 2022,29,1187777
Sun Oct 23 10:14:01 GMT 2022,0,1186240
Sun Oct 23 10:14:03 GMT 2022,0,1187300
Sun Oct 23 10:14:05 GMT 2022,0,1187749
Sun Oct 23 10:14:07 GMT 2022,0,1186672
Sun Oct 23 10:14:08 GMT 2022,0,1186606
Sun Oct 23 10:14:10 GMT 2022,0,1172659
