Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
61,2155206,852865
162,1314009,11668
261,1928407,626066
362,2231814,929473
463,2064639,762298
564,3393870,2091529
663,4047002,2744661
764,2546744,1244403
864,854137,0
967,1775752,473411
1067,1136699,0
1168,2465145,1162804
1271,2616808,1314467
1369,3887464,2585123
1471,4306681,3004340
1571,5261424,3959083
1676,6257439,4955098
1772,4536265,3233924
1872,3812772,2510431
1974,3184022,1881681
2073,2623077,1320736
2177,2906606,1604265
2280,3757442,2455101
2376,1952791,650450
2476,2955157,1652816
2576,2588821,1286480
2678,4081027,2778686
2778,3243816,1941475
2878,3041858,1739517
2979,2416624,1114283
3079,2319745,1017404
3179,1994281,691940
3282,1246068,0
3380,1317460,15119
3481,2106191,803850
3583,1201913,0
3682,1501110,198769
3782,1785754,483413
3887,1435171,132830
3988,296123,0
4084,1891879,589538
4184,1332716,30375
4289,1529105,226764
4387,1195475,0
4486,1456821,154480
4588,1379073,76732
4687,1429564,127223
4789,1399481,97140
4891,1210519,0
4990,1409015,106674
5093,1154725,0
5191,1471658,169317
5292,1701539,399198
5395,1254796,0
5493,1637491,335150
5594,1095953,0
5701,1208440,0
5796,2124700,822359
5896,3677127,2374786
5999,1313748,11407
6098,1481217,178876
6200,1324321,21980
6301,1310356,8015
6400,508446,0
6502,1075297,0
6602,1400071,97730
6702,1639319,336978
6803,1281104,0
6905,1121994,0
7006,1244607,0
7108,1221709,0
7206,2298608,996267
7307,1244484,0
7407,1517441,215100
7509,1367744,65403
7608,1387746,85405
7710,1428161,125820
7809,2037359,735018
7910,551916,0
8012,1126490,0
8113,1446957,144616
8213,1217123,0
8314,1327669,25328
8414,1458297,155956
8515,1428570,126229
8620,1928455,626114
8716,934490,0
8816,1230954,0
8917,1470616,168275
9018,1289076,0
9118,1248367,0
9220,1310916,8575
9320,1233295,0
9421,1238875,0
9521,1413907,111566
9623,1667346,365005
9724,1654475,352134
9824,2326908,1024567
9923,1425412,123071
10025,1324000,21659
10124,2055988,753647
10227,1391211,88870
10335,1960430,658089
10427,1757548,455207
10529,1861553,559212
10629,1973500,671159
10730,2099997,797656
10831,1580423,278082
10931,1435634,133293
11033,1198703,0
11133,2182478,880137
11232,2035115,732774
11336,1253010,0
11435,1364815,62474
11540,948176,0
11636,82063,0
11739,1243353,0
11840,1712059,409718
11940,1550807,248466
12041,1216007,0
12142,1420702,118361
12242,2399675,1097334
12343,1323354,21013
12443,1320433,18092
12546,1266430,0
12644,1301654,0
12744,1466996,164655
12850,1110696,0
12945,1717472,415131
13047,1346248,43907
13147,1390142,87801
13198,1495764,193423
13297,1676694,374353
13397,1812739,510398
13499,1311284,8943
13603,1028761,0
13699,1454398,152057
13802,1169959,0
13902,1266059,0
14002,1480018,177677
14104,1163434,0
14205,1419999,117658
14304,1510254,207913
14410,737795,0
14505,977457,0
14605,1576914,274573
14706,1290269,0
14809,1104345,0
14907,1526653,224312
15010,1375356,73015
15110,1171152,0
15210,497180,0
15310,1440446,138105
15411,1414172,111831
15511,1366754,64413
15612,1272271,0
15712,1293574,0
15813,1374700,72359
15917,1767414,465073
16015,1058003,0
16114,1338990,36649
16217,1374307,71966
16316,1432262,129921
16416,1860648,558307
16519,1343571,41230
16619,1049767,0
16719,1198495,0
16820,1314856,12515
16919,1429077,126736
17022,1351233,48892
17121,1360224,57883
17222,1213045,0
17324,869417,0
17427,991238,0
17524,926852,0
17628,1282137,0
17724,1303140,799
17825,1436728,134387
17925,1518243,215902
18026,1060826,0
18127,1265709,0
18229,1544738,242397
18328,1250900,0
18430,1277202,0
18529,1575045,272704
18631,1337604,35263
18732,2100489,798148
18831,2043030,740689
18936,793505,0
19033,783346,0
19136,857278,0
19233,1561263,258922
19337,1184326,0
19435,1279611,0
19537,1642494,340153
19639,652137,0
19739,691439,0
19840,738210,0
19941,624240,0
20042,637630,0
20143,728903,0
20244,697265,0
20347,657716,0
20446,725457,0
20546,724095,0
20645,1190442,0
20747,988357,0
20848,882035,0
20950,862087,0
21049,873491,0
21151,819429,0
21252,713965,0
21353,683874,0
21453,727393,0
21555,703960,0
21654,645441,0
21762,765727,0
21856,768304,0
21958,652137,0
22060,664855,0
22160,688826,0
22259,1096071,0
22359,1786805,484464
22461,998808,0
22560,841891,0
22660,1135603,0
22760,1399942,97601
22861,1466129,163788
22961,1794733,492392
23062,1258844,0
23163,1117526,0
23264,1354435,52094
23367,1238324,0
23465,1237295,0
23572,1137466,0
23667,1379088,76747
23770,1314068,11727
23870,1298128,0
23970,554115,0
24075,1116184,0
24170,1493461,191120
24271,1446815,144474
24372,1270950,0
24472,1319802,17461
24573,1308580,6239
24674,1175846,0
24775,1344114,41773
24877,1193666,0
24976,1368414,66073
25078,1130010,0
25179,1327654,25313
25279,1201766,0
25381,939597,0
25482,1041711,0
25581,928752,0
25680,1355059,52718
25780,1639717,337376
25881,1446181,143840
25985,1257818,0
26083,1457612,155271
26185,1852126,549785
26286,1143400,0
26387,1344392,42051
26487,1224368,0
26588,1133357,0
26689,1271800,0
26790,1156791,0
26889,859842,0
26995,942475,0
27090,1466411,164070
27191,1421246,118905
27293,1444825,142484
27392,1335111,32770
27493,1396311,93970
27593,1455520,153179
27693,1404929,102588
27794,1370467,68126
27896,1323129,20788
27996,1175993,0
28097,1179086,0
28198,1333233,30892
28297,548154,0
28403,864194,0
28500,1363895,61554
28601,1328275,25934
28700,1307848,5507
28753,1111040,0
28853,1429272,126931
28955,1209866,0
29054,182954,0
29153,1630068,327727
29254,1241964,0
29357,1241672,0
29458,1142284,0
29558,1240065,0
29659,1230485,0
29759,1305649,3308
29864,1287589,0
29964,1029090,0
30061,1308183,5842
30161,1366380,64039
30262,1475032,172691
30364,1295101,0
30465,1339450,37109
30563,1311835,9494
30664,1370505,68164
30765,1362138,59797
30866,1250477,0
30967,1361362,59021
31068,1307848,5507
31169,1111339,0
31269,816002,0
31374,797260,0
31470,1544921,242580
31570,1567793,265452
31670,2243891,941550
31770,3221788,1919447
31871,2014067,711726
31973,1308844,6503
32072,1375583,73242
32173,1374283,71942
32276,1374163,71822
32374,1364443,62102
32475,1769908,467567
32577,1112156,0
32678,764300,0
32782,1723880,421539
32878,1355050,52709
32978,756978,0
33078,1822442,520101
33180,1350270,47929
33279,1507314,204973
33383,1348974,46633
33481,1409865,107524
33582,1512796,210455
33682,2050299,747958
33783,2085475,783134
33883,2020149,717808
33983,2132227,829886
34084,1737578,435237
34186,1851299,548958
34286,1443672,141331
34385,2045770,743429
34485,1852006,549665
34586,1368571,66230
34688,1296975,0
34789,1298961,0
34889,1364367,62026
34991,1358119,55778
35090,1418529,116188
35192,1474653,172312
35293,1404105,101764
35395,1232619,0
35493,1272594,0
35596,1220017,0
35696,780883,0
35795,769729,0
35895,697454,0
35997,1228281,0
36100,1261757,0
36201,1126662,0
36302,1475039,172698
36402,1405831,103490
36506,1270682,0
36608,714733,0
36708,703960,0
36811,784025,0
36909,812020,0
37011,622008,0
