datetime,cpu,mem
Sun Oct 23 10:05:24 GMT 2022,5,1202979
Sun Oct 23 10:05:25 GMT 2022,31,1202616
Sun Oct 23 10:05:27 GMT 2022,31,1253783
Sun Oct 23 10:05:28 GMT 2022,31,1296241
Sun Oct 23 10:05:30 GMT 2022,31,1287267
Sun Oct 23 10:05:31 GMT 2022,49,1282430
Sun Oct 23 10:05:33 GMT 2022,49,1280838
Sun Oct 23 10:05:34 GMT 2022,49,1274032
Sun Oct 23 10:05:36 GMT 2022,49,1277344
Sun Oct 23 10:05:37 GMT 2022,0,1274864
Sun Oct 23 10:05:39 GMT 2022,0,1273314
Sun Oct 23 10:05:40 GMT 2022,0,1197681
Sun Oct 23 10:05:42 GMT 2022,0,1199118
Sun Oct 23 10:05:43 GMT 2022,0,1197497
Sun Oct 23 10:05:45 GMT 2022,0,1198217
Sun Oct 23 10:05:46 GMT 2022,0,1195861
Sun Oct 23 10:05:48 GMT 2022,0,1196974
Sun Oct 23 10:05:49 GMT 2022,32,1195789
Sun Oct 23 10:05:50 GMT 2022,32,1196785
Sun Oct 23 10:05:52 GMT 2022,32,1195293
Sun Oct 23 10:05:53 GMT 2022,32,1197766
Sun Oct 23 10:05:55 GMT 2022,0,1195909
Sun Oct 23 10:05:57 GMT 2022,0,1196953
Sun Oct 23 10:05:58 GMT 2022,0,1196109
Sun Oct 23 10:06:00 GMT 2022,0,1197940
Sun Oct 23 10:06:01 GMT 2022,0,1196311
Sun Oct 23 10:06:02 GMT 2022,0,1197383
Sun Oct 23 10:06:04 GMT 2022,0,1196635
Sun Oct 23 10:06:06 GMT 2022,0,1197218
Sun Oct 23 10:06:07 GMT 2022,34,1196931
Sun Oct 23 10:06:09 GMT 2022,34,1196339
Sun Oct 23 10:06:10 GMT 2022,34,1197399
Sun Oct 23 10:06:11 GMT 2022,34,1197770
Sun Oct 23 10:06:13 GMT 2022,27,1197709
Sun Oct 23 10:06:14 GMT 2022,27,1196917
Sun Oct 23 10:06:15 GMT 2022,27,1197639
Sun Oct 23 10:06:17 GMT 2022,27,1197372
Sun Oct 23 10:06:19 GMT 2022,35,1196815
Sun Oct 23 10:06:20 GMT 2022,35,1197195
Sun Oct 23 10:06:21 GMT 2022,35,1197383
Sun Oct 23 10:06:23 GMT 2022,35,1199084
Sun Oct 23 10:06:25 GMT 2022,0,1198271
Sun Oct 23 10:06:26 GMT 2022,0,1198303
Sun Oct 23 10:06:28 GMT 2022,0,1199960
Sun Oct 23 10:06:30 GMT 2022,0,1199267
Sun Oct 23 10:06:31 GMT 2022,0,1198759
Sun Oct 23 10:06:33 GMT 2022,0,1197487
Sun Oct 23 10:06:34 GMT 2022,0,1198804
Sun Oct 23 10:06:36 GMT 2022,15,1197407
Sun Oct 23 10:06:37 GMT 2022,15,1178991
