Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
3,2155206,612784
90,2332195,789773
190,2537778,995356
291,2262464,720042
391,2317855,775433
491,2000108,457686
592,1851973,309551
692,1792523,250101
792,2520587,978165
894,2865666,1323244
997,3984180,2441758
1096,4296231,2753809
1197,3947085,2404663
1302,3463745,1921323
1399,3066642,1524220
1503,4217700,2675278
1606,2694939,1152517
1703,3780185,2237763
1806,2133964,591542
1900,3411674,1869252
2001,2464713,922291
2101,2740682,1198260
2201,2119037,576615
2300,2924335,1381913
2401,3016608,1474186
2503,2777814,1235392
2608,2712340,1169918
2707,2749104,1206682
2809,3331706,1789284
2906,3516556,1974134
3013,3391053,1848631
3106,2421635,879213
3208,3873426,2331004
3309,2034520,492098
3407,3354908,1812486
3508,3468768,1926346
3606,2250066,707644
3707,1700956,158534
3809,1721406,178984
3909,1827118,284696
4009,2072066,529644
4109,2719237,1176815
4210,2863733,1321311
4310,2648271,1105849
4411,1286633,0
4513,1966666,424244
4617,2810706,1268284
4715,2748651,1206229
4813,2551509,1009087
4914,1772465,230043
5014,1250122,0
5115,1873920,331498
5215,1379183,0
5315,1309024,0
5416,1157985,0
5519,963318,0
5620,632527,0
5722,825331,0
5819,753453,0
5920,656600,0
6021,802213,0
6123,1658628,116206
6221,1044656,0
6322,1201940,0
6423,904055,0
6523,851045,0
6624,761384,0
6728,722833,0
6825,1658817,116395
6927,1668861,126439
7026,1256218,0
7127,1043263,0
7227,963403,0
7328,891659,0
7432,853284,0
7529,2400280,857858
7630,1163474,0
7731,790092,0
7831,682747,0
7932,575504,0
8036,991591,0
8133,1053919,0
8232,1214878,0
8333,1295151,0
8433,1187132,0
8534,1121060,0
8635,921371,0
8736,893158,0
8835,1020679,0
8937,907973,0
9036,1000242,0
9139,578543,0
9242,1001651,0
9340,1207101,0
9442,920297,0
9542,905913,0
9643,1728440,186018
9748,822929,0
9844,1398496,0
9944,1350503,0
10045,1308208,0
10145,1612226,69804
10246,1492343,0
10347,1175199,0
10448,1017575,0
10549,799931,0
10648,1229685,0
10753,994007,0
10850,1225566,0
10950,1045969,0
11052,1332871,0
11154,627863,0
11255,923417,0
11355,1179495,0
11456,1113890,0
11559,643703,0
11658,703560,0
11760,1294744,0
11858,937499,0
11958,1711951,169529
12059,1083390,0
12161,775180,0
12261,781597,0
12361,786438,0
12463,737356,0
12562,903413,0
12665,786584,0
12763,1156910,0
12867,1075424,0
12965,816821,0
13064,898787,0
13166,806657,0
13266,1015517,0
13369,820397,0
13468,984828,0
13569,1050197,0
13671,962598,0
13769,656975,0
13869,1093651,0
13970,1018114,0
14073,776747,0
14171,829002,0
14273,715736,0
14375,747873,0
14474,816628,0
14575,801978,0
14677,698380,0
14779,677179,0
14878,654312,0
14980,699496,0
15080,699496,0
15182,722930,0
15253,815073,0
15332,777305,0
15430,1409505,0
15531,1103853,0
15632,944744,0
15733,976788,0
15835,742731,0
15937,756853,0
16036,741505,0
16140,657716,0
16239,732985,0
16339,719593,0
16445,794646,0
16541,1888260,345838
16641,1780709,238287
16743,1780709,238287
16842,702503,0
16945,943455,0
17045,1021671,0
17145,938322,0
17247,774206,0
17348,527069,0
17447,656666,0
17547,1021671,0
17648,812217,0
17749,827178,0
17848,841476,0
17951,858355,0
18049,1038996,0
18149,1054250,0
18252,901983,0
18352,766919,0
18453,784700,0
18551,1232132,0
18653,1231629,0
18753,1276264,0
18855,1257294,0
18957,1158054,0
19059,690565,0
19160,1058949,0
19257,674382,0
19356,1046780,0
19457,1276704,0
19561,1253946,0
19661,1156791,0
19761,1233968,0
19863,1271235,0
19961,1358103,0
20063,1312708,0
20163,1113272,0
20265,1341044,0
20367,1160138,0
20467,1525679,0
20571,1217702,0
20667,1456650,0
20767,1310176,0
20867,1337635,0
20970,1262873,0
21069,1126662,0
21172,1263989,0
21277,1251715,0
21371,1449894,0
21473,1664321,121899
21572,2167283,624861
21672,2113361,570939
21773,2035958,493536
21873,923578,0
21979,942877,0
22077,1437213,0
22175,1488316,0
22276,1217009,0
22377,1212383,0
22479,687476,0
22581,303320,0
22681,697765,0
22783,703960,0
22883,701728,0
22984,782304,0
23085,673338,0
23186,729625,0
23286,687222,0
23388,712887,0
23488,705076,0
23588,645441,0
23687,1083497,0
23792,1221290,0
23890,742119,0
23989,983351,0
24089,898426,0
24190,1018114,0
24290,899861,0
24392,1159911,0
24492,755814,0
24594,817172,0
24695,782675,0
24795,664927,0
24894,838938,0
24997,968310,0
25098,742343,0
25196,684497,0
25299,726277,0
25399,705076,0
25502,609960,0
25604,657533,0
25705,1348789,0
25803,1118157,0
25902,747386,0
26003,825944,0
26104,690915,0
26205,757705,0
26308,788923,0
26408,748753,0
26508,750373,0
26609,712345,0
26709,249104,0
26812,753453,0
26911,659948,0
27011,656603,0
27113,732553,0
27214,774673,0
27315,683601,0
27419,825523,0
27516,1048317,0
27616,869169,0
27716,1158040,0
27817,1387467,0
27918,1240540,0
28018,1146828,0
28122,1274032,0
28222,1161254,0
28323,1230513,0
28426,1348855,0
28523,1452811,0
28624,1496820,0
28725,1234839,0
28826,1362880,0
28928,722342,0
29033,582146,0
29128,1530605,0
29228,1582767,40345
29329,1431220,0
29429,1315163,0
29529,1422239,0
29630,1247177,0
29732,1242694,0
29831,1281040,0
29933,1299748,0
30033,1346558,0
30134,1316915,0
30235,1289624,0
30335,787155,0
30437,805800,0
30538,1077976,0
30638,872061,0
30690,908400,0
30789,788199,0
30890,748753,0
30991,729625,0
31093,715147,0
31192,774343,0
31292,702187,0
31393,766243,0
31494,781153,0
31597,287120,0
31696,681642,0
31802,688826,0
31897,956824,0
31999,921540,0
32099,704288,0
32199,907740,0
32299,962199,0
32804,628163,0
34512,1333129,0
36123,995435,0
37634,744197,0
39040,902974,0
40302,630798,0
41514,506838,0
42523,1042382,0
43327,883654,0
43933,1094948,0
44336,939227,0
44536,1149391,0
44640,1130414,0
44736,1271800,0
44839,1257294,0
44938,1262873,0
45040,1252265,0
45141,1169065,0
45242,1396576,0
45342,1117435,0
45444,1274583,0
45544,1234976,0
45647,748744,0
45750,890722,0
45845,397522,0
45946,1924581,382159
46045,1280800,0
46146,1286835,0
46247,1319515,0
46350,1370688,0
46450,1307848,0
46549,1132242,0
46653,1261757,0
46752,1362246,0
46852,1183572,0
46955,1319658,0
47060,1473552,0
47159,905526,0
47254,979365,0
47355,1435433,0
47455,1274234,0
47557,1127246,0
47658,1268968,0
47759,1311820,0
47860,1370034,0
47959,1182326,0
48060,1265728,0
48162,1286788,0
48262,1285900,0
48364,1236092,0
48464,1190267,0
48569,1263785,0
48665,1082343,0
48767,867074,0
48868,771118,0
48967,719087,0
49069,775770,0
49171,651021,0
49269,824196,0
49371,834683,0
49472,702844,0
49574,753613,0
49623,773053,0
49724,740759,0
49825,714083,0
49926,752935,0
50026,697327,0
50126,943981,0
50227,745291,0
50326,1055819,0
50426,615473,0
50531,1122194,0
50629,799828,0
50728,802075,0
50830,743098,0
50929,1019704,0
51030,733593,0
51131,780764,0
51233,645441,0
51335,819703,0
51435,710655,0
51536,129934,0
51635,801883,0
51737,747133,0
51839,705013,0
51937,644732,0
52039,764623,0
52140,711771,0
52239,748597,0
52341,1104129,0
52444,1016997,0
52540,388378,0
52641,704044,0
52745,786498,0
52842,868258,0
52944,930174,0
53044,710889,0
53146,706245,0
53246,791392,0
53345,758473,0
53448,603367,0
53549,751993,0
53649,655207,0
53750,701728,0
53851,735793,0
53952,755684,0
54052,644325,0
54157,745178,0
54254,1448243,0
54354,871240,0
54455,1374161,0
54554,872061,0
54654,1376583,0
54754,1355059,0
54855,1436207,0
54955,1363142,0
55058,1067502,0
55158,369148,0
55260,1224934,0
55360,1153443,0
55461,1334334,0
55561,1163486,0
55663,1249483,0
55761,1056235,0
55863,1258304,0
55962,1360046,0
56063,1540934,0
56163,1360046,0
56264,1300202,0
56364,2674010,1131588
56465,2554088,1011666
56566,1302607,0
56667,1872846,330424
56767,2293385,750963
56868,1508484,0
56969,1444902,0
57070,1148508,0
57170,871960,0
57271,764181,0
57371,1114477,0
57472,941892,0
57574,993179,0
57676,856463,0
57779,714733,0
57876,850921,0
57976,747097,0
58079,727393,0
58180,686681,0
58279,721921,0
58383,663295,0
58481,746757,0
58582,700612,0
58685,726277,0
58783,692310,0
58885,728630,0
58985,717973,0
59086,657716,0
59188,548490,0
59290,900587,0
59387,1210463,0
59487,822191,0
59590,868504,0
59689,906970,0
59789,829473,0
59893,780408,0
59991,890353,0
60092,996332,0
60195,697327,0
60295,756800,0
60395,698380,0
60496,647673,0
60598,693917,0
60700,689697,0
60799,676634,0
60904,736320,0
61002,700563,0
61102,462022,0
61206,1088780,0
61305,987295,0
61406,979388,0
61507,848977,0
61610,884108,0
61708,741943,0
61811,695033,0
61910,659948,0
62011,688338,0
62112,765777,0
62213,718466,0
62313,773588,0
62415,662179,0
62515,773538,0
62618,697265,0
63322,734522,0
65984,1115501,0
68504,536594,0
70825,897524,0
,,
,,
