Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,3544670,678657
95,3397433,531420
196,2864235,0
297,3302622,436609
389,3160360,294347
490,2666637,0
591,1643943,0
691,2088412,0
792,1801863,0
893,2021618,0
994,3640416,774403
1096,2391349,0
1202,3599962,733949
1301,4604050,1738037
1407,2941090,75077
1504,2991359,125346
1605,3092663,226650
1704,2550036,0
1806,2781709,0
1905,2731395,0
2005,2789800,0
2105,2828981,0
2206,3387712,521699
2302,3146260,280247
2402,3085520,219507
2503,4214786,1348773
2605,3573547,707534
2706,1900694,0
2814,1289634,0
2908,1636321,0
3011,2647194,0
3111,3284262,418249
3210,2113037,0
3310,2523053,0
3413,1788402,0
3512,2533613,0
3611,2789670,0
3714,1917067,0
3815,2769303,0
3913,2354373,0
4017,1616997,0
4111,1814063,0
4211,2550246,0
4316,2585818,0
4423,2174491,0
4521,2384632,0
4617,2492184,0
4718,2148019,0
4818,2485013,0
4921,1949142,0
5023,3004882,138869
5121,2578225,0
5221,1669773,0
5326,1348591,0
5423,2473692,0
5520,2191040,0
5626,1638942,0
5723,1401196,0
5826,1932916,0
5923,1733700,0
6027,1524221,0
6127,2155189,0
6224,2054808,0
6326,1475535,0
6426,2607657,0
6525,1724984,0
6627,807211,0
6729,1646112,0
6831,2321383,0
6934,2875291,9278
7032,3180513,314500
7136,3245043,379030
7234,2853707,0
7332,2578564,0
7432,2415463,0
7538,2349121,0
7634,2386782,0
7736,1943105,0
7833,1727811,0
7937,2406895,0
8034,2809818,0
8136,2007975,0
8236,1610262,0
8339,2100847,0
8446,1955946,0
8546,2195182,0
8643,2183924,0
8742,1936263,0
8879,2054465,0
8947,2178296,0
9045,2043207,0
9152,1874347,0
9244,1626686,0
9346,1125734,0
9446,996274,0
9547,1035675,0
9650,1001903,0
9749,1255193,0
9856,2054465,0
9948,2195182,0
10048,1857461,0
10150,1424054,0
10251,1401539,0
10352,1576028,0
10451,1604171,0
10555,1260822,0
10659,1666086,0
10753,1750516,0
10886,1457826,0
10973,2251468,0
11058,2122009,0
11164,1350881,0
11262,1744888,0
11359,1744888,0
11457,883701,0
11557,635088,0
11658,944731,0
11755,874948,0
11857,824101,0
11957,1002820,0
12056,849906,0
12157,718099,0
12260,574971,0
12360,651965,0
12458,898684,0
12562,417588,0
12659,843340,0
12761,609753,0
12867,668851,0
12962,1158545,0
13066,651955,0
13163,811445,0
13264,747652,0
13367,495801,0
13465,766416,0
13565,553466,0
13667,448775,0
13768,615382,0
13868,545031,0
13967,654794,0
14068,922141,0
14168,801128,0
14270,417438,0
14370,732644,0
14471,614442,0
14574,434799,0
14673,616376,0
14774,569707,0
14875,443340,0
14975,526737,0
15076,1396827,0
15176,785047,0
15277,551577,0
15378,722304,0
15479,447012,0
15582,461580,0
15629,912729,0
15729,698191,0
15831,735886,0
15932,521877,0
16031,696038,0
16132,532114,0
16231,933419,0
16334,758446,0
16434,610502,0
16535,584409,0
16635,501050,0
16736,526392,0
16837,466452,0
16937,443590,0
17038,460464,0
17141,451726,0
17240,437792,0
17341,507803,0
17442,529632,0
17542,619776,0
17642,750105,0
17743,613081,0
17845,726018,0
17945,721050,0
18047,727693,0
18148,805504,0
18249,523003,0
18352,549414,0
18454,932642,0
18557,961827,0
18657,921931,0
18760,855072,0
18861,858355,0
18963,931905,0
19059,996274,0
19154,1131363,0
19255,813044,0
19357,741573,0
19456,648727,0
19557,970456,0
19657,1098052,0
19758,947946,0
19860,780037,0
19959,678375,0
20063,372131,0
20165,842657,0
20262,991293,0
20363,913510,0
20464,814332,0
20566,789364,0
20666,1673540,0
20766,1153877,0
20868,1018789,0
20968,867074,0
21069,1003299,0
21170,761057,0
21271,819675,0
21371,722833,0
21473,666547,0
21574,711771,0
21675,720792,0
21774,619476,0
21875,969984,0
21979,922044,0
22076,966527,0
22178,968131,0
22278,766919,0
22378,773042,0
22481,677887,0
22580,735793,0
22681,780823,0
22781,706633,0
22882,743893,0
22982,761713,0
23083,743893,0
23186,706633,0
23283,1076456,0
23384,1288965,0
23489,923102,0
23585,1041304,0
23686,928730,0
23791,985664,0
23896,606790,0
23988,1182021,0
24089,1210164,0
24189,962502,0
24290,1058190,0
24390,979388,0
24491,990646,0
24592,1075076,0
24692,1125734,0
24792,1136991,0
24893,1103219,0
24993,1063819,0
25093,1052561,0
25195,990646,0
25294,1075076,0
25395,1108848,0
25499,1083014,0
25605,1193278,0
25696,1041304,0
25797,1165135,0
25898,883701,0
25999,655732,0
26103,704503,0
26204,696099,0
26305,682758,0
26407,744131,0
26508,683874,0
26607,721814,0
26707,1401539,0
26807,984635,0
26908,1067984,0
27010,868677,0
27110,651967,0
27211,573770,0
27314,833043,0
27417,1007532,0
27511,843349,0
27613,745186,0
27715,671550,0
27816,708857,0
27916,681859,0
28017,717350,0
28117,667759,0
28218,701728,0
28319,690569,0
28421,684472,0
28521,719582,0
28623,644325,0
28724,671876,0
28823,703632,0
28925,722930,0
29025,428975,0
29127,824285,0
29226,867867,0
29339,926918,0
29434,1227050,0
29487,887022,0
29585,1097591,0
29679,951245,0
29780,816145,0
29881,735735,0
29982,734173,0
30083,705427,0
30186,282425,0
30284,1385723,0
30386,736876,0
30486,756393,0
30586,747133,0
30687,719593,0
30788,756523,0
30887,1221152,0
30991,962502,0
31101,888223,0
31201,837152,0
31299,495323,0
31389,856016,0
31491,719582,0
31592,705427,0
31695,751221,0
31794,693917,0
31897,692801,0
31996,681642,0
32096,691685,0
32197,758473,0
32298,755233,0
32398,2228954,0
32497,2150152,0
32599,1148249,0
32699,1193278,0
32803,932783,0
32906,978600,0
33001,946866,0
33101,770711,0
33202,808805,0
33304,741362,0
33405,720445,0
33503,1432036,0
33603,1272079,0
33704,1084446,0
33805,789282,0
33905,1256849,0
34007,818025,0
34106,785829,0
34207,751730,0
34309,733824,0
34410,771433,0
34513,456864,0
34617,924396,0
34719,838672,0
34811,896996,0
34913,775388,0
35014,669787,0
35113,808574,0
35217,674021,0
35318,690568,0
35416,648216,0
35518,757916,0
35619,717350,0
35718,634283,0
35820,705076,0
35920,708374,0
36023,694052,0
36123,636894,0
36223,627094,0
36326,725582,0
36424,871217,0
36534,1006744,0
36625,962502,0
36729,928990,0
36827,898426,0
36928,822712,0
37030,848977,0
37129,773042,0
37232,733077,0
37331,681544,0
37434,237551,0
37531,1390281,0
37633,828608,0
37734,898426,0
37834,761392,0
37935,717130,0
38036,1162737,0
38134,1097591,0
38240,954510,0
38338,882035,0
38438,899165,0
38542,697464,0
38639,748753,0
38740,798643,0
38842,618605,0
38946,764611,0
39044,699496,0
39146,652137,0
39245,697536,0
39347,790543,0
39447,717350,0
39548,716234,0
39650,721764,0
39750,600806,0
39853,761383,0
39955,378414,0
40055,926058,0
40159,1038075,0
40251,1103219,0
40352,1097591,0
40452,1024418,0
40553,1075076,0
40653,1052561,0
40754,1041304,0
40854,1013160,0
40955,1075076,0
41055,1103219,0
41155,1198907,0
41255,1379024,0
41356,1024418,0
41457,979388,0
41557,1091962,0
41658,951245,0
41762,809422,0
41865,1158400,0
41960,1035675,0
42059,1182021,0
42160,1069447,0
42260,1024418,0
42361,1041304,0
42462,1097591,0
42561,1030046,0
42662,1131363,0
42762,568495,0
42862,1052561,0
42963,968131,0
43063,1136991,0
43164,968131,0
43265,1063819,0
43366,1131363,0
43465,1356509,0
43565,948881,0
43675,1124304,0
43767,1075076,0
43866,1018789,0
43967,1013160,0
44068,855558,0
44169,1159506,0
44269,1069447,0
44370,1001903,0
44470,692801,0
44575,916980,0
44673,760945,0
44774,722833,0
44874,675853,0
44977,731857,0
45079,697265,0
45180,498899,0
45282,854415,0
45379,885390,0
45483,756576,0
45593,831066,0
45690,780408,0
45792,740072,0
45892,761057,0
46000,821106,0
46095,1001723,0
46185,951245,0
46285,974661,0
46386,838656,0
46486,743379,0
46587,721213,0
46687,763333,0
46789,748989,0
46889,996249,0
46990,563693,0
47092,640696,0
47194,755845,0
47302,991749,0
47341,1125734,0
47442,1185281,0
47543,1294594,0
47644,813800,0
47745,754846,0
47846,789880,0
47946,784700,0
48049,751024,0
48146,820471,0
48249,992489,0
48349,774343,0
48450,706192,0
48551,731347,0
48651,759325,0
48752,747775,0
48854,403869,0
48955,697955,0
49053,946418,0
49161,923361,0
49260,1097591,0
49364,704044,0
49464,880812,0
49573,792691,0
49663,996274,0
49768,1063819,0
49857,996274,0
49959,767334,0
50059,938322,0
50160,894007,0
50260,791695,0
50361,739033,0
50467,722930,0
50563,690569,0
50666,443100,0
50767,945616,0
50870,850576,0
50966,846632,0
51067,856859,0
51167,720149,0
51270,808363,0
51370,648789,0
51470,681642,0
51571,759032,0
51670,2279612,0
51772,2116380,0
51871,923102,0
51973,866815,0
52073,1072971,0
52174,865393,0
52275,738067,0
52375,817344,0
52477,777145,0
52579,1147540,0
52676,889977,0
52778,324638,0
52881,751234,0
52982,729921,0
53082,683825,0
53183,756436,0
53283,714003,0
53383,698380,0
53484,851466,0
53584,900587,0
53684,1041304,0
53784,973760,0
53884,1125734,0
53985,1091962,0
54085,1136991,0
54185,1063819,0
54287,1221421,0
54388,1246522,0
54487,1142366,0
54587,1159506,0
54688,1097591,0
54788,962502,0
54888,1063819,0
54989,1013160,0
55089,1086333,0
55190,1125734,0
55290,973760,0
55390,1333995,0
55491,990646,0
55591,1024418,0
55692,923102,0
55793,1114477,0
55893,1187649,0
55994,1069447,0
56095,827414,0
56201,534723,0
56301,1136991,0
56402,1187649,0
56502,866815,0
56603,1011697,0
56703,911957,0
56806,858355,0
56911,763142,0
57005,986762,0
57110,971801,0
57209,1069447,0
57300,996274,0
57400,958912,0
57501,819429,0
57602,749726,0
57703,729313,0
57804,431043,0
57908,805547,0
58012,1039091,0
58115,872444,0
58205,1013160,0
58305,743443,0
58408,773770,0
58509,697327,0
58608,766243,0
58709,722833,0
58812,699447,0
58910,866075,0
59011,828906,0
59113,708667,0
59214,726277,0
59314,743410,0
59416,640378,0
59516,681859,0
59616,708242,0
59720,674675,0
59817,957521,0
59920,933977,0
60019,820366,0
60120,745062,0
60222,714003,0
60321,773637,0
60424,688826,0
60522,1400555,0
60623,2076979,0
60723,1108848,0
60825,923361,0
60925,709873,0
61027,686106,0
61127,732114,0
61229,714003,0
61329,662179,0
61432,752145,0
61529,610682,0
61633,771128,0
61739,1033462,0
61832,939988,0
61935,764681,0
62034,712887,0
62134,722930,0
62235,751221,0
62338,706142,0
62439,687085,0
62541,737436,0
62640,503461,0
62743,681642,0
62843,696665,0
62944,705427,0
63045,673831,0
63147,710655,0
63246,777379,0
63347,959310,0
63450,1053208,0
63546,771128,0
63648,832165,0
63750,958270,0
63850,928494,0
63950,815673,0
64052,836725,0
64151,766047,0
64252,673027,0
64353,719593,0
64402,805453,0
64504,681127,0
64605,771103,0
64706,659948,0
64807,714003,0
64908,699496,0
65009,722930,0
65111,687222,0
65209,460592,0
65314,793642,0
65424,926518,0
65520,906216,0
65613,1067984,0
65713,918374,0
65814,825995,0
65914,829278,0
66015,772548,0
66116,756758,0
66218,628703,0
66317,740013,0
66419,1032605,0
66520,721814,0
66620,699277,0
66722,715119,0
66822,716234,0
66921,884620,0
67022,683320,0
67121,718129,0
67222,1142620,0
67324,835845,0
67424,742273,0
67525,717973,0
67627,747985,0
67727,684367,0
67829,722833,0
67930,737413,0
68031,800263,0
,,
