datetime,cpu,mem
Fri Oct 28 23:41:10 GMT 2022,42,1224193
Fri Oct 28 23:41:13 GMT 2022,0.3,1344292
Fri Oct 28 23:41:15 GMT 2022,0.3,1196541
Fri Oct 28 23:41:20 GMT 2022,0.1,1188394
Fri Oct 28 23:41:24 GMT 2022,0.1,1282678
Fri Oct 28 23:41:27 GMT 2022,0,1328893
Fri Oct 28 23:41:30 GMT 2022,0,1336479
Fri Oct 28 23:41:34 GMT 2022,0.1,1382261
Fri Oct 28 23:41:38 GMT 2022,0.1,1385357
Fri Oct 28 23:41:41 GMT 2022,94,1371169
Fri Oct 28 23:41:44 GMT 2022,94,1371892
Fri Oct 28 23:41:46 GMT 2022,0,1359837
Fri Oct 28 23:41:49 GMT 2022,0,1366060
Fri Oct 28 23:41:51 GMT 2022,39,1363533
Fri Oct 28 23:41:54 GMT 2022,39,1363137
Fri Oct 28 23:41:56 GMT 2022,39,1363008
Fri Oct 28 23:41:58 GMT 2022,0,1362625
Fri Oct 28 23:42:00 GMT 2022,0,1363755
Fri Oct 28 23:42:02 GMT 2022,0,1361084
Fri Oct 28 23:42:05 GMT 2022,42,1364009
Fri Oct 28 23:42:06 GMT 2022,42,1366765
Fri Oct 28 23:42:08 GMT 2022,42,1369424
Fri Oct 28 23:42:10 GMT 2022,35,1364417
Fri Oct 28 23:42:13 GMT 2022,35,1364034
Fri Oct 28 23:42:15 GMT 2022,35,1369052
Fri Oct 28 23:42:17 GMT 2022,42,1366796
Fri Oct 28 23:42:19 GMT 2022,42,1365507
Fri Oct 28 23:42:21 GMT 2022,42,1367496
Fri Oct 28 23:42:23 GMT 2022,41,1366706
Fri Oct 28 23:42:25 GMT 2022,41,1346269
