Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,2396591,0
118,3771150,1009345
217,3167202,405397
320,3311134,549329
416,3396341,634536
466,4255495,1493690
571,4272671,1510866
667,3960971,1199166
773,4121765,1359960
885,3246901,485096
975,3149924,388119
1073,2514106,0
1174,2452925,0
1277,2798453,36648
1379,3640335,878530
1477,3283151,521346
1581,3479990,718185
1681,3166127,404322
1782,2690852,0
1878,3753704,991899
1978,3265043,503238
2083,2714457,0
2190,3151832,390027
2297,3388445,626640
2384,3452976,691171
2496,3074778,312973
2584,3065791,303986
2687,2312931,0
2787,2183870,0
2888,1560071,0
2988,1753664,0
3088,1416669,0
3187,1201567,0
3290,936273,0
3387,1201567,0
3498,247060,0
3594,1485648,0
3691,2486518,0
3794,2674529,0
3898,2579788,0
3991,2183924,0
4100,2251468,0
4221,2183924,0
4317,2195182,0
4407,2178296,0
4499,2071351,0
4604,2127638,0
4699,2144524,0
4802,2155781,0
4899,2043207,0
5021,2200810,0
5122,2138895,0
5203,2251468,0
5304,2138895,0
5441,2133266,0
5547,2251468,0
5618,2251468,0
5723,2251468,0
5818,2251468,0
5926,2251468,0
6036,2195182,0
6139,2251468,0
6239,2251468,0
6331,2251468,0
6426,2251468,0
6520,2251468,0
6612,2251468,0
6736,2251468,0
6822,2251468,0
6920,2251468,0
7019,2195182,0
7117,2183924,0
7216,2138895,0
7327,2251468,0
7431,2195182,0
7528,2251468,0
7622,2088237,0
7727,2195182,0
7821,2065722,0
7929,2127638,0
8024,2183924,0
8132,1913748,0
8237,2054465,0
8332,2144524,0
8435,2195182,0
8526,2026321,0
8627,1896862,0
8732,2251468,0
8829,2195182,0
8932,2195182,0
9032,2195182,0
9137,2183924,0
9250,2206439,0
9339,2251468,0
9436,2127638,0
9538,2195182,0
9638,2251468,0
9753,2082608,0
9843,2251468,0
9934,1761774,0
10047,1962491,0
10138,2688590,0
10246,2739248,0
10337,2851822,90017
10437,1669800,0
10541,1641657,0
10643,2058179,0
10744,2778649,16844
10857,2795535,33730
10970,2908108,146303
11051,2908108,146303
11161,2908108,146303
11245,2908108,146303
11360,2908108,146303
11450,2840564,78759
11554,2908108,146303
11662,2908108,146303
11752,2908108,146303
11875,2908108,146303
11946,2699847,0
12051,2806792,44987
12151,2649189,0
12248,2654818,0
12356,1771117,0
12454,2024407,0
12553,2103208,0
12656,2120704,0
12755,2458424,0
12851,2243925,0
12955,1864947,0
13056,1682972,0
13157,1992549,0
13259,2082608,0
13360,1688601,0
13461,1699858,0
13558,1722373,0
13665,1559142,0
13767,1767403,0
13865,2122009,0
13961,2110752,0
14061,2099494,0
14163,1925005,0
14267,1778660,0
14316,1868719,0
14415,1936263,0
14544,2043207,0
14639,2195182,0
14718,2054465,0
14826,2122009,0
14921,2138895,0
15027,2195182,0
15124,1806803,0
