datetime,cpu,mem
Fri Oct 28 19:14:44 GMT 2022,85,1372335
Fri Oct 28 19:14:46 GMT 2022,0,1376860
Fri Oct 28 19:14:47 GMT 2022,0,1331898
Fri Oct 28 19:14:50 GMT 2022,0,1328005
Fri Oct 28 19:14:53 GMT 2022,0.2,1345943
Fri Oct 28 19:14:59 GMT 2022,97,1363526
Fri Oct 28 19:15:03 GMT 2022,97,1375335
Fri Oct 28 19:15:06 GMT 2022,93,1377057
Fri Oct 28 19:15:09 GMT 2022,93,1373130
Fri Oct 28 19:15:12 GMT 2022,80,1368097
Fri Oct 28 19:15:15 GMT 2022,80,1358300
Fri Oct 28 19:15:18 GMT 2022,78,1358449
Fri Oct 28 19:15:21 GMT 2022,78,1354152
Fri Oct 28 19:15:24 GMT 2022,63,1358313
Fri Oct 28 19:15:27 GMT 2022,63,1359552
Fri Oct 28 19:15:30 GMT 2022,64,1354455
Fri Oct 28 19:15:33 GMT 2022,64,1359236
Fri Oct 28 19:15:35 GMT 2022,0,1358743
Fri Oct 28 19:15:38 GMT 2022,0,1359430
Fri Oct 28 19:15:41 GMT 2022,0.2,1357489
Fri Oct 28 19:15:44 GMT 2022,0.2,1359874
Fri Oct 28 19:15:47 GMT 2022,64,1359982
Fri Oct 28 19:15:50 GMT 2022,64,1351855
Fri Oct 28 19:15:53 GMT 2022,62,1345827
Fri Oct 28 19:15:56 GMT 2022,62,1348177
