Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
42,2251061,752590
148,1849536,351065
238,1584242,85771
344,1926938,428467
445,2117593,619122
546,1727644,229173
648,1036585,0
748,2085355,586884
840,2021618,523147
941,2186856,688385
1042,3000810,1502339
1143,4509587,3011116
1243,4893346,3394875
1343,4667558,3169087
1449,3024323,1525852
1546,3572616,2074145
1646,6047288,4548817
1746,5283321,3784850
1850,3949118,2450647
1955,2592226,1093755
2046,5011757,3513286
2096,3371194,1872723
2254,3015149,1516678
2302,2652839,1154368
2402,3522340,2023869
2503,3209408,1710937
2604,2954703,1456232
2704,2802932,1304461
2805,3528375,2029904
2906,3808621,2310150
3006,3340555,1842084
3108,2365100,866629
3202,3567479,2069008
3305,2326362,827891
3404,2296509,798038
3504,2903776,1405305
3604,3345852,1847381
3704,2663594,1165123
3804,2448143,949672
3905,3216282,1717811
4014,2671051,1172580
4108,3589646,2091175
4210,3726513,2228042
4310,2593009,1094538
4409,3214696,1716225
4510,2862449,1363978
4609,3014867,1516396
4711,2369730,871259
4810,3438102,1939631
4910,2536092,1037621
5011,2042944,544473
5111,1964983,466512
5216,2325636,827165
5321,1749532,251061
5412,1429374,0
5514,1137034,0
5617,1421944,0
5717,999290,0
5817,780893,0
5918,702345,0
6018,806326,0
6118,1831021,332550
6219,981857,0
6320,1350624,0
6422,1109765,0
6521,1560337,61866
6621,1730639,232168
6722,1664223,165752
6823,1623088,124617
6924,1343454,0
7027,712454,0
7125,1773660,275189
7225,2332927,834456
7327,1586485,88014
7428,2740726,1242255
7529,2981491,1483020
7636,3753223,2254752
7733,2852810,1354339
7839,3107915,1609444
7933,2390070,891599
8040,2695098,1196627
8139,3460726,1962255
8241,3279997,1781526
8339,3330188,1831717
8442,3151832,1653361
8542,2026127,527656
8644,1689133,190662
8742,2492184,993713
8845,1861215,362744
8941,2176699,678228
9042,1696303,197832
9143,2026127,527656
9247,2255570,757099
9349,2234060,735589
9445,2678606,1180135
9545,1947256,448785
9649,1655758,157287
9750,1547884,49413
9866,1440940,0
9964,1925005,426534
10065,1964406,465935
10161,2653541,1155070
10260,2434022,935551
10375,2411508,913037
10475,2546596,1048125
10563,2428394,929923
10657,2417136,918665
10762,2490309,991838
10860,2439651,941180
10959,2163846,665375
11064,2056901,558430
11160,2147416,648945
11262,2186817,688346
11372,2175560,677089
11467,2237475,739004
11565,2046100,547629
11662,1995442,496971
11765,1764667,266196
11865,2400707,902236
11966,1581656,83185
12070,1384653,0
12166,1283337,0
12267,1198907,0
12366,906216,0
12469,855558,0
12568,1153877,0
12668,1035675,0
12772,1058190,0
12877,1671715,173244
12979,2200810,702339
13071,2251468,752997
13175,2251468,752997
13271,1902491,404020
13389,1592914,94443
13480,2127638,629167
13580,2082608,584137
13670,1820867,322396
13771,1737838,239367
13871,2514737,1016266
13973,2239213,740742
14073,2648692,1150221
14185,2985002,1486531
14277,2383199,884728
14381,2427773,929302
14478,2258910,760439
14581,1806275,307804
14679,2706865,1208394
14780,2503282,1004811
14889,2264919,766448
14983,2011621,513150
15084,2124188,625717
15183,1427647,0
15284,1364794,0
15384,912761,0
15485,1203575,0
15592,1071304,0
15692,1198907,0
15792,1165135,0
15845,1266451,0
15942,1165135,0
16043,1283337,0
16166,1041304,0
16242,1801175,302704
16344,1238307,0
16445,1260822,0
16545,1227050,0
16647,1103219,0
16750,1159506,0
16850,1198907,0
16952,1649200,150729
17051,1654829,156358
17152,1514112,15641
17252,1609800,111329
17353,1609800,111329
17454,1587285,88814
17557,1682972,184501
17657,2184231,685760
17755,2274290,775819
17860,2066029,567558
17956,2049143,550672
18057,2189860,691389
18161,2133573,635102
18261,2195489,697018
18359,2133573,635102
18467,2105430,606959
18564,2184231,685760
18659,2132736,634265
18760,1648671,150200
18860,1654299,155828
18961,1063819,0
19062,1114477,0
19163,1001903,0
19263,1198907,0
19364,1136991,0
19464,1165135,0
19567,1277708,0
19666,900587,0
19761,1026275,0
19861,1178249,0
19962,867260,0
20062,676357,0
20163,705255,0
20264,785047,0
20366,755136,0
20467,1408084,0
20567,1653868,155397
20670,1307708,0
20770,1586324,87853
20871,1517368,18897
20972,1200764,0
21072,1509401,10930
21172,1254233,0
21273,768268,0
21373,2015099,516628
21474,1968199,469728
21578,1924643,426172
21676,2072973,574502
21776,2019788,521317
21876,1980387,481916
21977,1952243,453772
22077,1924100,425629
22178,1559176,60705
22278,1393127,0
22380,1132159,0
22480,547797,0
22580,549072,0
22682,527081,0
22783,505288,0
22883,515052,0
22984,547884,0
23084,578674,0
23184,573331,0
23286,528841,0
23386,592602,0
23486,570811,0
23587,761702,0
23687,871903,0
23787,861183,0
23890,1220002,0
23993,1243518,0
24090,1442222,0
24190,1983429,484958
24291,1973111,474640
24391,2020952,522481
24491,1806143,307672
24598,1930893,432422
24692,2260632,762161
24794,1842712,344241
24894,2060352,561881
24994,1851624,353153
25095,2067859,569388
25195,1860435,361964
25295,1877321,378850
25396,1804148,305677
25497,1911093,412622
25597,1776005,277534
25697,1370741,0
25798,1331008,0
25898,601005,0
25999,650073,0
26100,689472,0
26201,538357,0
26301,755136,0
26404,1098871,0
26511,816145,0
26603,783454,0
26704,977960,0
26804,727955,0
26904,696038,0
27005,709171,0
27105,686188,0
27207,699321,0
27307,784684,0
27408,1268787,0
27509,1357426,0
27609,1479379,0
27709,1347109,0
27810,1288005,0
27910,1858788,360317
28011,2081118,582647
28111,1885992,387521
28212,1954476,456005
28313,2137404,638933
28412,1925392,426921
28513,2116756,618285
28613,1870046,371575
28714,1961517,463046
28818,1892644,394173
28915,2045592,547121
29016,2012281,513810
29115,1946615,448144
29216,1407202,0
29316,1389244,0
29417,859852,0
29518,797098,0
29623,802082,0
29724,1198907,0
29824,1097591,0
29928,1063819,0
30025,1086333,0
30125,1080705,0
30227,883701,0
30330,1198907,0
30427,1277708,0
30530,1069447,0
30629,1170763,0
