datetime,cpu,mem
Fri Oct 28 18:13:40 GMT 2022,38,1417595
Fri Oct 28 18:13:42 GMT 2022,38,1417385
Fri Oct 28 18:13:44 GMT 2022,38,1357151
Fri Oct 28 18:13:47 GMT 2022,0.2,1421949
Fri Oct 28 18:13:51 GMT 2022,0.2,1392869
Fri Oct 28 18:13:54 GMT 2022,93,1377575
Fri Oct 28 18:13:57 GMT 2022,93,1269514
Fri Oct 28 18:14:01 GMT 2022,79,1261879
Fri Oct 28 18:14:04 GMT 2022,79,1258140
Fri Oct 28 18:14:07 GMT 2022,81,1261881
Fri Oct 28 18:14:10 GMT 2022,81,1262772
Fri Oct 28 18:14:14 GMT 2022,79,1256983
Fri Oct 28 18:14:17 GMT 2022,79,1263296
Fri Oct 28 18:14:20 GMT 2022,80,1262051
Fri Oct 28 18:14:23 GMT 2022,80,1258520
Fri Oct 28 18:14:27 GMT 2022,81,1262519
Fri Oct 28 18:14:30 GMT 2022,81,1263426
Fri Oct 28 18:14:34 GMT 2022,79,1257465
Fri Oct 28 18:14:37 GMT 2022,79,1264112
Fri Oct 28 18:14:40 GMT 2022,84,1260991
Fri Oct 28 18:14:44 GMT 2022,84,1261792
Fri Oct 28 18:14:47 GMT 2022,80,1262223
Fri Oct 28 18:14:50 GMT 2022,80,1261364
Fri Oct 28 18:14:54 GMT 2022,83,1243898
