Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
63,2470372,1107658
164,1786092,423378
260,2150799,788085
366,1964983,602269
466,1918014,555300
568,1738762,376048
668,2419921,1057207
772,2799936,1437222
864,4176119,2813405
964,4242708,2879994
1065,3343782,1981068
1166,3362627,1999913
1266,5345473,3982759
1366,5306848,3944134
1466,5227977,3865263
1567,5557801,4195087
1681,5681191,4318477
1773,5778888,4416174
1873,5108306,3745592
1975,2908995,1546281
2078,2493869,1131155
2180,2023594,660880
2285,2947522,1584808
2384,2531053,1168339
2482,2875556,1512842
2583,2592565,1229851
2686,2155189,792475
2782,1627621,264907
2883,1366479,3765
2985,1208737,0
3087,2162359,799645
3186,1195149,0
3286,1664223,301509
3384,1922198,559484
3485,1458557,95843
3590,950873,0
3689,2112169,749455
3787,2986920,1624206
3889,2327271,964557
3991,3190701,1827987
4096,2293164,930450
4199,1744888,382174
4301,1930634,567920
4395,1885605,522891
4493,2065722,703008
4601,2088237,725523
4700,2026321,663607
4800,2071351,708637
4897,2195182,832468
5002,2251468,888754
5107,2251468,888754
5204,2251468,888754
5300,2195182,832468
5408,2144524,781810
5502,1801175,438461
5602,2003807,641093
5713,2195182,832468
5806,2195182,832468
5905,2251468,888754
6009,2195182,832468
6118,2206439,843725
6206,2251468,888754
6316,2195182,832468
6413,1964406,601692
6512,2178296,815582
6620,2251468,888754
6725,2009435,646721
6807,2122009,759295
6922,2138895,776181
7018,2251468,888754
7118,2251468,888754
7242,2251468,888754
7318,2093865,731151
7431,2195182,832468
7519,2414397,1051683
7625,2414397,1051683
7738,2699144,1336430
7828,2999010,1636296
7928,2728834,1366120
8042,2999010,1636296
8149,2999010,1636296
8247,2999010,1636296
8336,2914580,1551866
8478,2953981,1591267
8585,4392780,3030066
8649,4494096,3131382
8747,4437810,3075096
8846,4494096,3131382
8986,4437810,3075096
9045,4494096,3131382
9163,4437810,3075096
9246,4420924,3058210
9356,4319607,2956893
9449,4268949,2906235
9498,3873907,2511193
9597,3941451,2578737
9698,3862649,2499935
9797,3519300,2156586
9901,3457385,2094671
9998,3530558,2167844
10102,3598102,2235388
10202,3524929,2162215
10301,3654388,2291674
10400,3463013,2100299
10498,1598749,236035
10602,1700065,337351
10703,1891440,528726
10806,1863297,500583
10909,1970242,607528
11004,2122216,759502
11112,1953356,590642
11205,2105259,742545
11307,2009572,646858
11414,2077116,714402
11524,2852077,1489363
11611,2994832,1632118
11710,2673998,1311284
11811,2741542,1378828
11906,2702141,1339427
12008,2741542,1378828
12116,2825972,1463258
12214,2916031,1553317
12324,2814715,1452001
12416,2989204,1626490
12514,2871002,1508288
12617,4913519,3550805
12714,4575798,3213084
12814,4041074,2678360
12914,4238078,2875364
13019,3962273,2599559
13114,4119876,2757162
13215,4046703,2683989
13316,4209935,2847221
13417,4148019,2785305
13517,4243707,2880993
13618,2075494,712780
13719,1754660,391946
13819,2148667,785953
13919,2069865,707151
14018,1991064,628350
14122,1867233,504519
14221,1934777,572063
14321,2126152,763438
14421,1906634,543920
14530,2283755,921041
14627,1784702,421988
14725,1677758,315044
14827,1717158,354444
14935,1503129,140415
15028,1959191,596477
15128,1795960,433246
15228,1632728,270014
15329,1677758,315044
15437,1700272,337558
15536,1717158,354444
15636,4094461,2731747
15733,3953744,2591030
15836,4066317,2703603
15937,4252063,2889349
16042,4240806,2878092
16142,4297093,2934379
16236,4229549,2866835
16338,3734226,2371512
16442,3666682,2303968
16542,3582251,2219537
16640,3260588,1897874
16740,3553279,2190565
16841,3373162,2010448
16942,3570165,2207451
17044,3069213,1706499
17148,3647696,2284982
17246,3438242,2075528
17346,3388372,2025658
17446,3383385,2020671
17547,3323540,1960826
17654,1191894,0
17751,1027323,0
17851,1022336,0
17956,1286648,0
18057,1565920,203206
18158,1766086,403372
18257,1750516,387802
18363,1829318,466604
18457,2009435,646721
18555,1801175,438461
18656,2962718,1600004
18759,2833259,1470545
18863,3238523,1875809
18968,3339839,1977125
19063,3199122,1836408
19162,3210380,1847666
19263,3035891,1673177
19364,3103435,1740721
19462,2833259,1470545
19563,2951461,1588747
19663,4237456,2874742
19759,4141769,2779055
19865,3910993,2548279
19964,3781534,2418820
20064,3961651,2598937
20165,3937956,2575242
20266,3723514,2360800
20371,3982839,2620125
20469,3873125,2510411
20572,3952917,2590203
20668,2031063,668349
20768,1971219,608505
20871,1931323,568609
20969,2355218,992504
21071,2305348,942634
21171,2368185,1005471
21276,2047351,684637
21373,2002321,639607
21481,2328784,966070
21577,2368185,1005471
21629,1807839,445125
21730,1858497,495783
21832,1926041,563327
21940,2004843,642129
22031,1942927,580213
22131,1864126,501412
22231,1745924,383210
22332,1712152,349438
22435,1863773,501059
22541,1796229,433515
22642,3391864,2029150
22739,4077575,2714861
22837,4032545,2669831
22938,3959372,2596658
23042,3891828,2529114
23141,3763665,2400951
23236,3574159,2211445
23339,3609068,2246354
23444,3519302,2156588
23540,3619042,2256328
23641,3470024,2107310
23744,3370284,2007570
23846,3280517,1917803
23946,3370284,2007570
24047,3415167,2052453
24147,3410180,2047466
24247,3315427,1952713
24349,3001245,1638531
24448,3415167,2052453
24549,3694439,2331725
24655,1645712,282998
24753,1710543,347829
24855,1655686,292972
24968,1326544,0
25060,1720517,357803
25159,1789917,427203
25265,1677344,314630
25360,1643572,280858
25469,1829318,466604
25561,1699858,337144
25665,3121357,1758643
25762,3076327,1713613
25864,2963754,1601040
25965,2623080,1260366
26068,2836970,1474256
26171,2870742,1508028
26270,3087585,1724871
26370,3098842,1736128
26472,3256445,1893731
26575,3020041,1657327
26670,4564955,3202241
26778,4193463,2830749
26871,4199091,2836377
26975,4182205,2819491
27072,4148433,2785719
