datetime,cpu,mem
Sat Oct 22 13:20:14 GMT 2022,32,1248225
Sat Oct 22 13:20:16 GMT 2022,0.5,1253536
Sat Oct 22 13:20:17 GMT 2022,0.5,1259923
Sat Oct 22 13:20:19 GMT 2022,0.5,1256777
Sat Oct 22 13:20:20 GMT 2022,0.5,1248435
Sat Oct 22 13:20:22 GMT 2022,0.3,1246098
Sat Oct 22 13:20:23 GMT 2022,0.3,1245858
Sat Oct 22 13:20:25 GMT 2022,0.3,1249082
Sat Oct 22 13:20:27 GMT 2022,34,1240308
Sat Oct 22 13:20:28 GMT 2022,34,1239207
Sat Oct 22 13:20:30 GMT 2022,34,1241896
Sat Oct 22 13:20:32 GMT 2022,30,1242079
Sat Oct 22 13:20:33 GMT 2022,30,1239623
Sat Oct 22 13:20:35 GMT 2022,30,1239488
Sat Oct 22 13:20:37 GMT 2022,31,1239467
Sat Oct 22 13:20:39 GMT 2022,31,1240409
Sat Oct 22 13:20:40 GMT 2022,31,1235276
Sat Oct 22 13:20:42 GMT 2022,34,1232715
Sat Oct 22 13:20:44 GMT 2022,34,1234127
Sat Oct 22 13:20:45 GMT 2022,34,1236540
Sat Oct 22 13:20:47 GMT 2022,34,1234767
Sat Oct 22 13:20:49 GMT 2022,34,1233639
Sat Oct 22 13:20:51 GMT 2022,34,1236576
Sat Oct 22 13:20:52 GMT 2022,33,1236715
Sat Oct 22 13:20:54 GMT 2022,33,1235491
Sat Oct 22 13:20:56 GMT 2022,33,1235328
Sat Oct 22 13:20:58 GMT 2022,32,1235795
Sat Oct 22 13:20:59 GMT 2022,32,1236965
Sat Oct 22 13:21:01 GMT 2022,32,1236878
Sat Oct 22 13:21:03 GMT 2022,33,1231445
Sat Oct 22 13:21:05 GMT 2022,33,1231829
Sat Oct 22 13:21:06 GMT 2022,33,1233534
Sat Oct 22 13:21:08 GMT 2022,30,1232819
Sat Oct 22 13:21:10 GMT 2022,30,1233341
Sat Oct 22 13:21:12 GMT 2022,30,1235142
Sat Oct 22 13:21:14 GMT 2022,24,1234477
Sat Oct 22 13:21:16 GMT 2022,24,1236109
Sat Oct 22 13:21:17 GMT 2022,24,1238974
Sat Oct 22 13:21:19 GMT 2022,26,1239113
Sat Oct 22 13:21:21 GMT 2022,26,1237769
Sat Oct 22 13:21:23 GMT 2022,26,1237546
Sat Oct 22 13:21:24 GMT 2022,32,1237729
Sat Oct 22 13:21:26 GMT 2022,32,1236900
Sat Oct 22 13:21:28 GMT 2022,32,1225435
