Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
35,2769571,1456345
136,2178305,865079
237,1701227,388001
337,1701227,388001
447,1741985,428759
545,1591413,278187
646,1830963,517737
746,1869458,556232
847,2048830,735604
948,2251769,938543
1050,2758996,1445770
1150,4091752,2778526
1243,5393619,4080393
1344,4682386,3369160
1445,5014475,3701249
1544,4281383,2968157
1650,3768040,2454814
1746,3843559,2530333
1846,3220708,1907482
1948,3957614,2644388
2053,3038287,1725061
2162,3177680,1864454
2254,2862181,1548955
2354,2972081,1658855
2411,3531872,2218646
2498,3477163,2163937
2606,2882075,1568849
2704,2569520,1256294
2808,2458843,1145617
2902,2458769,1145543
3001,3749099,2435873
3104,2371057,1057831
3208,2014316,701090
3309,1381462,68236
3403,1520352,207126
3503,1451168,137942
3605,1256055,0
3704,1645497,332271
3810,1889967,576741
3905,1974620,661394
4006,1545748,232522
4106,1394955,81729
4207,1645661,332435
4319,1466850,153624
4415,2279742,966516
4514,3115705,1802479
4613,2732019,1418793
4715,3817784,2504558
4817,2322762,1009536
4922,1885386,572160
5011,2109128,795902
5117,1566773,253547
5222,1875999,562773
5313,1354799,41573
5413,2233783,920557
5514,1574489,261263
5614,3189919,1876693
5716,1647016,333790
5815,1425598,112372
5916,1169171,0
6018,1257628,0
6117,1543718,230492
6226,1565869,252643
6327,1973691,660465
6427,1368665,55439
6527,1039984,0
6627,1348657,35431
6730,1591413,278187
6821,1598583,285357
6925,1090736,0
7043,1508362,195136
7130,1928407,615181
7224,1562732,249506
7326,1096534,0
7429,1433766,120540
7528,1899998,586772
7635,1654475,341249
7749,1117735,0
7838,1058140,0
7935,1311165,0
8051,1148739,0
8140,1928407,615181
8234,1347629,34403
8333,1918593,605367
8433,1632964,319738
8539,1181556,0
8635,1330048,16822
8736,1818212,504986
8861,1085429,0
8950,1313100,0
9046,1730638,417412
9146,1314803,1577
9244,563531,0
9345,1109782,0
9446,1397820,84594
9546,1708397,395171
9652,1245779,0
9742,1954444,641218
9842,2346242,1033016
9944,1604491,291265
10044,1909221,595995
10146,1358004,44778
10246,1626024,312798
10347,1896894,583668
10452,2231128,917902
10568,1324519,11293
10658,903460,0
10753,1312455,0
10851,777970,0
10951,1063699,0
11053,993072,0
11152,979667,0
11252,1179495,0
11355,748184,0
11454,891659,0
11554,1056529,0
11657,684440,0
11756,1024418,0
11857,1006339,0
11958,661557,0
12060,1829567,516341
12161,1229546,0
12264,781597,0
12363,898865,0
12465,692326,0
12564,689174,0
