datetime,cpu,mem
Sat Oct 22 12:52:24 GMT 2022,0.3,1266757
Sat Oct 22 12:52:26 GMT 2022,8.7,1261286
Sat Oct 22 12:52:28 GMT 2022,8.7,1239177
Sat Oct 22 12:52:31 GMT 2022,8.7,1270518
Sat Oct 22 12:52:33 GMT 2022,0.3,1260945
Sat Oct 22 12:52:36 GMT 2022,0.3,1260723
Sat Oct 22 12:52:39 GMT 2022,0,1253588
Sat Oct 22 12:52:41 GMT 2022,0,1253440
Sat Oct 22 12:52:43 GMT 2022,0,1256083
Sat Oct 22 12:52:45 GMT 2022,0,1254120
Sat Oct 22 12:52:47 GMT 2022,0,1252740
Sat Oct 22 12:52:49 GMT 2022,0,1253411
Sat Oct 22 12:52:50 GMT 2022,35,1253564
Sat Oct 22 12:52:52 GMT 2022,35,1252652
Sat Oct 22 12:52:54 GMT 2022,35,1254377
Sat Oct 22 12:52:56 GMT 2022,35,1252896
Sat Oct 22 12:52:58 GMT 2022,35,1254276
Sat Oct 22 12:53:00 GMT 2022,35,1251757
Sat Oct 22 12:53:02 GMT 2022,35,1252272
Sat Oct 22 12:53:04 GMT 2022,35,1253608
Sat Oct 22 12:53:05 GMT 2022,35,1254109
Sat Oct 22 12:53:07 GMT 2022,35,1252264
Sat Oct 22 12:53:09 GMT 2022,35,1252928
Sat Oct 22 12:53:11 GMT 2022,35,1255765
Sat Oct 22 12:53:14 GMT 2022,88,1250754
Sat Oct 22 12:53:16 GMT 2022,88,1255358
Sat Oct 22 12:53:17 GMT 2022,88,1255567
Sat Oct 22 12:53:20 GMT 2022,0.3,1253790
Sat Oct 22 12:53:22 GMT 2022,0.3,1252682
Sat Oct 22 12:53:24 GMT 2022,0.3,1254679
Sat Oct 22 12:53:26 GMT 2022,40,1254814
Sat Oct 22 12:53:28 GMT 2022,40,1250670
Sat Oct 22 12:53:30 GMT 2022,40,1256103
Sat Oct 22 12:53:32 GMT 2022,0,1253998
Sat Oct 22 12:53:34 GMT 2022,0,1255436
Sat Oct 22 12:53:36 GMT 2022,0,1261632
Sat Oct 22 12:53:39 GMT 2022,46,1240126
