Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
10,2120824,611096
90,2491613,981885
193,2394463,884735
291,3117174,1607446
391,2344272,834544
496,1832846,323118
589,2639541,1129813
689,1971428,461700
790,1939723,429995
890,2244282,734554
992,3006575,1496847
1094,3693197,2183469
1196,3701249,2191521
1294,4309858,2800130
1395,5592750,4083022
1498,5485199,3975471
1595,4694392,3184664
1695,3166765,1657037
1796,2069419,559691
1897,2140324,630596
1998,3988751,2479023
2098,3755617,2245889
2199,4173187,2663459
2300,2788420,1278692
2401,3896500,2386772
2502,4078025,2568297
2604,2784886,1275158
2707,2141667,631939
2810,2632700,1122972
2912,3843745,2334017
3004,4008769,2499041
3107,3773958,2264230
3206,4016167,2506439
3305,4165940,2656212
3407,3329996,1820268
3506,2967705,1457977
3618,3185640,1675912
3716,5025800,3516072
3810,6549335,5039607
3915,5530562,4020834
4016,3507180,1997452
4120,5329370,3819642
4219,4573401,3063673
4316,6043999,4534271
4418,4147336,2637608
4523,5426752,3917024
4620,5162484,3652756
4724,4700958,3191230
4824,6049616,4539888
4919,7162979,5653251
5017,7643585,6133857
5120,8030130,6520402
5227,6497621,4987893
5329,7407228,5897500
5429,6529515,5019787
5525,6285979,4776251
5630,6933532,5423804
5726,6114762,4605034
5827,4126310,2616582
5929,1414843,0
6028,985902,0
6131,899861,0
6230,1494979,0
6329,1114964,0
6426,1093454,0
6526,993072,0
6626,1135400,0
6729,1088817,0
6829,745053,0
6930,1368248,0
7030,1135522,0
7131,1238921,0
7231,1250243,0
7335,1275789,0
7437,1485516,0
7535,859659,0
7653,397312,0
7742,596063,0
7844,607219,0
7939,909097,0
8040,1052499,0
8141,1066839,0
8240,973628,0
8347,576540,0
8453,640687,0
8545,832007,0
8645,891396,0
8743,1036273,0
8846,918577,0
8946,1105814,0
9047,934332,0
9148,981618,0
9245,1291751,0
9361,445597,0
9456,520443,0
9553,686188,0
9651,1291781,0
9751,1414774,0
9852,1124200,0
9952,1570260,60532
10051,1344969,0
10153,1273268,0
10252,1344969,0
10354,1157398,0
10453,1373649,0
10566,590354,0
10654,2262127,752399
10755,1848379,338651
10858,1143644,0
10951,1215345,0
11051,907031,0
11153,810349,0
11252,1177845,0
11353,942882,0
11461,885724,0
11560,1373087,0
11658,1384666,0
11762,1523659,13931
11855,2082927,573199
11956,1315378,0
12058,937624,0
12157,1013273,0
12258,737356,0
12358,830037,0
12459,1022898,0
12559,1153877,0
12659,884253,0
12760,898426,0
12862,1018859,0
12961,1165155,0
13061,718252,0
13162,1164081,0
13262,575407,0
13373,1522396,12668
13468,1240734,0
13573,1201005,0
13669,1064773,0
13765,993072,0
13870,1028923,0
13974,849670,0
14071,1136474,0
14188,638208,0
14274,1429682,0
14372,1122134,0
14478,993072,0
14568,1079113,0
14674,725654,0
14779,1074165,0
14876,1124282,0
14975,1007005,0
15078,842500,0
15181,980331,0
15230,1161308,0
15329,1781783,272055
15431,1108848,0
15533,1166295,0
15633,1091490,0
15734,1091490,0
15835,1198907,0
15937,1142789,0
16033,1370292,0
16137,838656,0
16237,927302,0
16340,981775,0
16437,1196217,0
16537,1244026,0
16637,867581,0
16736,1382866,0
16837,1157985,0
16936,1171857,0
17043,950052,0
17133,1222515,0
17234,1051593,0
17334,1087932,0
17442,993179,0
17542,1165135,0
17641,1157985,0
17742,1315727,0
17843,1091962,0
17941,1079113,0
18042,1408938,0
18142,1028923,0
18245,889330,0
18347,985904,0
18446,885114,0
18544,1315329,0
18646,1057603,0
18745,1215345,0
18859,601487,0
18952,917277,0
19051,887904,0
19151,1091490,0
19251,976788,0
19351,1081516,0
19451,1165155,0
19551,1309750,0
19652,1556894,47166
19753,1111438,0
19854,1159506,0
19954,1116425,0
20058,824173,0
20154,932112,0
20252,1220178,0
20356,1401768,0
20449,1573850,64122
20550,1744858,235130
20651,916944,0
20751,1041912,0
20853,734865,0
20952,940907,0
21053,785425,0
21154,774673,0
21254,713849,0
21355,920365,0
21455,803227,0
21556,906420,0
21656,785245,0
21757,662433,0
21861,447544,0
21962,1325682,0
22070,1021671,0
22166,1351577,0
22260,1156321,0
22360,1071542,0
22461,1182021,0
22561,1011990,0
22662,1061568,0
22763,998166,0
22864,1092919,0
22963,862087,0
23064,1222581,0
23165,1105899,0
23265,1001723,0
23366,1097906,0
23466,1132815,0
23567,665872,0
23670,1053945,0
23767,1256224,0
23868,1142570,0
23968,704044,0
24070,1232555,0
24177,1330067,0
24270,1179495,0
24370,1124271,0
24471,956840,0
24571,1112867,0
24672,837940,0
24772,766425,0
24883,939888,0
24980,1096477,0
25085,931905,0
25181,1444788,0
25281,1076240,0
25383,1010983,0
25482,1334224,0
25583,1322897,0
25684,1064773,0
25786,1172325,0
25887,1323364,0
25988,1051593,0
26094,1126399,0
26189,1415787,0
26290,1071875,0
26390,945616,0
26490,1018789,0
26593,956840,0
26691,1343699,0
26792,1142148,0
26892,1151334,0
26994,838199,0
27095,807895,0
27192,1351588,0
27304,614658,0
27399,795704,0
27496,1101464,0
27596,1080705,0
27697,1061568,0
27797,1163582,0
27902,470354,0
28002,1020242,0
28092,1449810,0
28192,1000242,0
28293,1018600,0
28401,1086333,0
28499,1215345,0
28600,1143644,0
28700,1451958,0
28800,1459128,0
28900,1286610,0
29001,1201005,0
29103,835330,0
29197,1043263,0
29297,973231,0
29398,921931,0
29498,936688,0
29599,884620,0
29705,940435,0
29800,911947,0
29900,853479,0
30000,757986,0
30103,815387,0
30201,965445,0
30304,856268,0
