datetime,cpu,mem
Sat Oct 22 20:05:18 GMT 2022,37,1212209
Sat Oct 22 20:05:19 GMT 2022,0.1,1212221
Sat Oct 22 20:05:21 GMT 2022,0.1,1216725
Sat Oct 22 20:05:22 GMT 2022,0.1,1222677
Sat Oct 22 20:05:24 GMT 2022,0.1,1198644
Sat Oct 22 20:05:25 GMT 2022,43,1200375
Sat Oct 22 20:05:27 GMT 2022,43,1199847
Sat Oct 22 20:05:29 GMT 2022,43,1204057
Sat Oct 22 20:05:30 GMT 2022,0.1,1195491
Sat Oct 22 20:05:32 GMT 2022,0.1,1192097
Sat Oct 22 20:05:34 GMT 2022,0.1,1194014
Sat Oct 22 20:05:36 GMT 2022,30,1194149
Sat Oct 22 20:05:38 GMT 2022,30,1191723
Sat Oct 22 20:05:39 GMT 2022,30,1192508
Sat Oct 22 20:05:41 GMT 2022,32,1191595
Sat Oct 22 20:05:43 GMT 2022,32,1192656
Sat Oct 22 20:05:45 GMT 2022,32,1192917
Sat Oct 22 20:05:46 GMT 2022,0,1190788
Sat Oct 22 20:05:48 GMT 2022,0,1191328
Sat Oct 22 20:05:50 GMT 2022,0,1189265
Sat Oct 22 20:05:51 GMT 2022,0,1188162
Sat Oct 22 20:05:53 GMT 2022,0,1187622
Sat Oct 22 20:05:55 GMT 2022,0,1189699
Sat Oct 22 20:05:57 GMT 2022,32,1189776
Sat Oct 22 20:05:59 GMT 2022,32,1188798
Sat Oct 22 20:06:00 GMT 2022,32,1189447
Sat Oct 22 20:06:02 GMT 2022,33,1188866
Sat Oct 22 20:06:04 GMT 2022,33,1190302
Sat Oct 22 20:06:06 GMT 2022,33,1190499
Sat Oct 22 20:06:08 GMT 2022,32,1188914
Sat Oct 22 20:06:10 GMT 2022,32,1190746
Sat Oct 22 20:06:11 GMT 2022,32,1192658
Sat Oct 22 20:06:13 GMT 2022,0,1189222
Sat Oct 22 20:06:14 GMT 2022,0,1189410
Sat Oct 22 20:06:16 GMT 2022,0,1190775
Sat Oct 22 20:06:18 GMT 2022,0,1185006
Sat Oct 22 20:06:20 GMT 2022,0,1185750
Sat Oct 22 20:06:22 GMT 2022,0,1188330
Sat Oct 22 20:06:23 GMT 2022,0,1191231
Sat Oct 22 20:06:24 GMT 2022,0,1191376
Sat Oct 22 20:06:26 GMT 2022,0,1190204
Sat Oct 22 20:06:28 GMT 2022,0,1189809
Sat Oct 22 20:06:30 GMT 2022,0,1188261
Sat Oct 22 20:06:31 GMT 2022,0,1175841
