Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,2157850,721841
91,2530869,1094860
190,2470777,1034768
292,1873016,437007
387,1820856,384847
487,1762026,326017
587,2474629,1038620
689,2195964,759955
789,1880980,444971
890,2358351,922342
993,3715905,2279896
1092,3974387,2538378
1193,5076537,3640528
1294,4995260,3559251
1394,2592492,1156483
1494,5404449,3968440
1600,4749949,3313940
1697,4134471,2698462
1799,3312220,1876211
1903,3268611,1832602
1995,3873370,2437361
2095,3839704,2403695
2197,2950127,1514118
2297,2514857,1078848
2397,2344434,908425
2503,3402975,1966966
2604,2641523,1205514
2702,3157922,1721913
2804,2964580,1528571
2906,2553715,1117706
3007,1546068,110059
3106,1476752,40743
3207,691576,0
3306,1691794,255785
3408,1362030,0
3507,2028849,592840
3611,1419337,0
3712,1713304,277295
3804,1462351,26342
3906,1108808,0
4005,1593648,157639
4106,2344333,908324
4206,2742501,1306492
4306,3136719,1700710
4408,2154399,718390
4507,2050299,614290
4608,1800133,364124
4716,1934179,498170
4815,1586145,150136
4915,1297787,0
5019,1080188,0
5117,1279876,0
5217,849670,0
5316,1272706,0
5416,1810463,374454
5522,1540525,104516
5614,1229685,0
5725,690854,0
5814,1114964,0
5915,921371,0
6017,917783,0
6116,1122134,0
6218,1000103,0
6317,1320281,0
6420,570705,0
6518,929013,0
6620,1313215,0
6727,959084,0
6830,921371,0
6921,878351,0
7024,708660,0
7124,767980,0
7224,956148,0
7325,963318,0
7424,1235782,0
7538,945043,0
7632,1502149,66140
7730,1229685,0
7847,619776,0
7938,1148249,0
8034,1229685,0
8141,719346,0
8235,1304486,0
8336,1063989,0
8443,878351,0
8533,914201,0
8639,657006,0
8735,855509,0
8836,805824,0
8936,1294216,0
9037,943816,0
9139,726073,0
9240,1177297,0
9341,1150814,0
9445,661635,0
9545,849659,0
9644,1238307,0
9745,801628,0
9850,1781783,345774
9946,1702772,266763
10049,1255726,0
10149,1453220,17211
10250,1483443,47434
10350,1216071,0
10451,818780,0
10550,927467,0
10653,731727,0
10751,1221441,0
10858,687697,0
10957,740734,0
11057,1038062,0
11158,1179962,0
11257,1278802,0
11358,808280,0
11462,1522590,86581
11560,1176621,0
11678,694676,0
11771,1145773,0
11863,1729669,293660
11967,839070,0
12065,849985,0
12116,811519,0
12217,999596,0
12315,1141100,0
12416,804112,0
12516,950052,0
12623,770340,0
12717,1022220,0
12818,834878,0
12919,976237,0
13021,1020679,0
13119,665744,0
13220,1273780,0
13322,652633,0
13421,1171251,0
13521,1028316,0
13624,654861,0
13723,806553,0
13824,1117854,0
13924,1214271,0
14026,920297,0
14126,794757,0
14225,941808,0
14327,674947,0
14427,910886,0
14528,1280811,0
14634,627863,0
14729,1003742,0
14830,1348236,0
14931,806650,0
15032,1036632,0
15131,1130239,0
15233,1000242,0
15332,1072411,0
15436,627863,0
15542,821737,0
15635,1126399,0
15736,1083668,0
15840,596887,0
15938,941847,0
16038,1129304,0
16141,636572,0
16240,775525,0
16341,664478,0
16445,1440114,4105
16549,947149,0
16653,885724,0
16743,1136942,0
16846,660952,0
16947,904988,0
17046,1156910,0
17147,834256,0
17248,642247,0
17349,909614,0
17449,1100624,0
17552,643539,0
17650,791695,0
17751,904792,0
17851,1357673,0
17955,624240,0
18058,885095,0
18160,906153,0
18274,639471,0
18364,1315004,0
18462,957222,0
18580,649421,0
18669,1530998,94989
18764,1389297,0
18872,771406,0
18961,856721,0
19061,799480,0
19163,973760,0
19263,1085210,0
19364,691928,0
19464,1020679,0
19566,893158,0
19667,1078039,0
19766,1236856,0
19870,874974,0
19967,763222,0
20070,615673,0
20168,1141029,0
20269,619153,0
20369,1300312,0
20469,777970,0
20571,927467,0
20671,921371,0
20772,691037,0
20872,970121,0
20973,1156910,0
21075,613525,0
21175,941248,0
21274,1125734,0
21377,871648,0
21479,748875,0
21579,1444381,8372
21677,549481,0
21783,907117,0
21902,697277,0
21988,986400,0
22086,996736,0
22187,1016684,0
22288,896996,0
22392,882035,0
22490,1026658,0
22589,1026658,0
22697,882035,0
22784,1291601,0
22885,968244,0
22986,993179,0
23087,761384,0
23185,960134,0
23290,962492,0
23388,1045411,0
23487,973231,0
23588,1018114,0
23690,912745,0
23790,832561,0
23892,737740,0
23992,1023247,0
24093,795974,0
24192,900573,0
24293,984530,0
24393,1018260,0
24495,868504,0
24595,829278,0
24697,783197,0
24798,716353,0
24899,483247,0
25000,738077,0
25106,603048,0
25210,892009,0
25307,1041619,0
25408,1102893,0
25508,1034505,0
25609,961827,0
25658,1491754,55745
25759,1066555,0
25865,861638,0
25960,1096477,0
26065,966814,0
26164,827178,0
26260,1179495,0
26355,911957,0
26456,887022,0
26556,835723,0
26659,996643,0
26757,1036255,0
26859,1436181,172
26960,2081853,645844
27060,1967131,531122
27161,1479565,43556
27263,888452,0
27362,1320594,0
27464,928247,0
27565,731785,0
27665,727227,0
27766,788923,0
27867,694087,0
27968,750373,0
28069,829278,0
28169,770711,0
28270,453153,0
28372,1054471,0
28477,1030868,0
28581,971562,0
28681,1136474,0
28775,1011967,0
28872,929778,0
28974,974545,0
29075,695849,0
29175,772723,0
29275,692801,0
29378,681859,0
29478,744082,0
29580,711771,0
29680,694540,0
29781,655484,0
29882,706922,0
29983,489528,0
30086,778761,0
30189,880748,0
30291,911957,0
30393,864921,0
30492,966814,0
30599,838656,0
30693,956840,0
30793,1011697,0
30894,901983,0
30993,1168460,0
31096,942130,0
31196,1011697,0
31297,1483370,47361
31393,2226329,790320
31495,1588190,152181
31604,838656,0
31697,1159407,0
31796,879697,0
31898,1236856,0
32002,1103159,0
32093,1050433,0
32194,999596,0
32295,1031645,0
32398,938468,0
32495,1695742,259733
32597,1117460,0
32698,734065,0
32798,1112226,0
32900,971801,0
32999,868677,0
33100,1008140,0
33201,859765,0
33304,769236,0
33401,293271,0
33506,1108545,0
33615,911816,0
33710,1136474,0
33811,892009,0
33915,1032433,0
34015,1150814,0
34106,888376,0
34208,735939,0
34308,146238,0
34410,767863,0
34510,747133,0
34610,624240,0
34711,719631,0
34811,752238,0
34914,633167,0
35013,709539,0
35114,832993,0
35216,985017,0
35314,1140256,0
35416,792269,0
35516,907140,0
35615,745291,0
35718,752072,0
35818,737830,0
35921,698406,0
36023,649087,0
36120,932690,0
36222,909514,0
36322,649905,0
36422,954584,0
36524,850715,0
36625,609896,0
36727,659948,0
36827,504379,0
36925,889330,0
37030,1018446,0
37134,921931,0
37239,892009,0
37335,991749,0
37442,802295,0
37539,830610,0
37643,892389,0
37746,926918,0
37837,1172325,0
37944,996736,0
38039,1092792,0
38142,1186665,0
38235,765499,0
38343,1108522,0
38450,852113,0
38543,993351,0
38640,730565,0
38742,1193437,0
38837,941879,0
38938,888452,0
39037,983351,0
39137,1006710,0
39240,842411,0
39340,787032,0
39442,717350,0
39543,691439,0
39644,657716,0
39748,728090,0
39844,974268,0
39944,854847,0
40047,708667,0
40148,718825,0
40249,596945,0
40352,515934,0
40457,1018528,0
40556,1064773,0
40658,1052561,0
40758,892009,0
40858,961827,0
