datetime,cpu,mem
Sat Oct 22 20:10:20 GMT 2022,0,1227007
Sat Oct 22 20:10:21 GMT 2022,0.1,1231878
Sat Oct 22 20:10:23 GMT 2022,0.1,1296405
Sat Oct 22 20:10:25 GMT 2022,0.1,1330938
Sat Oct 22 20:10:28 GMT 2022,0.1,1317583
Sat Oct 22 20:10:30 GMT 2022,0.1,1311466
Sat Oct 22 20:10:33 GMT 2022,44,1312944
Sat Oct 22 20:10:35 GMT 2022,44,1311004
Sat Oct 22 20:10:36 GMT 2022,44,1305282
Sat Oct 22 20:10:38 GMT 2022,0,1225418
Sat Oct 22 20:10:40 GMT 2022,0,1225142
Sat Oct 22 20:10:42 GMT 2022,0,1225223
Sat Oct 22 20:10:44 GMT 2022,36,1223652
Sat Oct 22 20:10:46 GMT 2022,36,1223544
Sat Oct 22 20:10:48 GMT 2022,36,1226129
Sat Oct 22 20:10:50 GMT 2022,35,1220484
Sat Oct 22 20:10:51 GMT 2022,35,1225228
Sat Oct 22 20:10:53 GMT 2022,35,1225763
Sat Oct 22 20:10:55 GMT 2022,36,1223478
Sat Oct 22 20:10:57 GMT 2022,36,1221970
Sat Oct 22 20:10:59 GMT 2022,36,1225059
Sat Oct 22 20:11:01 GMT 2022,36,1225202
Sat Oct 22 20:11:03 GMT 2022,36,1224050
Sat Oct 22 20:11:05 GMT 2022,36,1224579
Sat Oct 22 20:11:07 GMT 2022,37,1224662
Sat Oct 22 20:11:08 GMT 2022,37,1226064
Sat Oct 22 20:11:10 GMT 2022,37,1225913
Sat Oct 22 20:11:12 GMT 2022,37,1224562
Sat Oct 22 20:11:15 GMT 2022,37,1224914
Sat Oct 22 20:11:17 GMT 2022,37,1228087
Sat Oct 22 20:11:19 GMT 2022,337,1222222
Sat Oct 22 20:11:21 GMT 2022,337,1224602
Sat Oct 22 20:11:22 GMT 2022,337,1227207
Sat Oct 22 20:11:25 GMT 2022,0.1,1225438
Sat Oct 22 20:11:27 GMT 2022,0.1,1224786
Sat Oct 22 20:11:29 GMT 2022,0.1,1226399
Sat Oct 22 20:11:31 GMT 2022,0,1226602
Sat Oct 22 20:11:32 GMT 2022,0,1225452
