Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
8,2078979,668462
88,2057469,646952
189,2514592,1104075
290,2157850,747333
389,2315592,905075
491,2286912,876395
585,1913153,502636
685,2819468,1408951
786,2031051,620534
886,3362078,1951561
988,4206473,2795956
1089,5187340,3776823
1189,3825110,2414593
1299,5144647,3734130
1397,5806227,4395710
1495,5502439,4091922
1597,4830082,3419565
1694,2774931,1364414
1798,3379935,1969418
1896,3706874,2296357
1997,4556339,3145822
2097,3703873,2293356
2198,4230390,2819873
2302,2588860,1178343
2396,3451837,2041320
2498,3764684,2354167
2601,2346060,935543
2696,3349833,1939316
2796,2916903,1506386
2899,3307162,1896645
3003,4719822,3309305
3103,3504838,2094321
3205,3929784,2519267
3303,2504154,1093637
3403,3593886,2183369
3511,2592508,1181991
3609,3231268,1820751
3710,4546182,3135665
3807,3038069,1627552
3911,3783916,2373399
4015,3132437,1721920
4111,2670836,1260319
4208,2494657,1084140
4308,2875171,1464654
4409,1232365,0
4511,3086897,1676380
4612,3547195,2136678
4713,3764827,2354310
4813,4469813,3059296
4918,3448573,2038056
5021,3846429,2435912
5126,1451870,41353
5217,2137270,726753
5318,1896019,485502
5420,2284469,873952
5523,1922706,512189
5612,1899727,489210
5727,1215837,0
5820,2043266,632749
5921,1443470,32953
6023,680207,0
6124,1699163,288646
6224,1669241,258724
6324,2021618,611101
6424,1727644,317127
6525,1677314,266797
6626,1978598,568081
6724,1726349,315832
6833,2001012,590495
6919,1813685,403168
7019,1951887,541370
7120,1598583,188066
7228,1703181,292664
7335,720256,0
7433,1897111,486594
7524,1700883,290366
7625,1094990,0
7725,908400,0
7826,1070697,0
7926,1082945,0
8027,937680,0
8127,1419330,8813
8231,1103120,0
8329,546332,0
8443,816793,0
8542,801029,0
8643,1174920,0
8737,1473469,62952
8837,1387428,0
8937,1151888,0
9043,1024418,0
9141,1502149,91632
9238,1500001,89484
9337,1685140,274623
9449,784191,0
9540,1351577,0
9641,1244026,0
9750,809107,0
9842,1210164,0
9943,1189451,0
10042,1659571,249054
10142,1595947,185430
10244,1555940,145423
10343,1771042,360525
10444,1513526,103009
10544,1422671,12154
10654,710536,0
10749,1016864,0
10846,1351577,0
10956,680269,0
11048,1422665,12148
11147,1107794,0
11251,950052,0
11343,1365917,0
11444,925389,0
11544,1272706,0
11648,1391584,0
11751,838901,0
11853,1238258,0
11953,1593212,182695
12047,1613509,202992
