Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
12,2444654,926976
88,1446836,0
188,1933434,415756
289,1541222,23544
396,1925763,408085
497,1512542,0
599,1261762,0
695,2387293,869615
796,1505371,0
897,2232141,714463
998,2479362,961684
1099,3381913,1864235
1200,5001832,3484154
1298,4042095,2524417
1401,3465136,1947458
1501,3892317,2374639
1601,4161711,2644033
1704,3551853,2034175
1804,2743690,1226012
1905,3294029,1776351
2001,2799986,1282308
2104,2465990,948312
2207,1633912,116234
2324,1943826,426148
2410,3742214,2224536
2510,3275339,1757661
2610,2151525,633847
2709,1001726,0
2811,3212126,1694448
2906,3496685,1979007
3015,1916663,398985
3113,2924539,1406861
3212,1988688,471010
3322,1031759,0
3417,1999365,481687
3514,1283359,0
3616,1395218,0
3715,936127,0
3822,1218568,0
3910,2071809,554131
4013,1589944,72266
4121,2100489,582811
4218,3884047,2366369
4318,3044043,1526365
4420,5560697,4043019
4519,3707559,2189881
4621,3347488,1829810
4722,4014217,2496539
4821,2449337,931659
4930,2190884,673206
5019,3180661,1662983
5124,3052843,1535165
5227,3120752,1603074
5333,1338254,0
5419,3284126,1766448
5527,2306352,788674
5644,1240755,0
5728,2580293,1062615
5826,795205,0
5932,2214984,697306
6033,1347990,0
6125,2250317,732639
6224,2650518,1132840
6324,2850754,1333076
6424,1779715,262037
6525,1610249,92571
6627,1309869,0
6728,1414594,0
6827,1753306,235628
6937,2733488,1215810
7036,2464538,946860
7135,2628203,1110525
7240,2124426,606748
7330,2172190,654512
7431,2275147,757469
7531,1247616,0
7645,1233520,0
7741,3019305,1501627
7840,1691855,174177
7941,1878216,360538
8039,1578825,61147
8141,1446047,0
8245,1944216,426538
8343,2100489,582811
8442,1792175,274497
8544,2047655,529977
8644,1685608,167930
8745,1437947,0
8850,1519630,1952
8946,1663094,145416
9047,1459786,0
9147,1719111,201433
9251,1935577,417899
9342,1435615,0
9441,1540581,22903
9542,1360046,0
9642,1476588,0
9743,1534627,16949
9845,2029399,511721
9947,2073843,556165
10048,2178986,661308
10148,2408454,890776
10253,2571891,1054213
10355,2246378,728700
10457,1557956,40278
10569,1026270,0
10656,1628943,111265
10757,1014861,0
10858,1021753,0
10957,1172325,0
11060,1049359,0
11154,1107794,0
11258,683684,0
11355,1121060,0
11459,627863,0
11556,1165105,0
11657,1267475,0
11759,864011,0
11859,1192826,0
11960,1706392,188714
12061,799271,0
12163,889881,0
12264,664183,0
12365,864158,0
12465,286274,0
12565,884447,0
12665,753803,0
12768,912080,0
12870,854477,0
12967,942882,0
13069,792170,0
13168,1093454,0
13270,848596,0
13371,999168,0
13470,1049359,0
13571,776895,0
13670,921371,0
13774,635701,0
13823,836921,0
13925,864005,0
14026,1350503,0
14127,1863726,346048
14239,1013792,0
14326,1230153,0
14426,971562,0
14528,834256,0
14627,1047281,0
14733,697516,0
14828,1094388,0
14933,644868,0
15030,1142148,0
15130,1253602,0
15236,685226,0
15331,1094388,0
15432,993072,0
15534,878818,0
15634,1086284,0
15736,845583,0
15839,1149020,0
15937,218295,0
16040,1080188,0
16158,588994,0
16247,1326594,0
16342,1143644,0
16450,828160,0
16539,1198390,0
16643,819916,0
16740,1214271,0
16841,834256,0
16946,1058071,0
17042,1064773,0
17143,698024,0
17242,984828,0
17350,864945,0
