datetime,cpu,mem
Sat Oct 22 17:59:15 GMT 2022,23,1177014
Sat Oct 22 17:59:16 GMT 2022,7,1175493
Sat Oct 22 17:59:17 GMT 2022,7,1229117
Sat Oct 22 17:59:19 GMT 2022,7,1274494
Sat Oct 22 17:59:21 GMT 2022,7,1263140
Sat Oct 22 17:59:22 GMT 2022,0.1,1261910
Sat Oct 22 17:59:24 GMT 2022,0.1,1258738
Sat Oct 22 17:59:26 GMT 2022,0.1,1257491
Sat Oct 22 17:59:28 GMT 2022,34,1257760
Sat Oct 22 17:59:29 GMT 2022,34,1255926
Sat Oct 22 17:59:31 GMT 2022,34,1175371
Sat Oct 22 17:59:33 GMT 2022,33,1173358
Sat Oct 22 17:59:35 GMT 2022,33,1173154
Sat Oct 22 17:59:36 GMT 2022,33,1172398
Sat Oct 22 17:59:38 GMT 2022,33,1174915
Sat Oct 22 17:59:40 GMT 2022,32,1173210
Sat Oct 22 17:59:42 GMT 2022,32,1172938
Sat Oct 22 17:59:43 GMT 2022,32,1173034
Sat Oct 22 17:59:44 GMT 2022,32,1175099
Sat Oct 22 17:59:46 GMT 2022,31,1172910
Sat Oct 22 17:59:48 GMT 2022,31,1171618
Sat Oct 22 17:59:50 GMT 2022,31,1174239
Sat Oct 22 17:59:52 GMT 2022,33,1174450
Sat Oct 22 17:59:54 GMT 2022,33,1173630
Sat Oct 22 17:59:55 GMT 2022,33,1174247
Sat Oct 22 17:59:57 GMT 2022,32,1173754
Sat Oct 22 17:59:59 GMT 2022,32,1174958
Sat Oct 22 18:00:00 GMT 2022,32,1174146
Sat Oct 22 18:00:02 GMT 2022,32,1172725
Sat Oct 22 18:00:04 GMT 2022,32,1172040
Sat Oct 22 18:00:06 GMT 2022,32,1172846
Sat Oct 22 18:00:08 GMT 2022,32,1174501
Sat Oct 22 18:00:10 GMT 2022,0,1173632
Sat Oct 22 18:00:11 GMT 2022,0,1174008
Sat Oct 22 18:00:13 GMT 2022,0,1177017
Sat Oct 22 18:00:15 GMT 2022,0,1176418
Sat Oct 22 18:00:17 GMT 2022,0,1175742
Sat Oct 22 18:00:18 GMT 2022,0,1177058
Sat Oct 22 18:00:20 GMT 2022,0,1177275
Sat Oct 22 18:00:22 GMT 2022,29,1175922
Sat Oct 22 18:00:24 GMT 2022,29,1174854
Sat Oct 22 18:00:25 GMT 2022,29,1177423
Sat Oct 22 18:00:27 GMT 2022,34,1174856
