Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
9,2165020,561870
90,2387206,784056
190,2150680,547530
292,2157850,554700
392,2923581,1320431
484,3196545,1593395
585,2095289,492139
686,1685886,82736
788,2598683,995533
892,2760778,1157628
992,3657521,2054371
1093,3782002,2178852
1194,3888346,2285196
1294,4423514,2820364
1394,4480875,2877725
1495,5346497,3743347
1596,5713173,4110023
1696,4025378,2422228
1796,2874572,1271422
1897,2729815,1126665
1998,2385824,782674
2100,480396,0
2198,1612923,9773
2303,1390650,0
2400,1677454,74304
2507,1347629,0
2594,1944717,341567
2695,1354799,0
2796,1219905,0
2905,1644598,41448
3003,2236721,633571
3105,1741985,138835
3205,1941794,338644
3308,1370608,0
3406,2031051,427901
3505,1591413,0
3610,1483861,0
3705,1440841,0
3824,1182932,0
3905,3556018,1952868
4007,4282994,2679844
4107,5766301,4163151
4206,4694079,3090929
4310,3229897,1626747
4409,2863488,1260338
4508,3274782,1671632
4609,1401361,0
4712,2028788,425638
4805,2279742,676592
4907,2458994,855844
5008,2363139,759989
5107,1991469,388319
5208,1345085,0
5308,2003552,400402
5409,2027320,424170
5509,1357123,0
5611,2075146,471996
5711,2166862,563712
5812,3351703,1748553
5912,3501398,1898248
6011,2952615,1349465
6118,2769472,1166322
6221,3050597,1447447
6319,2849247,1246097
6419,2432129,828979
6523,2132284,529134
6614,1942808,339658
6716,1321918,0
6816,1900476,297326
6916,1441529,0
7016,2208101,604951
7117,2077198,474048
7217,978241,0
7321,1131298,0
7421,2049773,446623
7518,2414918,811768
7619,1557211,0
7720,1534801,0
7821,284980,0
7927,1837459,234309
8026,1448011,0
8133,1448011,0
8222,1648773,45623
8324,1318949,0
8424,1869182,266032
8524,1285129,0
8630,1638926,35776
8731,1600022,0
8833,1605753,2603
8926,1404990,0
9029,1123315,0
9127,762722,0
9229,2207328,604178
9329,1654830,51680
9431,1344667,0
9532,1572345,0
9631,1605051,1901
9744,1204288,0
9832,2148876,545726
9938,2553665,950515
10043,1460020,0
10138,2031841,428691
10249,1633067,29917
10346,1335744,0
10443,3023281,1420131
10539,2071482,468332
10641,2413239,810089
10737,2269679,666529
10838,1533983,0
10939,2334372,731222
11040,1799035,195885
11143,1710319,107169
11244,1669127,65977
11343,1591577,0
11442,3773779,2170629
11552,2421518,818368
11644,1340071,0
11746,1789705,186555
11845,2587311,984161
11946,1599678,0
12047,1253352,0
12153,1473023,0
12248,1410514,0
12348,1392633,0
12450,1558956,0
12554,1348603,0
12650,1498506,0
12751,928584,0
12851,1078039,0
12954,624782,0
13053,1131800,0
13152,1054994,0
13254,921839,0
13355,920297,0
13454,1307482,0
13554,1441497,0
13658,754311,0
13755,1323831,0
13859,739971,0
13956,1201940,0
14058,777970,0
14159,1006806,0
14258,950052,0
14362,911049,0
14460,1142570,0
14562,627398,0
14660,1280811,0
14760,779392,0
14861,885193,0
14969,934638,0
15074,1030932,0
15163,1057603,0
15266,661606,0
15366,861796,0
15465,1660826,57676
15566,1143644,0
15667,970488,0
15768,972029,0
15867,769725,0
15967,1294007,0
16069,808660,0
16169,1078039,0
16269,848596,0
16371,671550,0
16420,717180,0
16520,1175517,0
16625,1225737,0
16744,645748,0
