datetime,cpu,mem
Sat Oct 22 13:58:55 GMT 2022,89,1202258
Sat Oct 22 13:58:57 GMT 2022,0,1254396
Sat Oct 22 13:58:58 GMT 2022,0,1226857
Sat Oct 22 13:58:59 GMT 2022,0,1263065
Sat Oct 22 13:59:01 GMT 2022,0,1288516
Sat Oct 22 13:59:03 GMT 2022,0.3,1300188
Sat Oct 22 13:59:05 GMT 2022,0.3,1315380
Sat Oct 22 13:59:08 GMT 2022,0.3,1329616
Sat Oct 22 13:59:11 GMT 2022,0.2,1336005
Sat Oct 22 13:59:14 GMT 2022,0.2,1346734
Sat Oct 22 13:59:16 GMT 2022,0,1350363
Sat Oct 22 13:59:18 GMT 2022,0,1366605
Sat Oct 22 13:59:21 GMT 2022,0,1378971
Sat Oct 22 13:59:23 GMT 2022,0.2,1371634
Sat Oct 22 13:59:26 GMT 2022,0.2,1381587
Sat Oct 22 13:59:29 GMT 2022,93,1375612
Sat Oct 22 13:59:32 GMT 2022,93,1383835
Sat Oct 22 13:59:34 GMT 2022,93,1374760
Sat Oct 22 13:59:37 GMT 2022,93,1386065
Sat Oct 22 13:59:40 GMT 2022,92,1381352
Sat Oct 22 13:59:42 GMT 2022,92,1383209
Sat Oct 22 13:59:45 GMT 2022,92,1369816
Sat Oct 22 13:59:48 GMT 2022,92,1371220
Sat Oct 22 13:59:51 GMT 2022,93,1369810
Sat Oct 22 13:59:53 GMT 2022,93,1367577
Sat Oct 22 13:59:56 GMT 2022,93,1370770
Sat Oct 22 13:59:59 GMT 2022,93,1376473
Sat Oct 22 14:00:02 GMT 2022,93,1376976
Sat Oct 22 14:00:04 GMT 2022,93,1378133
Sat Oct 22 14:00:07 GMT 2022,93,1378162
Sat Oct 22 14:00:10 GMT 2022,93,1370423
