Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
41,3575329,586924
93,3546549,558144
189,3264426,276021
290,2905607,0
391,2527751,0
491,2639341,0
599,2409992,0
697,2193513,0
797,2566196,0
901,1834033,0
1004,3032252,43847
1099,2085262,0
1204,2972048,0
1304,4342610,1354205
1404,3274266,285861
1498,3956101,967696
1603,3311875,323470
1704,3301852,313447
1799,2492718,0
1899,2281315,0
1999,2941031,0
2101,2287289,0
2201,2073121,0
2301,2093697,0
2407,2323607,0
2508,1896504,0
2606,2158854,0
2709,1609700,0
2809,2118916,0
2908,2900695,0
3016,2821824,0
3112,3057957,69552
3211,1653283,0
3311,3144662,156257
3415,1488370,0
3514,2112169,0
3612,2061978,0
3714,1898383,0
3821,1998764,0
3914,2711622,0
4015,2945217,0
4114,2601052,0
4216,2852006,0
4317,2428970,0
4418,2837665,0
4519,2554448,0
4618,2425386,0
4718,3037111,48706
4818,2430671,0
4920,2033298,0
5019,1854045,0
5120,2208296,0
5225,1947520,0
5330,1953149,0
5423,1795546,0
5540,1761774,0
5632,2251468,0
5730,2026321,0
5833,1682972,0
5933,2003807,0
6035,2093865,0
6134,2122009,0
6239,1919377,0
6335,2054465,0
6441,1925005,0
6537,2127638,0
6637,2195182,0
6746,1879976,0
6843,2003807,0
6942,1834947,0
7041,1525370,0
7139,1846204,0
7247,1519741,0
7342,1739259,0
7445,1311480,0
7546,1660458,0
7643,1671715,0
7746,1857461,0
7854,1660458,0
7954,2251468,0
8044,2082608,0
8153,1891233,0
8251,2183924,0
8349,2060093,0
8455,2200810,0
8550,2060093,0
8649,2082608,0
8758,2200810,0
8854,2082608,0
8959,1930634,0
9057,1947520,0
9155,2037579,0
9257,2122009,0
9363,2105123,0
9462,2291858,0
9554,2213057,0
9657,2348145,0
9758,2280601,0
9863,2184913,0
9963,2348145,0
10060,2303115,0
10159,2235571,0
10280,2336888,0
10363,2387546,0
10472,2205146,0
10570,2098201,0
10662,2205146,0
10764,2205146,0
10895,2251468,0
10970,2251468,0
11083,2183924,0
11170,2195182,0
11269,2167038,0
11364,2195182,0
11486,2195182,0
11571,2251468,0
11671,2195182,0
11776,2195182,0
11870,2138895,0
11974,1975663,0
12070,2054465,0
12168,2045064,0
12277,2418414,0
12372,2795535,0
12472,2666075,0
12575,2176837,0
12682,1867260,0
12778,2328811,0
12877,2494391,0
12975,2297392,0
13079,2266905,0
13180,2340069,0
13279,2508929,0
13379,1692315,0
13479,1821775,0
13581,1827403,0
13681,2193267,0
13780,2125723,0
13887,2204524,0
13992,2587274,0
14084,1881833,0
14191,1970035,0
14290,2082608,0
14388,2183924,0
14499,2122009,0
14592,2144524,0
14693,2138895,0
14790,2138895,0
14893,2060093,0
14995,1896862,0
15096,2138895,0
15194,1981292,0
15295,1992549,0
15391,1823689,0
15498,1936263,0
15597,2082608,0
15696,2138895,0
15802,2026321,0
15900,2026321,0
16001,1913748,0
16104,2110752,0
16199,2060093,0
16303,2082608,0
16357,2110752,0
16452,2251468,0
16556,2093865,0
16654,2138895,0
16752,1970035,0
16855,2060093,0
16968,1964406,0
17060,2251468,0
17156,2031950,0
17252,2144524,0
17364,2728656,0
17459,2440867,0
17564,1913748,0
17668,2251468,0
17765,1879976,0
17866,2071351,0
17965,2031950,0
18069,2138895,0
18172,2127638,0
18273,2054465,0
18376,1964406,0
18479,2155781,0
18580,2195182,0
18691,2071351,0
18776,2304865,0
18877,2423067,0
18983,2271093,0
19074,2259836,0
19181,2361152,0
19277,2124748,0
19381,2015064,0
19485,2251468,0
19593,2195182,0
19701,2251468,0
19777,2144524,0
19899,2031950,0
19983,1998178,0
20093,2144524,0
20181,2071351,0
20297,1975663,0
20386,1953149,0
20491,2183924,0
20588,2037579,0
20686,2195182,0
20792,2065722,0
20889,2195182,0
20987,2138895,0
21089,1564770,0
21194,1666086,0
21290,1564770,0
21390,1564770,0
21489,1446568,0
21592,1756145,0
21696,2026321,0
21794,1559142,0
21895,1711116,0
21995,2122009,0
22095,2031950,0
22197,1823689,0
22298,1666086,0
22399,1621057,0
22500,1350881,0
22599,1728002,0
22701,1609800,0
22806,1722373,0
22903,1649200,0
23003,1750516,0
23103,1654829,0
23210,1744888,0
23308,1688601,0
23406,1660458,0
23509,1328366,0
23611,1654829,0
23709,1587285,0
23819,1750516,0
23930,2200810,0
24009,2031950,0
24111,1705487,0
24215,1463454,0
24311,1435311,0
24412,1362138,0
24516,1564770,0
24621,2060093,0
24712,1806803,0
24814,1519741,0
24916,1564770,0
25028,1829318,0
25116,2082608,0
25216,1318966,0
25317,1112562,0
25417,1298308,0
25518,1129448,0
25619,1055600,0
25719,1264536,0
25818,1129448,0
25934,699314,0
26031,1066621,0
26126,1292679,0
26226,1410882,0
26328,1410882,0
26422,1354595,0
26525,1151963,0
26619,1703572,0
26719,1046921,0
26826,1012186,0
26926,1247650,0
27026,1050647,0
27127,1168849,0
27228,1242021,0
27334,1104716,0
27429,1264536,0
27530,1343337,0
27630,1213878,0
27730,1365852,0
27838,831128,0
27937,1185262,0
28034,1084126,0
28134,1225135,0
28234,1855547,0
28333,1788003,0
28438,1202621,0
28535,1669800,0
28636,1151963,0
28735,2210153,0
28838,1815681,0
28932,1587257,0
28986,859272,0
29092,1189506,0
29189,2127638,0
29302,2195182,0
29397,2603593,0
29496,2265873,0
29602,1968438,0
29698,2037579,0
29797,1857461,0
29901,2031950,0
29999,1829318,0
30100,1919377,0
30200,1812432,0
30309,1716744,0
30406,2003807,0
30502,1744888,0
30604,1688601,0
30704,1592914,0
30809,1682972,0
30910,2009435,0
31005,1896862,0
31105,2026321,0
31210,2122009,0
31307,1823689,0
31406,1992549,0
31510,1784289,0
31610,1936263,0
31722,1970035,0
31814,2118206,0
31910,2140721,0
32015,2197008,0
32115,2270181,0
32213,2129464,0
32315,2168864,0
32414,1949346,0
32518,2168864,0
32617,2191379,0
32718,2168864,0
32823,2154108,0
32928,2306082,0
33017,2294825,0
33136,2306082,0
33224,2244167,0
33322,2351111,0
33429,2351111,0
33522,2294825,0
33633,2159736,0
33724,2283567,0
33826,2227281,0
33928,2097821,0
34029,2172286,0
34127,2065341,0
34231,2031569,0
34330,2127257,0
34435,2228573,0
34531,1902110,0
34634,1913367,0
34735,1980911,0
34831,1890853,0
34934,1828937,0
35034,1632314,0
