datetime,cpu,mem
Sat Oct 22 14:09:07 GMT 2022,2.1,1304139
Sat Oct 22 14:09:09 GMT 2022,25,1367573
Sat Oct 22 14:09:11 GMT 2022,25,1234436
Sat Oct 22 14:09:14 GMT 2022,25,1287395
Sat Oct 22 14:09:18 GMT 2022,0.2,1298615
Sat Oct 22 14:09:21 GMT 2022,0.2,1322057
Sat Oct 22 14:09:25 GMT 2022,97,1321559
Sat Oct 22 14:09:29 GMT 2022,97,1481125
Sat Oct 22 14:09:33 GMT 2022,98,1367975
Sat Oct 22 14:09:36 GMT 2022,98,1379759
Sat Oct 22 14:09:39 GMT 2022,91,1390992
Sat Oct 22 14:09:41 GMT 2022,91,1403028
Sat Oct 22 14:09:44 GMT 2022,0,1413662
Sat Oct 22 14:09:47 GMT 2022,0,1419561
Sat Oct 22 14:09:50 GMT 2022,0.2,1411540
Sat Oct 22 14:09:52 GMT 2022,0.2,1404394
Sat Oct 22 14:09:54 GMT 2022,0.2,1632824
Sat Oct 22 14:09:57 GMT 2022,0,1632271
Sat Oct 22 14:09:59 GMT 2022,0,1635132
Sat Oct 22 14:10:02 GMT 2022,0.2,1629541
Sat Oct 22 14:10:04 GMT 2022,0.2,1637489
Sat Oct 22 14:10:07 GMT 2022,0.2,1641734
Sat Oct 22 14:10:09 GMT 2022,0,1645121
Sat Oct 22 14:10:11 GMT 2022,0,1650228
Sat Oct 22 14:10:14 GMT 2022,0.2,1644327
Sat Oct 22 14:10:16 GMT 2022,0.2,1648407
Sat Oct 22 14:10:19 GMT 2022,0.2,1652996
Sat Oct 22 14:10:21 GMT 2022,0,1639750
