Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
10,3778307,414948
91,3321233,0
191,3510589,147230
291,3302656,0
392,3100619,0
494,5149023,1785664
591,3561389,198030
691,3484596,121237
796,3788447,425088
891,1706919,0
990,3102749,0
1092,3291197,0
1196,1752696,0
1295,4301280,937921
1398,2784583,0
1494,2497323,0
1598,2759011,0
1697,3126752,0
1797,2695250,0
1893,3637368,274009
1999,3430651,67292
2100,2353858,0
2203,3560118,196759
2302,3254692,0
2406,2900879,0
2507,3345425,0
2603,2886539,0
2705,1789514,0
2806,1825365,0
2904,2499354,0
3005,2234060,0
3106,1462518,0
3207,1676297,0
3308,1812942,0
3408,1797469,0
3503,1967559,0
3604,1489875,0
3706,484617,0
3807,586669,0
3906,757202,0
4007,690976,0
4108,435671,0
4208,2559956,0
4318,2180639,0
4424,2195182,0
4517,2150152,0
4625,2251468,0
4720,2454254,0
4826,2510540,0
4924,2195182,0
5019,2144524,0
5124,2195182,0
5220,2138895,0
5322,2195182,0
5433,2195182,0
5521,2251468,0
5620,2251468,0
5726,2195182,0
5831,2251468,0
5929,2076979,0
6030,2195182,0
6128,2195182,0
6262,2200810,0
6324,2183924,0
6427,2195182,0
6537,2251468,0
6633,2071351,0
6733,2065722,0
6840,2082608,0
6932,2127638,0
7035,2099494,0
7143,2251468,0
7242,2195182,0
7343,2553897,0
7438,2441323,0
7542,2368150,0
7645,2368150,0
7739,2351264,0
7842,2503239,0
7945,2458209,0
8052,2351264,0
8144,2204919,0
8246,2430066,0
8351,2563862,0
8445,2423145,0
8547,2321829,0
8646,2400630,0
8746,2271171,0
8849,2349972,0
8947,2310571,0
9050,2271171,0
9149,2513204,0
9254,2372487,0
9361,2242570,0
9459,2400173,0
9554,2208798,0
9652,2310114,0
9754,2349515,0
9854,2343886,0
9958,2349515,0
10055,2524004,0
10184,2580290,0
10256,2580290,0
10356,2270713,0
10464,2402759,0
10557,2256414,0
10663,2430903,0
10775,2453418,0
10865,2560362,0
10975,2504076,0
11071,2560362,0
11176,2509704,0
11274,2509704,0
11368,2502782,0
11487,2502782,0
11576,2570326,0
11674,2514040,0
11778,2514040,0
11876,2570326,0
11976,2463382,0
12077,2570326,0
12175,2497154,0
12296,2474639,0
12383,2560362,0
12484,2408388,0
12581,2318329,0
12687,2560362,0
12743,2560362,0
12860,2560362,0
12938,2560362,0
13038,2447789,0
13153,2560362,0
13248,2464675,0
13339,2380245,0
13446,2360772,0
13545,2411430,0
13647,2338257,0
13745,2236941,0
13851,2439574,0
13959,2360772,0
14051,2580290,0
14165,2372029,0
14253,2208924,0
14357,2273755,0
14464,2183979,0
14552,2183979,0
14659,2233850,0
14757,2174005,0
14856,2149070,0
14965,2183979,0
15064,2134109,0
15156,2069278,0
15258,2238837,0
15370,2238837,0
15456,2069258,0
15562,2293674,0
15658,2243804,0
15775,2293674,0
15872,2303648,0
15968,2188946,0
16068,2253778,0
16161,2303648,0
16268,2293674,0
16362,2353518,0
16472,2263791,0
16571,2253817,0
16671,2313661,0
16765,2263791,0
16871,1944933,0
16978,1795322,0
17074,1934959,0
17179,1944933,0
17277,1845192,0
17382,1840205,0
17480,1900050,0
17588,1994803,0
17673,2263781,0
17775,2273755,0
17880,2139105,0
17980,2114170,0
18082,1944933,0
18182,1895063,0
18284,1850179,0
18378,1934959,0
18481,1800309,0
18584,1944933,0
18684,1900050,0
18785,1944933,0
18881,1895063,0
18994,1929972,0
19085,1885089,0
19196,1850179,0
19288,2071351,0
19386,2122009,0
19489,2076979,0
19591,2110752,0
19694,2037579,0
19789,2138895,0
19890,2082608,0
19998,2195182,0
20103,2088237,0
20207,2251468,0
20307,2093865,0
20393,2195182,0
20496,2195182,0
20603,2251468,0
20692,2183924,0
20795,2093865,0
20896,2251468,0
20997,2183924,0
21100,2003807,0
21196,2127638,0
21296,1930634,0
21397,1812432,0
21497,1801175,0
21604,1705487,0
21698,1688601,0
21804,1874347,0
21904,1705487,0
22001,1502855,0
22105,1682972,0
22207,1671715,0
22305,1953149,0
22410,1761774,0
22510,1756145,0
22608,1773031,0
22705,1885605,0
22807,1728002,0
22909,1744888,0
23008,1654829,0
23107,1744888,0
23209,1592914,0
23309,1744888,0
23411,1829318,0
23521,1778660,0
23611,2043207,0
23723,1739259,0
23812,1778660,0
23928,2009435,0
24017,2082608,0
24114,1778660,0
24215,1649200,0
24317,1564770,0
24419,1947520,0
24524,2071351,0
24621,2060093,0
24718,2122009,0
24819,1621057,0
24920,1592914,0
25026,1542256,0
25129,1913748,0
25231,2015064,0
25328,2138895,0
25428,2195182,0
25523,1868719,0
25624,1908119,0
25725,1722373,0
25779,1863090,0
25875,1688601,0
25977,1637943,0
26097,2076979,0
26179,1649200,0
26330,1998178,0
26429,1784289,0
26532,1694230,0
26633,1989659,0
26734,2197920,0
26837,2181034,0
26931,2068461,0
26982,1871457,0
27083,1893972,0
27190,1925005,0
27289,1919377,0
27388,1863090,0
27498,1981292,0
27596,1857461,0
27686,1947520,0
27787,1660458,0
27889,1682972,0
27990,2031950,0
28093,1592914,0
28190,1750516,0
28295,1604171,0
28391,1750516,0
28495,1699858,0
28597,1576028,0
28692,1587285,0
28794,1536627,0
28892,1733630,0
28994,1744888,0
29105,1778660,0
29195,1857461,0
29295,1947520,0
29395,1812432,0
29495,1564770,0
29596,1576028,0
29698,1660458,0
29798,1750516,0
29898,1643572,0
30001,1682972,0
30101,1778660,0
30205,1953149,0
30302,1699858,0
30402,1491598,0
30503,1598542,0
30607,1609800,0
30711,1682972,0
30804,1705487,0
30905,1761774,0
31018,1773031,0
31109,1576028,0
31205,1654829,0
31307,1300223,0
31407,846157,0
31508,1067533,0
31626,1562856,0
31715,1703572,0
31824,2007521,0
31913,1784724,0
32014,1412775,0
32117,1544101,0
32213,1309565,0
32317,1185735,0
32416,1219507,0
32515,1568484,0
32617,1185262,0
32718,1095496,0
32817,1506569,0
32918,1731716,0
33019,1427768,0
33120,1450282,0
33226,1258907,0
33320,1585370,0
33419,1264536,0
33519,1140379,0
33633,770734,0
33721,1719053,0
33821,1163220,0
33927,1838661,0
34027,2115406,0
34123,2599471,0
34225,1202621,0
34326,1583516,0
34426,1716744,0
34530,1722373,0
34632,1812432,0
34729,2110752,0
34830,1814714,0
34935,2219979,0
35030,1994832,0
35130,1640226,0
35231,1497226,0
35332,1536627,0
35433,1367767,0
35537,1412796,0
35632,1339623,0
35735,1103219,0
35834,1294594,0
35938,1345252,0
36035,1604171,0
36139,1564770,0
36236,1480340,0
36343,1429682,0
36439,1407168,0
36539,1964406,0
36640,1474712,0
36742,985017,0
36845,1395910,0
36947,1283337,0
37043,1525370,0
37145,1508484,0
37244,1345252,0
37344,1452197,0
37445,923102,0
37546,1463454,0
37647,1435311,0
37747,1362138,0
37848,1333995,0
37948,1345252,0
38048,1463454,0
38148,1305851,0
38253,1108848,0
38350,1474712,0
38450,1249565,0
38551,1379024,0
38651,1435311,0
38752,1300223,0
38857,1519741,0
38953,1440940,0
39059,1165135,0
39154,1429682,0
39256,1401539,0
39357,990646,0
39453,1202621,0
39553,910416,0
39655,1085847,0
39755,948425,0
39859,1087248,0
39967,577103,0
40072,1780968,0
40162,2052550,0
40262,1777685,0
40362,1647286,0
40466,1444654,0
40567,1098496,0
40665,824571,0
40760,939020,0
40861,863481,0
40962,742003,0
41066,776321,0
41166,856915,0
41269,689472,0
41364,669751,0
41464,781698,0
41566,925862,0
41665,1357426,0
41766,893517,0
41866,1020635,0
41967,858827,0
42068,1022531,0
42168,720451,0
42269,975100,0
42375,993966,0
42475,966245,0
42576,1063411,0
42676,939492,0
42771,1366797,0
42872,929508,0
42973,540499,0
43073,1147288,0
43173,965288,0
43274,975884,0
43374,985932,0
43475,845475,0
43576,1046449,0
43675,1000819,0
43776,896838,0
43879,1334909,0
43977,779694,0
44077,1064736,0
44177,899748,0
44278,1261739,0
44330,1174400,0
44434,1239699,0
44529,1105076,0
44630,947915,0
44731,946335,0
44833,1069307,0
44934,963419,0
45036,666489,0
45137,758419,0
45237,756656,0
45343,764985,0
45436,1247192,0
45540,1894947,0
45648,2120094,0
45742,1620082,0
45848,1771117,0
45945,1698884,0
46039,1410913,0
46144,1411856,0
46258,437040,0
46346,1521580,0
46447,1345252,0
46547,1452197,0
46649,1311480,0
46748,1165135,0
46854,1424054,0
46949,1407168,0
47055,1429682,0
47155,1497226,0
47251,1576028,0
47355,1069447,0
47453,1424054,0
47554,1452197,0
47655,1390281,0
47755,1469083,0
47861,1514112,0
47956,1356509,0
48057,1373395,0
48165,962502,0
48258,1553513,0
48359,1345252,0
48460,1356509,0
48560,1328366,0
48669,1491598,0
48762,1643572,0
48863,1485969,0
48965,1401539,0
49063,1328366,0
49166,1035675,0
49265,1570399,0
49367,1030046,0
49461,1096648,0
49562,1073643,0
49662,982450,0
49762,1144112,0
49869,1182938,0
49963,890247,0
50064,1033304,0
50164,1203572,0
50269,1441857,0
50365,943713,0
50470,655695,0
50566,781401,0
50667,1110705,0
50768,1143537,0
50873,1316148,0
50972,1793166,0
51076,1985006,0
51174,2007521,0
51277,1641657,0
51373,1624771,0
51476,1012186,0
51575,1075041,0
51676,671963,0
51777,1110463,0
51889,856311,0
51979,1214823,0
52079,894931,0
52180,787968,0
52280,1169800,0
52380,761702,0
52481,711538,0
52581,749913,0
52691,850317,0
52792,729835,0
52897,889747,0
52989,1176825,0
53089,938085,0
53189,1218578,0
53290,836299,0
53390,1600399,0
53491,1576028,0
53594,1463454,0
53696,1333995,0
53793,1491598,0
53895,1131363,0
53994,1587285,0
54095,1272079,0
54195,1182021,0
54294,1559142,0
54400,1221421,0
54496,2031950,0
54597,1953149,0
54697,1688601,0
54798,1424054,0
54898,1283337,0
55005,1142620,0
55100,1446568,0
55200,1429682,0
55301,1564770,0
55397,788014,0
55497,1172620,0
55598,839904,0
55699,923439,0
55799,1053478,0
55900,1108825,0
56000,1003760,0
56101,765099,0
56201,1163897,0
56303,633657,0
56408,1233596,0
56511,1282369,0
56618,1669800,0
56706,1590077,0
56815,1760806,0
56907,1603196,0
57007,1321763,0
57108,1047373,0
57208,633657,0
57309,1147286,0
57409,910431,0
57512,958348,0
57612,785756,0
57711,880011,0
57811,859690,0
57912,906812,0
58012,1030741,0
58113,1041462,0
58214,1124773,0
58322,930587,0
58419,1266451,0
58520,1243936,0
58623,1407168,0
58720,1440940,0
58825,1362138,0
58925,1744888,0
59022,1379024,0
59122,1187649,0
59224,956874,0
59325,1463454,0
59424,1345252,0
59530,1362138,0
59626,1328366,0
59676,1581656,0
59777,1469083,0
59877,1440940,0
59978,1367767,0
60083,1474712,0
60178,1407168,0
60278,1300223,0
60376,602267,0
60479,969523,0
60581,1416510,0
60686,1371481,0
60782,1467168,0
60882,1545970,0
60983,1193255,0
61079,909474,0
61179,1078801,0
61280,643507,0
61384,557535,0
61483,597694,0
61583,873690,0
61687,1445796,0
61784,1086792,0
61885,1015017,0
61985,1148226,0
62085,840737,0
62191,1278146,0
62287,1855549,0
62389,1664172,0
62488,1731718,0
62590,1562775,0
62689,1285391,0
62789,1153814,0
62889,943246,0
62990,825511,0
63090,1268766,0
63191,700479,0
63291,903843,0
63391,1008446,0
63492,834755,0
63592,996579,0
63693,1137908,0
63793,1075993,0
63894,1007509,0
63995,682905,0
64099,820031,0
64196,1193997,0
64296,991560,0
64404,1254253,0
64503,1514112,0
64603,1390281,0
64708,1446568,0
64807,1373395,0
64904,1283337,0
65010,1080705,0
65105,1485969,0
65205,1283337,0
65307,1485969,0
65407,1463454,0
65511,1294594,0
65612,1418425,0
65708,1350881,0
65810,1395910,0
65910,1322737,0
66012,939988,0
66111,1660458,0
66216,1480340,0
66317,1508484,0
66413,1373395,0
66514,1356509,0
66614,1390281,0
66714,1193278,0
66816,1215793,0
66919,1350881,0
67018,1452197,0
67121,1435311,0
67229,1581656,0
67323,2122009,0
67427,1080705,0
67518,992503,0
67621,1211537,0
67724,1596628,0
67823,1782374,0
67923,1861178,0
68020,1506104,0
68120,912278,0
68221,1206379,0
68322,900559,0
68425,558406,0
68524,590205,0
68625,644760,0
68726,629964,0
68827,755094,0
68927,793373,0
69028,709171,0
69131,776107,0
69230,1302915,0
69335,1059107,0
69430,1001880,0
69530,815662,0
69631,713985,0
69731,1053101,0
69832,1220461,0
69932,727955,0
70033,898214,0
70133,755136,0
70234,709171,0
70335,673302,0
70440,1634183,0
70541,1384653,0
70640,1412796,0
70741,1294594,0
70843,1373395,0
70942,1412796,0
71048,1519741,0
71147,1384653,0
71247,1407168,0
71345,1322737,0
71448,1497226,0
71546,1345252,0
71646,1187649,0
71746,1305851,0
71850,1215793,0
71947,1761774,0
72049,1367767,0
72149,1367767,0
72251,1001903,0
72363,1277708,0
72446,1369624,0
72546,1297387,0
72647,1560522,0
72748,1431539,0
72848,1401984,0
72949,1598519,0
73056,1887462,0
73157,2429671,0
73257,2333984,0
73360,2418414,0
73460,2153866,0
73559,1844289,0
,,
,,
,,
,,
