Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
31,4292341,3039100
131,3374949,2121708
232,2719033,1465792
333,2857528,1604287
433,2594878,1341637
533,2817151,1563910
634,3173012,1919771
734,3579063,2325822
839,2532610,1279369
938,3884266,2631025
1039,3108741,1855500
1143,4289697,3036456
1239,5475646,4222405
1340,6042998,4789757
1389,5855242,4602001
1490,4929005,3675764
1592,3809864,2556623
1691,3427131,2173890
1789,3361912,2108671
1892,3009893,1756652
1991,3271754,2018513
2092,2159465,906224
2210,2084307,831066
2299,3957370,2704129
2402,3483935,2230694
2494,3044805,1791564
2595,3815794,2562553
2695,3439169,2185928
2797,3431062,2177821
2901,2634400,1381159
3003,3543300,2290059
3105,2200722,947481
3204,2867564,1614323
3304,1892934,639693
3406,2429721,1176480
3504,2845668,1592427
3610,2178767,925526
3700,3333519,2080278
3800,3055812,1802571
3909,2720226,1466985
4008,1831334,578093
4112,1705010,451769
4211,2356953,1103712
4311,2297329,1044088
4414,3399691,2146450
4510,3283615,2030374
4610,3159849,1906608
4706,3063765,1810524
4812,3973436,2720195
4908,2622037,1368796
5013,2772531,1519290
5115,3410792,2157551
5216,2752330,1499089
5315,2476906,1223665
5419,2170430,917189
5510,1876685,623444
5611,1475222,221981
5711,1648773,395532
5835,1242222,0
5921,1899498,646257
6019,1799345,546104
6121,1383541,130300
6220,2086149,832908
6324,1548453,295212
6422,2179421,926180
6522,1549296,296055
6623,1352210,98969
6723,1828026,574785
6825,1297439,44198
6925,1691855,438614
7024,1476752,223511
7130,1562793,309552
7221,1720474,467233
7336,1157270,0
7431,1684202,430961
7529,2451824,1198583
7632,2253031,999790
7730,2424003,1170762
7828,3242317,1989076
7929,4149318,2896077
8029,3581290,2328049
8134,3026857,1773616
8236,1899346,646105
8339,4375429,3122188
8437,3128308,1875067
8536,2530471,1277230
8637,2990278,1737037
8739,3663618,2410377
8835,3422739,2169498
8934,3230672,1977431
9034,2588797,1335556
9134,3340079,2086838
9235,1396818,143577
9336,2805272,1552031
9436,2572671,1319430
9536,3146405,1893164
9642,2435335,1182094
9736,2242171,988930
9844,2298081,1044840
9946,1856767,603526
10045,1726116,472875
10147,2551856,1298615
10251,2399198,1145957
10341,1728022,474781
10441,1397123,143882
10543,863633,0
10642,1182685,0
10743,977658,0
10862,1147558,0
10951,1423278,170037
11044,1222515,0
11150,1066643,0
11246,1079724,0
11351,932838,0
11447,1122601,0
11547,832715,0
11651,664927,0
11751,1010792,0
11852,1300640,47399
11953,1161605,0
12057,1158919,0
12160,870972,0
12259,969414,0
12362,792854,0
12461,823767,0
12563,924092,0
12661,1587116,333875
12761,1058329,0
12863,918669,0
12962,835470,0
13064,852279,0
13165,1050113,0
13268,971562,0
13374,782295,0
13465,1157985,0
13568,581978,0
13666,1103040,0
13767,978732,0
13869,653745,0
13969,1210129,0
14069,1043730,0
14171,580285,0
14224,977589,0
14323,1277728,24487
14424,984828,0
14526,571576,0
14626,923458,0
14726,1839492,586251
14826,1304539,51298
14928,713439,0
15027,1013509,0
15130,1094388,0
15228,1244026,0
15328,1289383,36142
15432,712477,0
15530,982563,0
15631,782295,0
15733,948296,0
15832,806296,0
15933,785425,0
16034,761713,0
16134,768193,0
16237,634283,0
16337,767959,0
16439,681979,0
16542,1076863,0
16648,1119515,0
16739,885521,0
16839,802075,0
16940,736809,0
17041,725118,0
17143,693917,0
17244,782773,0
17343,732553,0
17444,679411,0
17546,718466,0
17645,1043513,0
17747,813223,0
17849,707047,0
17950,736320,0
18049,709539,0
18151,772992,0
18250,850594,0
18355,996643,0
18458,1667461,414220
18561,1591413,338172
18652,1505371,252130
18760,1691178,437937
18860,1663072,409831
18961,629805,0
19061,1454799,201558
19164,1281156,27915
19264,1310349,57108
19363,1597767,344526
19463,1300202,46961
19573,1431827,178586
19664,1498583,245342
19765,1543325,290084
19865,1627263,374022
19968,1921237,667996
20069,1577072,323831
20162,1449773,196532
20267,1014334,0
20373,1524617,271376
20469,1464773,211532
20572,1256055,2814
20673,1378771,125530
20773,1339898,86657
20878,1395712,142471
20972,1518423,265182
21072,1331957,78716
21178,1365033,111792
21274,1871264,618023
21375,1375007,121766
21478,1724098,470857
21580,1770038,516797
21680,1526882,273641
21769,1519712,266471
21879,1295215,41974
21978,1863821,610580
22082,1638345,385104
22180,1086681,0
22279,1254766,1525
22381,1484600,231359
22481,1459786,206545
22582,1505491,252250
22686,1444825,191584
22784,1585601,332360
22883,1478160,224919
22982,2078979,825738
23083,1641603,388362
23184,1555562,302321
23284,1734814,481573
23384,1208175,0
23488,1129304,0
23580,797143,0
23684,765083,0
23786,1384919,131678
23892,950052,0
23983,1079113,0
24083,951853,0
24183,883611,0
24287,710027,0
24386,777780,0
24485,371949,0
24586,936892,0
24690,854608,0
24788,754465,0
24889,679507,0
24990,1085368,0
25092,834277,0
25193,645441,0
25294,759081,0
25393,1297847,44606
25493,1107103,0
25595,1260822,7581
25695,1342423,89182
25796,859919,0
25898,643210,0
25998,731857,0
26100,699277,0
26203,705374,0
26305,811933,0
26401,1271497,18256
26513,1161254,0
26615,1490776,237535
26716,1431827,178586
26813,1421978,168737
26915,1377283,124042
27013,1183065,0
27114,1551849,298608
27211,2610943,1357702
27312,2020650,767409
27413,1634433,381192
27513,1663114,409873
27621,1330048,76807
27715,1370020,116779
27827,2100489,847248
27909,2477860,1224619
28009,1912718,659477
28110,1605765,352524
28212,1256961,3720
28314,1025660,0
28418,1339573,86332
28520,1419890,166649
28620,1424877,171636
28719,1739486,486245
28813,1592159,338918
28914,1471116,217875
28964,1555895,302654
29065,1831536,578295
29165,1336614,83373
29266,1336614,83373
29367,865858,0
29470,700612,0
29571,688338,0
29671,461286,0
29772,1857989,604748
29871,2352174,1098933
29972,1294216,40975
30073,952146,0
30175,911957,0
30273,968244,0
30374,667929,0
30476,787032,0
30577,265291,0
30676,715760,0
30778,755684,0
30878,613380,0
30980,746363,0
31081,761264,0
31183,665527,0
31283,744131,0
31383,686106,0
31484,810313,0
31586,1108063,0
31684,873469,0
31785,762491,0
31885,1183864,0
31986,1036632,0
32088,988192,0
32187,1197646,0
32287,1404973,151732
32388,2139213,885972
32492,2244547,991306
32594,1051368,0
32695,1096477,0
32798,966814,0
32899,916944,0
33004,832089,0
33105,910298,0
33199,1407168,153927
33300,996015,0
33400,1284709,31468
33494,1086751,0
33595,914201,0
33695,877341,0
33797,958270,0
33899,772992,0
33999,881809,0
34099,836725,0
34200,649905,0
34305,755233,0
34400,1220889,0
34500,1516655,263414
34601,1164506,0
34702,1363554,110313
34811,1121789,0
34903,449798,0
35009,1226201,0
35105,1214436,0
35205,1300202,46961
35306,1379419,126178
35406,1276496,23255
35523,1279759,26518
35618,1625536,372295
35720,1609284,356043
35821,1841564,588323
35919,1512542,259301
36009,1605112,351871
36123,1555895,302654
36220,1147533,0
36318,1148654,0
36422,1439838,186597
36520,1389968,136727
36621,1554539,301298
36722,1341764,88523
36823,1614384,361143
36928,1624096,370855
37026,1519630,266389
37129,1330048,76807
37223,1763495,510254
37327,1567058,313817
37428,604149,0
37525,1756325,503084
37626,1120504,0
37728,652478,0
37828,1519712,266471
37919,1541222,287981
38029,1313632,60391
38128,1529604,276363
38228,1421923,168682
38329,1488605,235364
38431,896996,0
38534,1065241,0
38623,1122134,0
38725,868677,0
38825,897290,0
38926,668167,0
39027,1261725,8484
39126,1165831,0
39234,960398,0
39336,971801,0
39437,1143644,0
39529,1114964,0
39630,941879,0
39731,872061,0
39832,723750,0
39933,743125,0
40034,705076,0
40135,687085,0
40234,748595,0
40335,697265,0
40436,734088,0
40538,705076,0
40640,706192,0
40739,739964,0
40841,409759,0
40941,1468795,215554
41041,1171257,0
41141,1074401,0
41250,891659,0
41355,776275,0
41451,874771,0
41550,877048,0
41650,1007532,0
41750,1093454,0
41844,872061,0
41946,874132,0
42046,928348,0
42147,942667,0
42246,1572776,319535
42347,1120105,0
42449,1008140,0
42549,763716,0
42649,599431,0
42752,1090649,0
42859,704292,0
42950,997627,0
43051,881809,0
43152,749726,0
43254,738265,0
43354,766573,0
43455,761264,0
43557,706140,0
43655,1048658,0
43755,788409,0
43858,761713,0
43959,706192,0
44060,673831,0
44159,717350,0
44260,729727,0
44361,732967,0
44462,1012665,0
44565,872171,0
44671,1417475,164234
44761,1534052,280811
44861,1835167,581926
44962,1303782,50541
45064,1419114,165873
45164,323788,0
45264,1259248,6007
45367,1111040,0
45469,1222647,0
45567,1247032,0
45668,1330528,77287
45771,1183572,0
45868,1588727,335486
45976,1234695,0
46077,1713304,460063
46178,1730067,476826
46282,1529604,276363
46381,1526882,273641
46422,1598583,345342
46523,1520871,267630
46675,1207986,0
46724,1289417,36176
46826,1375051,121810
46927,1216346,0
47029,1269700,16459
47149,985377,0
47243,892127,0
47338,1482927,229686
47437,2107659,854418
47540,1792175,538934
47632,1598583,345342
47735,1172385,0
47855,1400768,147527
47944,1428544,175303
48042,1539578,286337
48146,1275578,22337
48245,1359597,106356
48354,1372730,119489
48448,1634433,381192
48537,828793,0
48646,1195823,0
48748,1505371,252130
48839,1892557,639316
48946,1892557,639316
49048,1746209,492968
49156,1281156,27915
49250,1579474,326233
49351,1330067,76826
49453,1071943,0
49544,835372,0
49644,1538193,284952
49745,951853,0
49846,933335,0
49948,789364,0
50046,282355,0
50151,1312594,59353
50256,1060796,0
50357,1201472,0
50455,957222,0
50556,986762,0
50657,936892,0
50758,838656,0
50862,924019,0
50958,1191230,0
51064,874771,0
51160,841939,0
51260,1006710,0
51360,1254705,1464
51453,996736,0
51555,874132,0
51656,789231,0
51758,751993,0
51856,654727,0
51962,935305,0
52057,712621,0
52159,845112,0
52258,847800,0
52360,701728,0
52461,698380,0
52561,623124,0
52662,1308625,55384
52762,846632,0
52864,813408,0
52963,840333,0
53064,906045,0
53166,629927,0
53268,818413,0
53368,743125,0
53468,721213,0
53971,1055734,0
55482,710341,0
56890,1132482,0
58198,201448,0
59355,1695181,441940
60464,719987,0
61471,781901,0
62276,488549,0
62882,475679,0
63284,205502,0
63484,960346,0
63586,986993,0
63684,1135873,0
63784,1440246,187005
63885,1476103,222862
63985,1501038,247797
64085,1464773,211532
64186,1275267,22026
64287,1580830,327589
64386,1501759,248518
64500,1275267,22026
64596,1444825,191584
64697,1554539,301298
64798,1087142,0
64896,1441188,187947
64996,2089500,836259
65098,1575541,322300
65198,1620093,366852
65298,1378152,124911
65404,1215423,0
65507,1356314,103073
65601,1514643,261402
65701,1509656,256415
65801,1588190,334949
65902,1524617,271376
66006,1419890,166649
66104,1082883,0
66203,1276276,23035
66302,1517494,264253
66404,1763495,510254
66506,1452357,199116
66606,1554539,301298
66707,1489708,236467
66810,1385862,132621
66911,1539578,286337
67007,1577072,323831
67114,1509656,256415
67221,1494695,241454
67309,1655943,402702
67404,944007,0
67503,740148,0
67605,1284242,31001
67707,979200,0
67809,898637,0
67908,756393,0
68009,735793,0
68110,903580,0
68216,803337,0
68314,755233,0
68413,784063,0
68515,695033,0
68616,685343,0
68717,776341,0
68817,669991,0
68917,736715,0
69019,674454,0
69069,749532,0
69170,734872,0
69269,899968,0
69373,573505,0
69481,1345263,92022
69571,954398,0
69674,1094349,0
69772,805824,0
69874,832366,0
69976,688338,0
70075,636514,0
70177,118775,0
70277,783581,0
70378,675570,0
70478,708423,0
70581,706192,0
70681,762380,0
70781,705076,0
70883,652137,0
70983,699277,0
71084,780234,0
71186,868470,0
,,
,,
,,
,,
