datetime,cpu,mem
Sat Oct 22 16:19:45 GMT 2022,30,1382426
Sat Oct 22 16:19:47 GMT 2022,0.3,1377390
Sat Oct 22 16:19:49 GMT 2022,0.3,1257052
Sat Oct 22 16:19:51 GMT 2022,0.3,1349160
Sat Oct 22 16:19:54 GMT 2022,0.1,1395969
Sat Oct 22 16:19:57 GMT 2022,0.1,1381581
Sat Oct 22 16:19:59 GMT 2022,0,1382459
Sat Oct 22 16:20:01 GMT 2022,0,1375357
Sat Oct 22 16:20:03 GMT 2022,0,1381003
Sat Oct 22 16:20:05 GMT 2022,0,1379081
Sat Oct 22 16:20:07 GMT 2022,0,1378277
Sat Oct 22 16:20:09 GMT 2022,0,1377983
Sat Oct 22 16:20:11 GMT 2022,34,1377449
Sat Oct 22 16:20:13 GMT 2022,34,1378837
Sat Oct 22 16:20:15 GMT 2022,34,1378955
Sat Oct 22 16:20:17 GMT 2022,33,1377049
Sat Oct 22 16:20:19 GMT 2022,33,1378261
Sat Oct 22 16:20:21 GMT 2022,33,1381119
Sat Oct 22 16:20:23 GMT 2022,33,1379885
Sat Oct 22 16:20:25 GMT 2022,33,1379741
Sat Oct 22 16:20:27 GMT 2022,33,1379219
Sat Oct 22 16:20:28 GMT 2022,31,1378077
Sat Oct 22 16:20:30 GMT 2022,31,1378489
Sat Oct 22 16:20:33 GMT 2022,31,1377463
Sat Oct 22 16:20:35 GMT 2022,26,1378207
Sat Oct 22 16:20:36 GMT 2022,26,1379673
Sat Oct 22 16:20:38 GMT 2022,26,1379795
Sat Oct 22 16:20:40 GMT 2022,33,1377713
Sat Oct 22 16:20:42 GMT 2022,33,1379003
Sat Oct 22 16:20:44 GMT 2022,33,1381795
Sat Oct 22 16:20:46 GMT 2022,34,1379289
Sat Oct 22 16:20:48 GMT 2022,34,1378721
Sat Oct 22 16:20:50 GMT 2022,34,1381319
Sat Oct 22 16:20:52 GMT 2022,35,1381221
Sat Oct 22 16:20:53 GMT 2022,35,1379565
Sat Oct 22 16:20:55 GMT 2022,35,1381759
Sat Oct 22 16:20:58 GMT 2022,0.1,1379353
