Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,2318062,777474
117,2349680,809092
219,1386091,0
316,2539834,999246
418,2150680,610092
517,2329932,789344
568,2494844,954256
668,3208916,1668328
768,3577735,2037147
870,1889435,348847
971,2178808,638220
1077,1918600,378012
1173,3584859,2044271
1265,4466377,2925789
1367,2063437,522849
1467,2511472,970884
1568,2796693,1256105
1667,2282943,742355
1767,1547249,6661
1867,1279391,0
1967,1561585,20997
2072,1730440,189852
2173,4331303,2790715
2273,4802162,3261574
2373,3487289,1946701
2474,2364012,823424
2575,1958002,417414
2674,2516732,976144
2775,3330503,1789915
2880,2771494,1230906
2985,2943368,1402780
3080,2442207,901619
3177,2686117,1145529
3278,1939748,399160
3378,1600137,59549
3478,2823972,1283384
3583,2459700,919112
3679,2827055,1286467
3784,3215244,1674656
3900,3092279,1551691
3980,3961193,2420605
4087,3863206,2322618
4184,3528404,1987816
4290,3260527,1719939
4391,2469540,928952
4491,2599735,1059147
4590,2893709,1353121
4695,2119339,578751
4793,3302404,1761816
4898,3381275,1840687
4992,3388445,1847857
5092,2248400,707812
5194,1947256,406668
5296,2069148,528560
5395,2477843,937255
5498,2298591,758003
5605,2176699,636111
5700,2205380,664792
5800,2234060,693472
5896,1079675,0
6003,1177165,0
6099,1251757,0
6200,1165716,0
6308,1037532,0
6404,1373395,0
6502,1232679,0
6604,1018789,0
6713,776756,0
6803,1103219,0
6904,889330,0
7006,1204535,0
7108,1424054,0
7208,1170763,0
7314,1998178,457590
7408,1632314,91726
7510,1384653,0
7609,1333995,0
7709,962502,0
7811,956874,0
7910,973760,0
8020,816157,0
8114,917473,0
8222,973760,0
8315,1384653,0
8415,1497226,0
8515,1182021,0
8620,911844,0
8717,962502,0
8817,1182021,0
8918,934359,0
9018,1114477,0
9118,816157,0
9223,692326,0
9322,821786,0
9416,955450,0
9517,724670,0
9617,682926,0
9718,997191,0
9818,768748,0
9918,1228896,0
10026,940893,0
10123,977485,0
10222,1028132,0
10328,887415,0
10426,1050647,0
10539,759628,0
10631,1444654,0
10725,1078790,0
10826,454685,0
10925,618478,0
11026,664520,0
11125,844277,0
11227,524383,0
11327,799248,0
11429,513126,0
11529,476171,0
11632,738719,0
11730,1227508,0
11831,511257,0
11932,760787,0
12032,1334912,0
12134,1131340,0
12234,854592,0
12335,494360,0
12441,500290,0
12537,571288,0
12641,520947,0
12739,781424,0
12840,452150,0
12942,656716,0
13044,805817,0
13144,435264,0
13243,692771,0
13345,384606,0
13444,899626,0
13544,626639,0
13647,455035,0
13746,656640,0
13846,874301,0
13948,461937,0
14049,630288,0
14152,989706,0
14250,1181716,0
14351,733586,0
14450,814458,0
14550,1054250,0
14651,877048,0
14701,1257288,0
14802,822191,0
14903,716623,0
15004,768193,0
15103,752935,0
15204,1352244,0
15304,1632314,91726
15404,844300,0
15505,1300223,0
15607,968244,0
15706,1337283,0
15806,1170763,0
15907,1086333,0
16008,1060667,0
16109,828806,0
16210,820403,0
16311,664927,0
16412,764953,0
16511,1447143,0
16612,1091962,0
16711,1018789,0
16812,744151,0
16914,906825,0
17013,635767,0
17115,748753,0
17216,743893,0
17317,784393,0
17420,649905,0
17520,699447,0
17620,744131,0
17721,496667,0
17823,305445,0
17923,1722840,182252
18025,906216,0
18124,965442,0
18226,707429,0
18329,724453,0
18429,764623,0
18528,751993,0
18631,648727,0
18732,697265,0
18831,762380,0
18933,885440,0
19033,675360,0
19134,730741,0
19234,1022987,0
19336,814685,0
19436,779203,0
19537,703960,0
19639,653851,0
19741,735662,0
19838,996274,0
19951,901509,0
20047,1036632,0
20148,876637,0
20249,858355,0
20352,810696,0
20451,997524,0
20551,926918,0
20652,986762,0
20754,943670,0
20850,1536627,0
20946,1429682,0
21046,1075076,0
21148,833595,0
21248,1053023,0
21349,786597,0
21451,617126,0
21549,866815,0
21650,961714,0
21750,968244,0
21852,718449,0
21953,743893,0
22054,745513,0
22153,742273,0
22255,773053,0
22356,933400,0
22457,709539,0
22559,649905,0
22659,735500,0
22761,671106,0
22860,768193,0
22963,832366,0
23062,760093,0
23162,718387,0
23262,1621057,80469
23363,664183,0
23468,661970,0
23574,1202323,0
23664,827414,0
23765,854184,0
23865,814383,0
23970,685582,0
24067,783514,0
24169,751663,0
24269,755233,0
24370,651967,0
24470,1812432,271844
24570,962502,0
24673,1395910,0
24773,841476,0
24872,805685,0
24974,713527,0
25075,712067,0
25177,457266,0
25279,578315,0
25381,984088,0
25485,832255,0
25580,723750,0
25678,1015223,0
25778,2138895,598307
25878,2054465,513877
25980,1525370,0
26080,1474712,0
26180,1457826,0
26281,1463454,0
26381,1305851,0
26482,1362138,0
26582,1559142,18554
26683,951245,0
26785,758096,0
26885,815012,0
26986,665207,0
27088,642536,0
27187,1000327,0
27291,627259,0
27389,883465,0
27490,812862,0
27590,745062,0
27691,821323,0
27794,664927,0
27893,770665,0
27995,743893,0
28094,690847,0
28196,775963,0
28296,751993,0
28397,691685,0
28497,741899,0
28599,688826,0
28698,809983,0
28800,625356,0
28900,749711,0
28999,1344251,0
29101,1106484,0
29204,867074,0
29302,1059091,0
29403,1031908,0
29503,720445,0
29553,656827,0
29655,902513,0
29754,735793,0
29857,629819,0
29957,710606,0
30058,674021,0
30160,776886,0
30260,618605,0
30363,786929,0
30462,647673,0
30563,724440,0
30663,722930,0
30764,539366,0
30866,490701,0
30964,1117146,0
31065,682904,0
31172,971801,0
31266,889786,0
31367,1092166,0
31466,1294594,0
31567,769759,0
31670,822750,0
31769,822007,0
31870,708253,0
31971,820141,0
32071,1257490,0
32173,877591,0
32272,1246087,0
32373,842139,0
32474,812862,0
32574,796053,0
32675,1666086,125498
32781,845594,0
32884,808025,0
32983,1255655,0
33083,911844,0
33177,936892,0
33280,872061,0
33378,968390,0
33478,898426,0
33580,817204,0
33681,839128,0
33781,768193,0
33880,1615428,74840
33981,804900,0
34082,1260822,0
34183,793163,0
34284,808754,0
34385,688813,0
34486,470657,0
34585,584881,0
34686,1061455,0
34789,711233,0
34889,720698,0
34990,697265,0
35093,730741,0
35190,1227715,0
35291,743443,0
35392,790092,0
35494,702187,0
35594,687172,0
35696,728509,0
35797,719582,0
35896,724046,0
35997,690569,0
36097,721814,0
36199,745513,0
36299,722833,0
36403,714813,0
36501,759870,0
36600,1232679,0
36700,858827,0
36802,773464,0
36902,1091962,0
37004,845467,0
37106,729138,0
37208,729313,0
37306,724440,0
37407,712887,0
37508,709873,0
37608,751993,0
37709,687607,0
37811,732553,0
38011,721814,0
38815,924701,0
40525,780493,0
42133,950424,0
43594,652660,0
45002,586726,0
46315,541142,0
47421,719523,0
48335,470389,0
49039,618541,0
49494,877048,0
49795,781710,0
49900,618047,0
50003,950139,0
50096,1131363,0
50197,1182021,0
50297,857888,0
50398,814093,0
50498,958221,0
50602,669787,0
50699,981722,0
50800,835997,0
50902,229296,0
51003,739033,0
51105,753613,0
51206,740653,0
51306,737413,0
51407,725316,0
51507,736645,0
51607,900842,0
51707,1194787,0
51808,990646,0
51909,843349,0
52010,780915,0
52110,788775,0
52210,766970,0
52314,840660,0
52413,740653,0
52516,702844,0
52618,701728,0
52718,672222,0
52819,694520,0
52921,720698,0
53020,705076,0
53121,724046,0
53221,808359,0
53322,1157126,0
53422,1424054,0
53523,607570,0
53626,1235886,0
53733,1016695,0
53824,962502,0
53925,976788,0
54026,1051142,0
54127,681781,0
54227,807520,0
54328,748753,0
54427,1609913,69325
54528,1221421,0
54628,1564770,24182
54729,978860,0
54831,943309,0
54930,1091962,0
55031,783313,0
55132,789364,0
55232,855378,0
55332,539389,0
55433,903852,0
55536,778284,0
55637,801022,0
55736,947473,0
55836,815210,0
55937,746940,0
56039,741468,0
56141,793783,0
56241,743893,0
56342,730741,0
56442,673150,0
56544,697265,0
56644,821653,0
56747,727693,0
56847,823753,0
56945,1733630,193042
57047,838672,0
57147,771128,0
57248,1072217,0
57349,837152,0
57450,817204,0
57549,1095107,0
57650,763716,0
57750,766843,0
57851,1294594,0
57951,1084916,0
58053,1252734,0
58153,1386878,0
58253,1464376,0
58354,794027,0
58455,748423,0
58556,735204,0
58658,652137,0
58761,753354,0
58861,646557,0
58960,658996,0
59064,771128,0
59162,920889,0
59263,816665,0
59363,745291,0
59466,734173,0
59566,830454,0
59666,787336,0
59768,734088,0
59867,696149,0
59968,693181,0
60071,715119,0
60170,661064,0
60271,743410,0
60374,625572,0
60473,743055,0
60576,712723,0
60676,694923,0
60775,622179,0
60879,690204,0
60984,889977,0
61076,900587,0
61176,893439,0
61277,1412796,0
61377,1018789,0
61478,873491,0
61581,972589,0
61679,805358,0
61780,732995,0
61882,814843,0
61983,737413,0
62084,745513,0
62184,714733,0
62287,764953,0
62387,760580,0
62490,634281,0
62588,1091490,0
62692,1103040,0
62789,1001819,0
62902,941879,0
62997,1136991,0
63091,962502,0
63191,1069447,0
63295,810528,0
63392,1390281,0
63492,1671715,131127
63593,1260822,0
63693,951245,0
63794,1080705,0
63894,1063819,0
63995,1136991,0
64095,962502,0
64195,1142620,0
64296,985017,0
64398,1142620,0
64498,968131,0
64597,1215793,0
64697,1103219,0
64798,1435311,0
64898,1030046,0
64999,1052561,0
65099,1052561,0
65199,1148249,0
65300,1165135,0
65400,1153877,0
65501,900587,0
65601,1103219,0
65701,1108848,0
65752,1103219,0
65852,956874,0
65957,1238307,0
66053,1300223,0
66154,1182021,0
66259,692973,0
66360,1034802,0
66464,985017,0
66556,1103219,0
66656,1086333,0
66759,562867,0
66861,1041304,0
66958,874305,0
67060,632527,0
67159,1173079,0
67259,1350881,0
67362,965304,0
67461,893235,0
67562,786493,0
67665,833906,0
67762,921208,0
67863,1045951,0
67964,712345,0
68065,485140,0
68169,1007532,0
68274,1148896,0
68366,1103219,0
68466,1182021,0
68567,1339623,0
68667,1418425,0
68767,1407168,0
68868,979388,0
68970,892009,0
69070,868504,0
69173,820366,0
69272,797087,0
69373,775374,0
69474,676267,0
69575,724453,0
69675,831811,0
69776,777913,0
69878,589007,0
69982,474383,0
70081,954155,0
70188,895605,0
70289,979388,0
70381,863055,0
70479,877588,0
70584,744526,0
70683,644325,0
70784,732972,0
70884,708599,0
70985,835997,0
71087,230833,0
71186,746856,0
71292,689404,0
71388,937541,0
,,
,,
