datetime,cpu,mem
Sat Oct 22 18:59:44 GMT 2022,0.1,1153454
Sat Oct 22 18:59:46 GMT 2022,0.1,1152086
Sat Oct 22 18:59:47 GMT 2022,0.1,1177837
Sat Oct 22 18:59:49 GMT 2022,0.1,1240198
Sat Oct 22 18:59:51 GMT 2022,68,1335039
Sat Oct 22 18:59:53 GMT 2022,68,1257685
Sat Oct 22 18:59:54 GMT 2022,68,1264149
Sat Oct 22 18:59:56 GMT 2022,0.1,1254625
Sat Oct 22 18:59:58 GMT 2022,0.1,1254014
Sat Oct 22 19:00:00 GMT 2022,0.1,1253343
Sat Oct 22 19:00:01 GMT 2022,31,1251002
Sat Oct 22 19:00:03 GMT 2022,31,1250306
Sat Oct 22 19:00:04 GMT 2022,31,1250894
Sat Oct 22 19:00:06 GMT 2022,31,1253211
Sat Oct 22 19:00:07 GMT 2022,0,1246402
Sat Oct 22 19:00:08 GMT 2022,0,1244682
Sat Oct 22 19:00:10 GMT 2022,0,1244602
Sat Oct 22 19:00:12 GMT 2022,0,1245167
Sat Oct 22 19:00:13 GMT 2022,0.1,1245418
Sat Oct 22 19:00:15 GMT 2022,0.1,1244206
Sat Oct 22 19:00:16 GMT 2022,0.1,1242492
Sat Oct 22 19:00:18 GMT 2022,0.1,1248449
Sat Oct 22 19:00:20 GMT 2022,31,1247562
Sat Oct 22 19:00:21 GMT 2022,31,1237434
Sat Oct 22 19:00:23 GMT 2022,31,1236202
Sat Oct 22 19:00:24 GMT 2022,31,1235751
Sat Oct 22 19:00:26 GMT 2022,32,1234714
Sat Oct 22 19:00:27 GMT 2022,32,1235762
Sat Oct 22 19:00:29 GMT 2022,32,1234454
Sat Oct 22 19:00:30 GMT 2022,32,1234361
Sat Oct 22 19:00:32 GMT 2022,30,1234388
Sat Oct 22 19:00:33 GMT 2022,30,1235680
Sat Oct 22 19:00:35 GMT 2022,30,1236852
Sat Oct 22 19:00:36 GMT 2022,30,1236789
Sat Oct 22 19:00:38 GMT 2022,0,1234794
Sat Oct 22 19:00:39 GMT 2022,0,1235395
Sat Oct 22 19:00:41 GMT 2022,0,1237932
Sat Oct 22 19:00:43 GMT 2022,35,1235495
Sat Oct 22 19:00:44 GMT 2022,35,1233483
Sat Oct 22 19:00:45 GMT 2022,35,1237235
Sat Oct 22 19:00:47 GMT 2022,35,1237660
Sat Oct 22 19:00:49 GMT 2022,0.1,1236855
Sat Oct 22 19:00:50 GMT 2022,0.1,1237031
Sat Oct 22 19:00:52 GMT 2022,0.1,1235231
Sat Oct 22 19:00:53 GMT 2022,0.1,1237312
Sat Oct 22 19:00:55 GMT 2022,0,1236519
Sat Oct 22 19:00:56 GMT 2022,0,1234852
Sat Oct 22 19:00:58 GMT 2022,0,1221941
