Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
11,2215211,606984
89,2593637,985410
191,2393669,785442
293,1634433,26206
389,1720474,112247
490,1663114,54887
592,2654763,1046536
694,2709947,1101720
791,2746919,1138692
891,3768957,2160730
993,3091170,1482943
1087,4654284,3046057
1187,5637072,4028845
1288,3999770,2391543
1387,3452774,1844547
1487,3356651,1748424
1594,3255131,1646904
1696,3479186,1870959
1790,2760890,1152663
1891,2304383,696156
1993,4354196,2745969
2094,2642756,1034529
2201,3197104,1588877
2301,3247380,1639153
2402,2718695,1110468
2502,2770522,1162295
2601,2289859,681632
2703,1234839,0
2803,3075191,1466964
2905,2415296,807069
3003,2822844,1214617
3106,2911688,1303461
3199,2686930,1078703
3301,2966435,1358208
3402,2943077,1334850
3502,3348939,1740712
3608,2877795,1269568
3708,2692324,1084097
3808,2864284,1256057
3909,2509961,901734
4010,2694698,1086471
4110,2273782,665555
4215,3118275,1510048
4316,4650487,3042260
4413,3373508,1765281
4515,1727472,119245
4615,2214880,606653
4716,3165343,1557116
4812,2897634,1289407
4917,3995939,2387712
5017,2164701,556474
5118,1919375,311148
5218,2143448,535221
5324,1358241,0
5427,978377,0
5515,2122049,513822
5616,1183095,0
5717,1428478,0
5817,1701838,93611
5917,1336163,0
6018,1696209,87982
6119,1673625,65398
6219,1272706,0
6327,1971686,363459
6420,2133913,525686
6520,1910168,301941
6621,1288448,0
6721,1106720,0
6823,1208175,0
6922,2317392,709165
7023,1475003,0
7123,1131167,0
7224,921371,0
7336,1038208,0
7432,1111438,0
7532,1220367,0
7636,950052,0
7727,950052,0
7829,1018756,0
7928,1023101,0
8030,862087,0
8129,1460063,0
8230,562867,0
8335,1093454,0
8431,977658,0
8537,1952791,344564
8632,1448547,0
8733,1254000,0
8833,1084375,0
8935,933481,0
9034,1315727,0
9135,928348,0
9237,721419,0
9338,798725,0
9437,130806,0
9538,689453,0
9640,662179,0
9741,763496,0
9842,715119,0
9941,1242489,0
10041,2163995,555768
10142,2345117,736890
10242,1856009,247782
10343,1919277,311050
10443,1308417,0
10548,1092380,0
10653,1158710,0
10744,1814063,205836
10847,1182021,0
10947,1030505,0
11049,1063819,0
11147,1035019,0
11250,943349,0
11348,1255750,0
11449,771267,0
11551,696188,0
11651,1019244,0
11752,993072,0
11854,660005,0
11952,1335366,0
12052,1754713,146486
12154,737412,0
12256,797200,0
12355,900148,0
12455,815718,0
12555,962502,0
12657,1001903,0
12757,839602,0
12860,808806,0
12958,1054988,0
13064,825838,0
13160,1249048,0
13260,1035019,0
13362,783083,0
13461,1043263,0
13562,841426,0
13661,1251691,0
13762,1112627,0
13864,824371,0
13963,1085210,0
14075,871181,0
14165,1052442,0
14266,785140,0
14367,991998,0
14468,905957,0
14569,662712,0
14668,924529,0
14768,1085210,0
14869,1214271,0
14969,1063699,0
15070,735884,0
15175,1064773,0
15272,935712,0
15375,785208,0
15471,1072799,0
15577,795751,0
15673,1106720,0
15775,634568,0
15823,1328993,0
15924,1206027,0
16024,855767,0
16142,963755,0
16229,1150814,0
16351,616429,0
16435,1358747,0
16526,1157985,0
16630,617544,0
16729,742273,0
16830,917576,0
16930,1415501,0
17030,727053,0
17134,794806,0
17231,566802,0
17332,691928,0
17432,1228611,0
17535,640926,0
17634,880812,0
17734,1027849,0
17834,964392,0
17939,661557,0
18035,1033075,0
18137,1135400,0
18238,626992,0
18339,818119,0
18439,1053023,0
18540,1123069,0
18641,640360,0
18740,1016684,0
18844,1242226,0
18944,549902,0
19045,989220,0
19143,1406322,0
19248,571576,0
19349,746659,0
19452,754062,0
19548,1390281,0
19649,1181901,0
19750,877277,0
19849,1049359,0
19955,646357,0
20051,1173259,0
20153,562867,0
20252,937624,0
20354,737646,0
20454,583526,0
20558,343079,0
20658,1018789,0
20761,1198497,0
20872,872061,0
20966,1279876,0
21057,1028923,0
21159,743696,0
21260,773958,0
21362,651021,0
21462,177916,0
21564,812181,0
21665,789161,0
21765,672715,0
21867,753116,0
21967,680988,0
22067,693181,0
22168,626471,0
22269,750826,0
22373,798512,0
22472,1286639,0
22578,916367,0
22677,1287046,0
22779,971801,0
22885,1091490,0
22981,991749,0
23081,976788,0
23181,1101464,0
23281,1118819,0
23382,852113,0
23483,1016684,0
23586,763142,0
23688,1111438,0
23792,1091490,0
23888,1337237,0
23983,1071546,0
24087,775809,0
24194,949724,0
24291,1043263,0
24394,855072,0
24498,759859,0
24597,1096477,0
24692,1193835,0
24795,916944,0
24895,1047394,0
24995,926918,0
25100,847344,0
25206,753984,0
25309,756034,0
25406,859586,0
25505,805509,0
25608,779710,0
25709,575336,0
25801,877713,0
25900,1088892,0
26002,945616,0
26110,1154244,0
26203,1293461,0
26306,1279876,0
26397,997736,0
26498,750009,0
26601,717205,0
26699,896620,0
26801,801335,0
26902,730741,0
27003,691439,0
27103,702761,0
27207,775770,0
27305,681593,0
27406,718515,0
27507,637885,0
27610,737356,0
27715,1167705,0
27810,1000242,0
27919,749399,0
28023,813876,0
28067,1116425,0
28174,787185,0
28272,1046606,0
28368,1007442,0
28474,754062,0
28575,756393,0
28678,824011,0
28777,917452,0
28871,1026658,0
28981,882035,0
29072,1179495,0
29165,1086284,0
29270,375401,0
29372,795331,0
29474,1036632,0
29574,911957,0
29675,1165135,0
29775,896996,0
29876,1066555,0
29976,986762,0
30077,1041619,0
