datetime,cpu,mem
Sat Oct 22 18:52:11 GMT 2022,3.9,1120831
Sat Oct 22 18:52:12 GMT 2022,2.9,1043341
Sat Oct 22 18:52:14 GMT 2022,2.9,1113518
Sat Oct 22 18:52:15 GMT 2022,2.9,1144513
Sat Oct 22 18:52:17 GMT 2022,2.9,1211194
Sat Oct 22 18:52:18 GMT 2022,61,1228663
Sat Oct 22 18:52:20 GMT 2022,61,1247950
Sat Oct 22 18:52:22 GMT 2022,61,1228078
Sat Oct 22 18:52:23 GMT 2022,61,1233998
Sat Oct 22 18:52:24 GMT 2022,53,1230921
Sat Oct 22 18:52:26 GMT 2022,53,1227901
Sat Oct 22 18:52:27 GMT 2022,53,1224669
Sat Oct 22 18:52:28 GMT 2022,53,1222298
Sat Oct 22 18:52:30 GMT 2022,28,1220201
Sat Oct 22 18:52:31 GMT 2022,28,1305243
Sat Oct 22 18:52:32 GMT 2022,28,1304653
Sat Oct 22 18:52:34 GMT 2022,28,1306482
Sat Oct 22 18:52:35 GMT 2022,28,1304141
Sat Oct 22 18:52:36 GMT 2022,28,1220557
Sat Oct 22 18:52:37 GMT 2022,28,1222185
Sat Oct 22 18:52:39 GMT 2022,28,1230234
Sat Oct 22 18:52:40 GMT 2022,32,1272337
Sat Oct 22 18:52:41 GMT 2022,32,1284121
Sat Oct 22 18:52:43 GMT 2022,32,1285017
Sat Oct 22 18:52:45 GMT 2022,32,1249698
Sat Oct 22 18:52:46 GMT 2022,43,1256293
Sat Oct 22 18:52:48 GMT 2022,43,1262229
Sat Oct 22 18:52:49 GMT 2022,43,1269973
Sat Oct 22 18:52:51 GMT 2022,43,1253274
Sat Oct 22 18:52:52 GMT 2022,43,1238309
Sat Oct 22 18:52:54 GMT 2022,43,1236933
Sat Oct 22 18:52:55 GMT 2022,43,1236605
Sat Oct 22 18:52:56 GMT 2022,43,1238210
Sat Oct 22 18:52:58 GMT 2022,28,1238009
Sat Oct 22 18:52:59 GMT 2022,28,1236519
Sat Oct 22 18:53:00 GMT 2022,28,1237529
Sat Oct 22 18:53:01 GMT 2022,28,1238714
Sat Oct 22 18:53:03 GMT 2022,29,1237289
Sat Oct 22 18:53:04 GMT 2022,29,1238351
Sat Oct 22 18:53:05 GMT 2022,29,1236495
Sat Oct 22 18:53:07 GMT 2022,29,1238718
Sat Oct 22 18:53:08 GMT 2022,29,1237841
Sat Oct 22 18:53:09 GMT 2022,29,1237385
Sat Oct 22 18:53:11 GMT 2022,29,1238557
Sat Oct 22 18:53:12 GMT 2022,29,1238562
Sat Oct 22 18:53:13 GMT 2022,29,1238461
Sat Oct 22 18:53:14 GMT 2022,29,1239265
Sat Oct 22 18:53:16 GMT 2022,29,1238441
Sat Oct 22 18:53:17 GMT 2022,29,1241242
Sat Oct 22 18:53:18 GMT 2022,28,1238721
Sat Oct 22 18:53:20 GMT 2022,28,1237085
Sat Oct 22 18:53:21 GMT 2022,28,1238414
Sat Oct 22 18:53:22 GMT 2022,28,1240830
Sat Oct 22 18:53:24 GMT 2022,30,1238720
Sat Oct 22 18:53:25 GMT 2022,30,1220196
