Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,2166195,667218
95,2322762,823785
196,2434252,935275
297,2251061,752084
398,2566545,1067568
498,2430314,931337
599,2265401,766424
698,2186791,687814
798,2724287,1225310
899,2434607,935630
994,3037588,1538611
1099,3555318,2056341
1199,4446501,2947524
1295,3727998,2229021
1397,3152014,1653037
1498,3164291,1665314
1596,1929834,430857
1697,1541491,42514
1797,1373864,0
1898,1555936,56959
1998,1449812,0
2098,1940616,441639
2205,1358026,0
2299,1858569,359592
2405,2778417,1279440
2505,3560251,2061274
2608,4058636,2559659
2708,2217189,718212
2811,2985948,1486971
2904,2846036,1347059
3003,2528970,1029993
3107,2875716,1376739
3213,2925764,1426787
3307,2689800,1190823
3411,2155167,656190
3506,3801443,2302466
3606,2733307,1234330
3707,2427276,928299
3807,2955854,1456877
3908,2412588,913611
4008,2199494,700517
4109,2946466,1447489
4210,3551558,2052581
4311,3690664,2191687
4412,3287444,1788467
4517,2452144,953167
4619,3221734,1722757
4718,3242222,1743245
4813,3614548,2115571
4919,3788005,2289028
5019,3612593,2113616
5118,2295843,796866
5218,2710640,1211663
5325,2633555,1134578
5425,3056930,1557953
5520,2088824,589847
5621,2470673,971696
5722,2191040,692063
5825,2176699,677722
5923,2363122,864145
6024,1782344,283367
6124,2327271,828294
6224,2879369,1380392
6324,2449163,950186
6426,2606905,1107928
6528,1330628,0
6629,1380819,0
6725,1029484,0
6827,1517051,18074
6928,1739324,240347
7029,1875555,376578
7127,2284251,785274
7227,1423840,0
7329,1348591,0
7429,937777,0
7538,592672,0
7637,876890,0
7741,551439,0
7834,1396664,0
7932,2081435,582458
8038,950612,0
8140,894757,0
8232,679654,0
8332,808981,0
8433,895022,0
8536,429569,0
8635,812892,0
8735,610502,0
8836,526699,0
8937,452653,0
9038,460435,0
9139,431695,0
9240,551124,0
9340,415358,0
9441,473637,0
9542,485013,0
9642,1663694,164717
9742,1030989,0
9848,1721171,222194
9946,1249491,0
10048,969031,0
10157,870048,0
10250,1177796,0
10353,1592861,93884
10450,1323458,0
10550,1352139,0
10651,1359309,0
10751,1030989,0
10850,917136,0
10959,426816,0
11054,894757,0
11152,887587,0
11254,643804,0
11353,592099,0
11476,407138,0
11556,1174391,0
11658,866077,0
11760,600783,0
11853,1020800,0
11956,1790605,291628
12054,915854,0
12155,440023,0
12257,736338,0
12356,806830,0
12462,538924,0
12557,1242205,0
12658,653124,0
12758,824793,0
12859,576254,0
12961,741166,0
13060,690976,0
13160,970609,0
13260,963439,0
13361,615123,0
13463,662295,0
13564,805697,0
13662,519892,0
13764,948872,0
13863,726826,0
13964,863058,0
14065,1011596,0
14167,389048,0
14267,742003,0
14367,992120,0
14467,647955,0
14566,904013,0
14667,1099550,0
14768,754610,0
14871,987248,0
14972,737828,0
15070,1135400,0
15173,827086,0
15271,1235782,0
15372,977658,0
15473,888452,0
15574,777308,0
15674,862684,0
15777,723910,0
15876,792809,0
15977,695033,0
16079,725161,0
16178,744575,0
16278,710655,0
16379,709539,0
16478,2004523,505546
16583,1710252,211275
16683,1539980,41003
16787,799480,0
16837,1330534,0
16942,1344407,0
17032,837152,0
17133,852113,0
17237,907140,0
17333,930585,0
