datetime,cpu,mem
Sat Oct 22 15:01:06 GMT 2022,28,1369255
Sat Oct 22 15:01:07 GMT 2022,0.3,1374035
Sat Oct 22 15:01:09 GMT 2022,0.3,1264647
Sat Oct 22 15:01:11 GMT 2022,0.3,1311067
Sat Oct 22 15:01:13 GMT 2022,0.1,1306242
Sat Oct 22 15:01:15 GMT 2022,0.1,1324808
Sat Oct 22 15:01:17 GMT 2022,0.1,1338574
Sat Oct 22 15:01:20 GMT 2022,0.2,1336055
Sat Oct 22 15:01:22 GMT 2022,0.2,1366553
Sat Oct 22 15:01:25 GMT 2022,0.2,1355694
Sat Oct 22 15:01:27 GMT 2022,0,1355669
Sat Oct 22 15:01:29 GMT 2022,0,1351081
Sat Oct 22 15:01:31 GMT 2022,0,1356551
Sat Oct 22 15:01:33 GMT 2022,0,1354694
Sat Oct 22 15:01:35 GMT 2022,0,1353894
Sat Oct 22 15:01:37 GMT 2022,0,1354777
Sat Oct 22 15:01:39 GMT 2022,34,1349567
Sat Oct 22 15:01:40 GMT 2022,34,1349539
Sat Oct 22 15:01:42 GMT 2022,34,1349640
Sat Oct 22 15:01:44 GMT 2022,35,1336119
Sat Oct 22 15:01:46 GMT 2022,35,1337851
Sat Oct 22 15:01:48 GMT 2022,35,1340018
Sat Oct 22 15:01:50 GMT 2022,32,1338953
Sat Oct 22 15:01:52 GMT 2022,32,1336789
Sat Oct 22 15:01:54 GMT 2022,32,1338998
Sat Oct 22 15:01:56 GMT 2022,31,1338737
Sat Oct 22 15:01:57 GMT 2022,31,1339365
Sat Oct 22 15:01:59 GMT 2022,31,1342146
Sat Oct 22 15:02:01 GMT 2022,30,1340686
Sat Oct 22 15:02:03 GMT 2022,30,1339078
Sat Oct 22 15:02:05 GMT 2022,30,1341703
Sat Oct 22 15:02:07 GMT 2022,33,1342058
Sat Oct 22 15:02:09 GMT 2022,33,1341202
Sat Oct 22 15:02:11 GMT 2022,33,1341767
Sat Oct 22 15:02:13 GMT 2022,32,1341958
Sat Oct 22 15:02:14 GMT 2022,32,1343530
Sat Oct 22 15:02:16 GMT 2022,32,1345487
Sat Oct 22 15:02:18 GMT 2022,32,1339278
