Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
59,2670812,546292
159,1975366,0
260,1720474,0
361,1926999,0
461,3317277,1192757
562,1804165,0
668,1392293,0
767,1949917,0
865,1693737,0
966,2151019,26499
1064,1221179,0
1168,4402035,2277515
1268,4130057,2005537
1366,4630947,2506427
1467,2961316,836796
1567,2400284,275764
1667,2105944,0
1769,3466139,1341619
1871,3026193,901673
1971,3352645,1228125
2071,3883264,1758744
2176,2294788,170268
2280,1795679,0
2378,2291784,167264
2480,2469216,344696
2580,4052386,1927866
2679,2347862,223342
2783,2824442,699922
2884,2121851,0
2977,3022850,898330
3080,3362957,1238437
3184,2624199,499679
3287,2845564,721044
3387,2493012,368492
3496,2674839,550319
3581,3253104,1128584
3681,2587081,462561
3782,2298755,174235
3887,2103363,0
3988,2790270,665750
4087,2868813,744293
4188,2796366,671846
4289,3452583,1328063
4389,3490262,1365742
4489,3233742,1109222
4590,3214438,1089918
4693,2544319,419799
4793,2876105,751585
4892,2452930,328410
4992,2453275,328755
5094,2000485,0
5193,2655569,531049
5294,1811025,0
5394,2266143,141623
5494,2182355,57835
5596,1900158,0
5695,2614075,489555
5795,1961597,0
5898,1839705,0
5997,1825365,0
6099,1531391,0
6198,1983107,0
6299,1889896,0
6400,1925746,0
6499,1846875,0
6602,1911406,0
6701,1983107,0
6801,1940086,0
6903,1811025,0
7002,1861215,0
7104,1667623,0
7203,1868385,0
7306,1531391,0
7405,2026127,0
7506,2384632,260112
7601,2018576,0
7707,2078881,0
7808,1452520,0
7912,1782344,0
8008,1656111,0
8110,1940086,0
8208,2090658,0
8310,1846875,0
8408,1768004,0
8511,1337798,0
8612,1545731,0
8717,1387989,0
8818,2248400,123880
8911,3296407,1171887
9012,3520463,1395943
9116,3696358,1571838
9218,3187282,1062762
9322,1845030,0
9420,2647212,522692
9522,3149987,1025467
9622,2205380,80860
9723,2129527,5007
9824,2209150,84630
9918,2992089,867569
10024,1719699,0
10129,1638942,0
10225,2148019,23499
10326,2757477,632957
10426,1752374,0
10527,1553513,0
10630,1716744,0
10734,1604171,0
10865,1806803,0
10949,2620148,495628
11033,2620148,495628
11136,2243027,118507
11234,1075076,0
11336,1204535,0
11436,1311480,0
11535,1046932,0
11636,973760,0
11737,1288965,0
11836,1125734,0
11942,1480340,0
12039,1722373,0
12144,1255193,0
12238,1063819,0
12344,1204535,0
12440,1198907,0
12542,923102,0
12642,1232679,0
12741,1165135,0
12854,1457826,0
12949,2251468,126948
13004,2251468,126948
13097,2195182,70662
13195,1953149,0
13297,1919377,0
13396,1654829,0
13501,632268,0
13600,1157591,0
13704,881786,0
13804,1399624,0
13903,1202621,0
14013,773381,0
14104,1332080,0
14203,1101305,0
14305,893044,0
14404,1123819,0
14509,938073,0
14607,1303937,0
14704,1146334,0
14813,821880,0
14907,1839608,0
15006,812385,0
15108,899612,0
15208,1056275,0
15310,983102,0
15410,1213878,0
15512,1118742,0
15616,1247650,0
15716,1146334,0
15812,1123819,0
15912,1332080,0
16014,893044,0
16114,1298308,0
16214,1219507,0
16315,1202621,0
16413,1742973,0
16511,1714830,0
16611,901025,0
16711,496576,0
16814,817910,0
16912,1536604,0
17015,1531915,0
17116,1556429,0
17215,901096,0
17318,1025335,0
17415,944188,0
17515,876144,0
17616,782137,0
17717,811313,0
17817,737254,0
17917,1164174,0
18018,775328,0
18118,866543,0
18219,919696,0
18322,1048790,0
18420,872736,0
18520,718139,0
18621,876890,0
18721,856196,0
18823,1004476,0
18924,1087250,0
19025,705888,0
