datetime,cpu,mem
Sat Oct 22 14:53:30 GMT 2022,34,1313584
Sat Oct 22 14:53:32 GMT 2022,0.3,1311221
Sat Oct 22 14:53:33 GMT 2022,0.3,1216799
Sat Oct 22 14:53:35 GMT 2022,0.3,1242280
Sat Oct 22 14:53:37 GMT 2022,0.2,1293766
Sat Oct 22 14:53:39 GMT 2022,0.2,1289145
Sat Oct 22 14:53:42 GMT 2022,0.2,1273721
Sat Oct 22 14:53:44 GMT 2022,-10.4,1271748
Sat Oct 22 14:53:45 GMT 2022,-10.4,1267260
Sat Oct 22 14:53:47 GMT 2022,-10.4,1269997
Sat Oct 22 14:53:49 GMT 2022,32,1269528
Sat Oct 22 14:53:51 GMT 2022,32,1267404
Sat Oct 22 14:53:53 GMT 2022,32,1267641
Sat Oct 22 14:53:54 GMT 2022,34,1267784
Sat Oct 22 14:53:56 GMT 2022,34,1268392
Sat Oct 22 14:53:58 GMT 2022,34,1267115
Sat Oct 22 14:53:59 GMT 2022,34,1269351
Sat Oct 22 14:54:01 GMT 2022,31,1269242
Sat Oct 22 14:54:03 GMT 2022,31,1268474
Sat Oct 22 14:54:04 GMT 2022,31,1270791
Sat Oct 22 14:54:06 GMT 2022,33,1265186
Sat Oct 22 14:54:08 GMT 2022,33,1268826
Sat Oct 22 14:54:09 GMT 2022,33,1268110
Sat Oct 22 14:54:11 GMT 2022,33,1270739
Sat Oct 22 14:54:13 GMT 2022,32,1268466
Sat Oct 22 14:54:15 GMT 2022,32,1269022
Sat Oct 22 14:54:16 GMT 2022,32,1270167
Sat Oct 22 14:54:18 GMT 2022,33,1270380
Sat Oct 22 14:54:20 GMT 2022,33,1265348
Sat Oct 22 14:54:22 GMT 2022,33,1269088
Sat Oct 22 14:54:23 GMT 2022,33,1270363
Sat Oct 22 14:54:25 GMT 2022,31,1269230
Sat Oct 22 14:54:27 GMT 2022,31,1269414
Sat Oct 22 14:54:29 GMT 2022,31,1267455
Sat Oct 22 14:54:30 GMT 2022,31,1266094
Sat Oct 22 14:54:32 GMT 2022,31,1266558
Sat Oct 22 14:54:34 GMT 2022,31,1268175
Sat Oct 22 14:54:36 GMT 2022,20,1267674
Sat Oct 22 14:54:37 GMT 2022,20,1268190
Sat Oct 22 14:54:39 GMT 2022,20,1268078
Sat Oct 22 14:54:40 GMT 2022,20,1270819
Sat Oct 22 14:54:42 GMT 2022,0,1270234
Sat Oct 22 14:54:43 GMT 2022,0,1271304
