Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
86,3125097,1394217
187,2437011,706131
287,2602657,871777
388,2321293,590413
493,2502764,771884
595,2530695,799815
696,3045471,1314591
791,3345609,1614729
890,3264154,1533274
990,2182813,451933
1093,1557989,0
1190,1677751,0
1293,3676406,1945526
1392,3229544,1498664
1492,2315349,584469
1594,2564670,833790
1694,2248652,517772
1801,1614146,0
1900,1236411,0
2007,1612810,0
2097,3268514,1537634
2197,3319528,1588648
2297,4189072,2458192
2401,4123779,2392899
2507,2340474,609594
2608,2061494,330614
2699,2215144,484264
2803,2789412,1058532
2903,2763996,1033116
3005,1598025,0
3104,2389734,658854
3205,1627640,0
3308,1449692,0
3407,2365556,634676
3507,2889363,1158483
3606,2901337,1170457
3707,2324370,593490
3807,2757400,1026520
3905,2320242,589362
4010,1938997,208117
4105,3213917,1483037
4221,2691155,960275
4313,3540938,1810058
4414,2799240,1068360
4516,1617432,0
4614,3830987,2100107
4717,2610550,879670
4816,3404632,1673752
4921,2722172,991292
5017,3659651,1928771
5117,2967390,1236510
5223,2637812,906932
5313,1775577,44697
5414,3677939,1947059
5523,2412055,681175
5621,3378943,1648063
5718,2678196,947316
5816,1835393,104513
5918,1894674,163794
6023,1509425,0
6124,1394249,0
6224,1864254,133374
6323,1742362,11482
6425,1393093,0
6525,1739324,8444
6626,1215907,0
6725,1194397,0
6847,700159,0
6928,1997447,266567
7029,1409499,0
7131,1007974,0
7231,1610262,0
7331,2011787,280907
7435,1509881,0
7532,1158546,0
7638,1301948,0
7733,1423840,0
7834,1545731,0
7935,1588752,0
8036,1095496,0
8140,999060,0
8237,1467231,0
8344,1073689,0
8438,891851,0
8539,782137,0
8636,1905740,174860
8737,964573,0
8860,734289,0
8944,1681058,0
9039,1486980,0
9142,1423459,0
9242,1066839,0
9347,851736,0
9442,1030989,0
9546,772865,0
9648,702345,0
9743,1389493,0
9845,883678,0
9947,914049,0
10050,1079741,0
10146,1296282,0
10245,924951,0
10352,1256640,0
10448,1144619,0
10548,1317792,0
10648,1387989,0
10749,1115526,0
10846,1017707,0
10949,428966,0
11046,860643,0
11148,672484,0
11248,810453,0
11347,841548,0
11448,633615,0
11549,741166,0
11650,405786,0
11750,669772,0
11850,827208,0
11952,543422,0
12055,1161787,0
12153,2172771,441891
12253,655506,0
12354,988233,0
12453,720715,0
12555,430721,0
12655,703560,0
12756,771245,0
12857,882095,0
12956,881550,0
13057,475873,0
13156,784187,0
13259,475873,0
13358,977780,0
13457,1159143,0
13558,820670,0
13657,1185591,0
13760,637443,0
13862,730691,0
13961,1401472,0
14062,1579946,0
14162,1119986,0
14264,820990,0
14363,1357673,0
14466,865413,0
14564,942882,0
14669,658812,0
14771,1238238,0
14868,1031141,0
14999,632649,0
15084,954100,0
15178,1061568,0
15278,951853,0
15378,1179495,0
15477,1179495,0
15587,841939,0
15633,1236113,0
15743,971801,0
15831,1824803,93923
15925,1839143,108263
16025,1771997,41117
16126,855767,0
16227,683343,0
16328,1008140,0
16428,966814,0
16532,985495,0
16640,997879,0
16738,841003,0
16839,897719,0
16937,1238858,0
17039,810973,0
17140,832089,0
17245,868204,0
17340,1001723,0
17445,1006710,0
17544,835372,0
17648,937152,0
17743,1166295,0
17848,1125700,0
17944,1172325,0
18054,1081516,0
18146,1172325,0
18239,780134,0
18343,896261,0
18449,1385284,0
18541,1095393,0
18643,862087,0
18744,993325,0
18844,786493,0
18944,681359,0
19046,714733,0
19147,682265,0
19248,708423,0
19349,755684,0
19450,777780,0
19551,788071,0
19652,708423,0
19751,714003,0
19852,686214,0
19954,741899,0
20055,513553,0
20156,844300,0
20261,1277562,0
20355,1071943,0
20455,1033717,0
20557,786124,0
20657,779692,0
20757,745291,0
20858,1257490,0
20958,1694668,0
21058,1502149,0
21158,1002511,0
21260,1035934,0
21361,1063819,0
21462,833971,0
21562,761628,0
21663,748989,0
21765,661064,0
21866,536117,0
21964,719558,0
22069,1199210,0
22166,844711,0
22267,792691,0
22367,841665,0
22468,511227,0
22568,704293,0
22671,732114,0
22772,1196745,0
22871,645441,0
22975,677505,0
23074,771307,0
23174,699681,0
23276,690569,0
23376,924019,0
23476,863050,0
23577,719582,0
23677,810065,0
23780,417767,0
23882,528595,0
23982,1064086,0
24087,981775,0
24189,926918,0
24292,775047,0
24391,927302,0
24493,770383,0
24599,755895,0
24689,2148999,418119
24795,1030801,0
24896,1072411,0
24995,957222,0
25096,1251196,0
25201,999829,0
25295,966814,0
25395,1301386,0
25501,882484,0
25597,945043,0
25703,861186,0
25799,1325582,0
25893,1028923,0
25993,993179,0
26094,762347,0
26195,768193,0
26297,689453,0
26397,996721,0
26497,730933,0
26599,740653,0
26699,690569,0
26801,666020,0
26902,639862,0
27002,842383,0
27102,734173,0
27205,747133,0
27304,710655,0
27405,919319,0
27504,779402,0
27604,887570,0
27705,921931,0
27806,799729,0
27908,695771,0
28008,788923,0
28107,828133,0
28209,901414,0
28310,753613,0
28410,992878,0
28511,766313,0
28613,735793,0
28714,701005,0
28815,760093,0
28914,658447,0
29015,776293,0
29116,712887,0
29218,636894,0
29317,529539,0
29421,934000,0
29527,1621656,0
29625,1515462,0
29726,1471719,0
29827,1444825,0
29928,1433496,0
30027,489694,0
30133,1561519,0
30228,1584242,0
30332,1307066,0
30381,1933552,202672
30484,1646208,0
30581,1444825,0
30683,1878216,147336
30779,1199414,0
30885,704932,0
30982,1706134,0
31083,1491031,0
31188,1454799,0
31287,1476691,0
31376,2061407,330527
31478,1636403,0
31580,900351,0
31680,918520,0
31781,809579,0
31882,749399,0
31982,735793,0
32083,708374,0
32184,720698,0
32287,858476,0
32387,1379850,0
32492,892009,0
32593,1036632,0
32693,901983,0
32794,1016684,0
32896,822240,0
32995,916944,0
33095,892009,0
33196,1096477,0
33295,993072,0
33399,957222,0
33492,1150814,0
33592,822191,0
33693,775031,0
33793,756853,0
33894,661064,0
33995,789336,0
34094,358341,0
34199,993844,0
34295,1077314,0
34396,1024418,0
34497,1062355,0
34597,844759,0
34697,701773,0
34798,784562,0
34901,795184,0
35001,712886,0
35103,755684,0
35203,600806,0
35304,782443,0
35404,1000005,0
35506,668167,0
35606,707307,0
35710,689453,0
35808,710606,0
35910,471921,0
36013,987555,0
36110,1043542,0
36211,955189,0
36314,877048,0
36413,934341,0
36514,710611,0
36614,862201,0
36716,695707,0
36816,188796,0
36917,638746,0
37018,884090,0
37119,635398,0
37221,728558,0
37321,676230,0
37421,1016421,0
37522,777619,0
37624,713113,0
37723,762491,0
37823,871015,0
37928,1193938,0
38033,893647,0
38132,991749,0
38233,911957,0
38334,936892,0
38432,1423003,0
38534,1056529,0
38636,1001723,0
38735,887022,0
38838,1006710,0
38945,1084060,0
39044,1150814,0
39131,956840,0
39232,1218878,0
39332,953283,0
39432,972029,0
39535,848556,0
39633,745689,0
39734,1077104,0
39835,1011697,0
39935,727027,0
40036,878478,0
40137,809579,0
40237,745062,0
40339,702187,0
40439,427729,0
40539,2197648,466768
40639,1902600,171720
40739,1982406,251526
40840,1588190,0
40940,1897439,166559
41040,1830899,100019
41140,2010152,279272
41241,1624041,0
41341,1789420,58540
41441,2211054,480174
41542,1541570,0
41643,1534051,0
41743,1816559,85679
41843,1835921,105041
41943,1717252,0
42044,1780709,49829
42144,1910098,179218
42245,1918014,187134
42345,1732059,1179
42446,1737688,6808
42546,1795049,64169
42646,1637307,0
