datetime,cpu,mem
Sat Oct 22 17:07:46 GMT 2022,31,1184500
Sat Oct 22 17:07:47 GMT 2022,0.1,1181891
Sat Oct 22 17:07:49 GMT 2022,0.1,1190046
Sat Oct 22 17:07:50 GMT 2022,0.1,1180290
Sat Oct 22 17:07:51 GMT 2022,0.1,1180002
Sat Oct 22 17:07:52 GMT 2022,43,1176806
Sat Oct 22 17:07:54 GMT 2022,43,1176120
Sat Oct 22 17:07:55 GMT 2022,43,1177100
Sat Oct 22 17:07:57 GMT 2022,43,1181103
Sat Oct 22 17:07:58 GMT 2022,0.1,1170297
Sat Oct 22 17:08:00 GMT 2022,0.1,1174702
Sat Oct 22 17:08:02 GMT 2022,0.1,1174763
Sat Oct 22 17:08:03 GMT 2022,30,1174834
Sat Oct 22 17:08:05 GMT 2022,30,1173798
Sat Oct 22 17:08:07 GMT 2022,30,1175515
Sat Oct 22 17:08:08 GMT 2022,31,1173770
Sat Oct 22 17:08:10 GMT 2022,31,1174946
Sat Oct 22 17:08:12 GMT 2022,31,1174816
Sat Oct 22 17:08:14 GMT 2022,32,1173843
Sat Oct 22 17:08:15 GMT 2022,32,1173491
Sat Oct 22 17:08:16 GMT 2022,32,1175003
Sat Oct 22 17:08:18 GMT 2022,32,1171285
Sat Oct 22 17:08:20 GMT 2022,32,1169028
Sat Oct 22 17:08:22 GMT 2022,32,1170040
Sat Oct 22 17:08:23 GMT 2022,32,1172573
Sat Oct 22 17:08:25 GMT 2022,32,1170340
Sat Oct 22 17:08:27 GMT 2022,32,1168612
Sat Oct 22 17:08:29 GMT 2022,32,1173693
Sat Oct 22 17:08:30 GMT 2022,32,1170576
Sat Oct 22 17:08:32 GMT 2022,32,1170768
Sat Oct 22 17:08:34 GMT 2022,32,1165876
Sat Oct 22 17:08:35 GMT 2022,32,1167501
Sat Oct 22 17:08:37 GMT 2022,0,1166724
Sat Oct 22 17:08:38 GMT 2022,0,1167028
Sat Oct 22 17:08:40 GMT 2022,0,1168530
Sat Oct 22 17:08:42 GMT 2022,0,1167520
Sat Oct 22 17:08:43 GMT 2022,0,1167872
Sat Oct 22 17:08:45 GMT 2022,0,1168212
Sat Oct 22 17:08:46 GMT 2022,0,1170261
Sat Oct 22 17:08:48 GMT 2022,16,1173436
Sat Oct 22 17:08:50 GMT 2022,16,1172792
Sat Oct 22 17:08:51 GMT 2022,16,1174068
Sat Oct 22 17:08:53 GMT 2022,16,1174029
Sat Oct 22 17:08:55 GMT 2022,31,1172272
Sat Oct 22 17:08:56 GMT 2022,31,1172664
Sat Oct 22 17:08:58 GMT 2022,31,1182201
Sat Oct 22 17:09:00 GMT 2022,33,1159320
