Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
18,1483861,0
84,1495318,0
185,1697702,146116
286,1758588,207002
386,1569902,18316
487,1627263,75677
588,1508690,0
688,2213742,662156
789,1782387,230801
889,2404007,852421
997,3580205,2028619
1097,4259722,2708136
1199,5714696,4163110
1307,5482609,3931023
1398,6718455,5166869
1502,6250930,4699344
1604,5340328,3788742
1700,5096545,3544959
1800,5686255,4134669
1900,4742748,3191162
2000,3818100,2266514
2102,3394334,1842748
2203,4061058,2509472
2303,3568919,2017333
2402,2943510,1391924
2504,3947384,2395798
2610,2616056,1064470
2704,2289556,737970
2806,2967478,1415892
2906,1415623,0
3024,2075473,523887
3118,1335960,0
3218,1293990,0
3314,1591413,39827
3404,1885386,333800
3504,2078979,527393
3611,917772,0
3717,1089613,0
3815,1670284,118698
3915,1777835,226249
4021,1409916,0
4115,2638246,1086660
4222,3576060,2024474
4316,3139391,1587805
4419,2170928,619342
4520,1629526,77940
4624,1399942,0
4722,1663114,111528
4821,787925,0
4920,1178303,0
5022,1515734,0
5116,1421246,0
5216,1464773,0
5317,1808577,256991
5417,2274835,723249
5518,674228,0
5619,1838052,286466
5719,1399942,0
5819,1471203,0
5920,1330124,0
6020,1641603,90017
6120,1992057,440471
6227,1426674,0
6332,1577072,25486
6423,1389968,0
6521,1535947,0
6622,1834134,282548
6722,1476691,0
6825,1316599,0
6928,1799345,247759
7033,1397820,0
7126,1448011,0
7229,1485831,0
7325,1388060,0
7426,1095067,0
7526,1667909,116323
7627,1419330,0
7729,1435934,0
7828,1482392,0
7929,1261588,0
8029,1554093,2507
8130,1299702,0
8230,1620093,68507
8335,1382011,0
8434,1435934,0
8531,1325705,0
8633,1456536,0
8738,1105709,0
8833,1625794,74208
8934,1389181,0
9046,1249483,0
9142,1679980,128394
9240,1505371,0
9346,1462351,0
9441,1648773,97187
9552,1340459,0
9644,915156,0
9745,1178421,0
9845,2383116,831530
9943,1683341,131755
10047,2715347,1163761
10145,1742362,190776
10248,1298890,0
10346,1114964,0
10455,885521,0
10547,1430448,0
10645,1084136,0
10747,999168,0
10846,991998,0
10948,672691,0
11047,1285972,0
11150,634568,0
11248,1112348,0
11350,929009,0
11449,1184049,0
11550,1181462,0
11659,699098,0
11761,1124143,0
11851,1774006,222420
11952,690671,0
12056,940540,0
12154,825197,0
12258,725310,0
12357,976237,0
12457,798483,0
12555,1055455,0
12658,730297,0
12757,943349,0
12859,731727,0
