datetime,cpu,mem
Sat Oct 22 16:52:38 GMT 2022,33,1184304
Sat Oct 22 16:52:40 GMT 2022,0.2,1185781
Sat Oct 22 16:52:41 GMT 2022,0.2,1167122
Sat Oct 22 16:52:43 GMT 2022,0.2,1202649
Sat Oct 22 16:52:45 GMT 2022,0.2,1193364
Sat Oct 22 16:52:46 GMT 2022,0.2,1178796
Sat Oct 22 16:52:48 GMT 2022,0.2,1177933
Sat Oct 22 16:52:50 GMT 2022,0.2,1179887
Sat Oct 22 16:52:52 GMT 2022,35,1177374
Sat Oct 22 16:52:54 GMT 2022,35,1175956
Sat Oct 22 16:52:56 GMT 2022,35,1178451
Sat Oct 22 16:52:57 GMT 2022,32,1178042
Sat Oct 22 16:52:59 GMT 2022,32,1176772
Sat Oct 22 16:53:01 GMT 2022,32,1177161
Sat Oct 22 16:53:03 GMT 2022,33,1176776
Sat Oct 22 16:53:05 GMT 2022,33,1178028
Sat Oct 22 16:53:07 GMT 2022,33,1177149
Sat Oct 22 16:53:09 GMT 2022,33,1175712
Sat Oct 22 16:53:10 GMT 2022,33,1176372
Sat Oct 22 16:53:12 GMT 2022,33,1178915
Sat Oct 22 16:53:14 GMT 2022,33,1176516
Sat Oct 22 16:53:16 GMT 2022,33,1176580
Sat Oct 22 16:53:18 GMT 2022,33,1178037
Sat Oct 22 16:53:20 GMT 2022,32,1178268
Sat Oct 22 16:53:22 GMT 2022,32,1173496
Sat Oct 22 16:53:24 GMT 2022,32,1178605
Sat Oct 22 16:53:25 GMT 2022,0,1177113
Sat Oct 22 16:53:27 GMT 2022,0,1177853
Sat Oct 22 16:53:28 GMT 2022,0,1179302
Sat Oct 22 16:53:30 GMT 2022,0.1,1176609
Sat Oct 22 16:53:32 GMT 2022,0.1,1177485
Sat Oct 22 16:53:34 GMT 2022,0.1,1180138
Sat Oct 22 16:53:36 GMT 2022,0,1178701
Sat Oct 22 16:53:37 GMT 2022,0,1178929
Sat Oct 22 16:53:39 GMT 2022,0,1180882
Sat Oct 22 16:53:41 GMT 2022,0.1,1176093
Sat Oct 22 16:53:43 GMT 2022,0.1,1177693
Sat Oct 22 16:53:45 GMT 2022,0.1,1180310
Sat Oct 22 16:53:47 GMT 2022,32,1177645
Sat Oct 22 16:53:48 GMT 2022,32,1177321
Sat Oct 22 16:53:50 GMT 2022,32,1185895
Sat Oct 22 16:53:52 GMT 2022,35,1163169
