Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
7,3197166,2148160
90,3015150,1966144
191,2419912,1370906
292,2308422,1259416
393,2229551,1180545
493,2251061,1202055
594,2616736,1567730
695,2021205,972199
795,2854818,1805812
895,2222381,1173375
996,3249180,2200174
1099,3846941,2797935
1191,5160888,4111882
1292,4446307,3397301
1392,3177301,2128295
1492,3722089,2673083
1595,3909974,2860968
1698,4107814,3058808
1799,3275814,2226808
1895,3323339,2274333
1997,2480327,1431321
2096,2906845,1857839
2196,2488677,1439671
2295,2603399,1554393
2401,2378709,1329703
2498,2275035,1226029
2599,4101892,3052886
2698,2378509,1329503
2798,2519846,1470840
2899,2071719,1022713
3004,2000346,951340
3104,2203970,1154964
3205,1690332,641326
3311,2300659,1251653
3407,884154,0
3507,2423971,1374965
3625,1291818,242812
3713,1818201,769195
3812,1814792,765786
3912,2860735,1811729
4004,2506160,1457154
4105,2655614,1606608
4210,2588312,1539306
4306,2602373,1553367
4407,2019210,970204
4515,1482976,433970
4618,546900,0
4726,694185,0
4820,1215345,166339
4910,1808315,759309
5016,2373470,1324464
5116,2556670,1507664
5217,2078631,1029625
5319,1545637,496631
5419,1693593,644587
5514,1459128,410122
5614,1923037,874031
5715,1253972,204966
5815,1201005,151999
5918,634830,0
6020,737413,0
6120,742343,0
6220,732972,0
6323,708423,0
6420,1860887,811881
6522,295663,0
6622,888452,0
6723,901983,0
6824,1023247,0
6925,901983,0
7027,832953,0
7125,1492335,443329
7225,1943473,894467
7326,1345342,296336
7427,798406,0
7531,1570012,521006
7628,1199245,150239
7738,880549,0
7836,1017472,0
7939,1018789,0
8035,1581020,532014
8136,1007413,0
8236,1079113,30107
8341,887022,0
8438,1096570,47564
8539,971801,0
8641,867997,0
8742,861638,0
8845,712871,0
8944,1225643,176637
9045,1122923,73917
9146,1036632,0
9247,811445,0
9341,1154885,105879
9443,889817,0
9545,1559510,510504
9647,1258366,209360
9745,1568549,519543
9846,985902,0
9946,1086284,37278
10051,1190613,141607
10141,1340837,291831
10242,1653705,604699
10343,1193810,144804
10443,1430241,381235
10543,1683460,634454
10663,589761,0
10751,1227050,178044
10849,1208175,159169
10959,892691,0
11046,1128906,79900
11146,354120,0
11247,1213476,164470
11348,756927,0
11450,657474,0
11550,852318,0
11652,1208582,159576
11750,1037028,0
11852,812746,0
11952,1165155,116149
12052,2010012,961006
12155,827484,0
12253,871509,0
12357,820851,0
12454,901251,0
12555,1061455,12449
12656,775180,0
12758,821493,0
12856,1100017,51011
12956,543176,0
13060,938048,0
13158,383207,0
13259,1070869,21863
13358,1121060,72054
13461,755385,0
13559,1128230,79224
13663,827086,0
13760,1191687,142681
13864,705922,0
13964,812181,0
14066,842139,0
14165,1092380,43374
14267,619153,0
14365,1180430,131424
14465,858530,0
14567,956840,0
14668,773464,0
14768,822750,0
14868,758416,0
14973,948549,0
15078,799073,0
15180,849929,0
15278,1122134,73128
15378,1186344,137338
15480,921931,0
15580,961827,0
15683,1011697,0
15780,1186665,137659
15876,963899,0
15976,938964,0
16025,1249678,200672
16126,1142148,93142
16226,1058190,9184
16327,1830899,781893
16427,1766368,717362
16528,1293142,244136
16638,906970,0
16734,1293142,244136
16838,1220004,170998
16935,1150814,101808
17041,985017,0
17141,1158762,109756
17231,847126,0
17332,1079388,30382
17432,908400,0
17533,847344,0
17635,684367,0
17735,720445,0
17835,640978,0
17936,745642,0
18038,634283,0
18138,776393,0
18238,787303,0
18342,625764,0
18442,689294,0
18542,628210,0
18646,674675,0
18749,1171577,122571
18850,976788,0
18956,916944,0
19051,1100624,51618
19145,1007532,0
19247,914029,0
19347,843349,0
19449,747202,0
19547,559964,0
19648,747737,0
19750,716234,0
19851,686214,0
19953,698331,0
20055,684990,0
20154,781153,0
20254,766573,0
20355,732305,0
20456,687607,0
20559,909471,0
20660,1246498,197492
20757,762347,0
20867,979648,0
20965,1141141,92135
21065,892009,0
21164,1387428,338422
21266,1179495,130489
21364,1824803,775797
21465,1203501,154495
21566,1143644,94638
21670,1064773,15767
21764,1158919,109913
21863,786124,0
21964,820899,0
22066,628185,0
22167,855300,0
22266,723685,0
22367,792477,0
22471,851590,0
22571,1119260,70254
22674,1114964,65958
22779,1059913,10907
22876,996274,0
22976,1165155,116149
23078,818956,0
23189,1126656,77650
23280,832089,0
23381,828806,0
23479,971801,0
23584,931905,0
23684,942541,0
23780,1129304,80298
23875,981775,0
23976,741362,0
24077,805685,0
24178,677505,0
24278,575032,0
24382,664183,0
24485,1225066,176060
24586,1064773,15767
24685,1266262,217256
24785,1208175,159169
24887,951853,0
24987,966814,0
25092,921931,0
25189,1031645,0
25294,1011697,0
25395,911957,0
25491,1066555,17549
25591,872061,0
25692,892009,0
25798,751730,0
25900,809698,0
26001,759871,0
26104,639469,0
26195,1235610,186604
26293,1183393,134387
