datetime,cpu,mem
Sat Oct 22 10:56:32 GMT 2022,0.8,1259613
Sat Oct 22 10:56:33 GMT 2022,-2.4,1257322
Sat Oct 22 10:56:34 GMT 2022,-2.4,1218355
Sat Oct 22 10:56:36 GMT 2022,-2.4,1245261
Sat Oct 22 10:56:37 GMT 2022,-2.4,1274831
Sat Oct 22 10:56:38 GMT 2022,46,1260262
Sat Oct 22 10:56:40 GMT 2022,46,1248189
Sat Oct 22 10:56:41 GMT 2022,46,1251358
Sat Oct 22 10:56:42 GMT 2022,46,1259280
Sat Oct 22 10:56:44 GMT 2022,28,1248707
Sat Oct 22 10:56:45 GMT 2022,28,1247061
Sat Oct 22 10:56:46 GMT 2022,28,1245457
Sat Oct 22 10:56:48 GMT 2022,28,1248054
Sat Oct 22 10:56:50 GMT 2022,0.7,1247925
Sat Oct 22 10:56:51 GMT 2022,0.7,1246601
Sat Oct 22 10:56:53 GMT 2022,0.7,1247729
Sat Oct 22 10:56:54 GMT 2022,0.7,1248530
Sat Oct 22 10:56:55 GMT 2022,0.3,1247461
Sat Oct 22 10:56:56 GMT 2022,0.3,1248233
Sat Oct 22 10:56:58 GMT 2022,0.3,1246966
Sat Oct 22 10:57:00 GMT 2022,0.3,1241008
Sat Oct 22 10:57:01 GMT 2022,0.8,1241351
Sat Oct 22 10:57:03 GMT 2022,0.8,1242459
Sat Oct 22 10:57:04 GMT 2022,0.8,1243447
Sat Oct 22 10:57:06 GMT 2022,0.8,1244124
Sat Oct 22 10:57:07 GMT 2022,0.3,1241891
Sat Oct 22 10:57:08 GMT 2022,0.3,1242951
Sat Oct 22 10:57:10 GMT 2022,0.3,1244259
Sat Oct 22 10:57:12 GMT 2022,0.3,1246660
Sat Oct 22 10:57:13 GMT 2022,34,1243955
Sat Oct 22 10:57:14 GMT 2022,34,1243431
Sat Oct 22 10:57:16 GMT 2022,34,1243859
Sat Oct 22 10:57:17 GMT 2022,34,1246344
Sat Oct 22 10:57:19 GMT 2022,0.7,1243803
Sat Oct 22 10:57:21 GMT 2022,0.7,1241831
Sat Oct 22 10:57:22 GMT 2022,0.7,1245211
Sat Oct 22 10:57:23 GMT 2022,0.7,1245992
Sat Oct 22 10:57:24 GMT 2022,0.3,1246107
Sat Oct 22 10:57:26 GMT 2022,0.3,1245041
Sat Oct 22 10:57:28 GMT 2022,0.3,1245616
Sat Oct 22 10:57:30 GMT 2022,0.7,1245435
Sat Oct 22 10:57:31 GMT 2022,0.7,1246551
Sat Oct 22 10:57:32 GMT 2022,0.7,1247767
Sat Oct 22 10:57:34 GMT 2022,0.7,1247508
Sat Oct 22 10:57:35 GMT 2022,0.3,1246615
Sat Oct 22 10:57:37 GMT 2022,0.3,1246951
Sat Oct 22 10:57:38 GMT 2022,0.3,1249480
Sat Oct 22 10:57:40 GMT 2022,0.6,1247055
Sat Oct 22 10:57:42 GMT 2022,0.6,1246891
Sat Oct 22 10:57:44 GMT 2022,0.6,1248027
Sat Oct 22 10:57:45 GMT 2022,0.2,1232415
