Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
36,1387200,160438
97,1957087,730325
195,2064639,837877
297,1711835,485073
398,1634433,407671
502,1741985,515223
598,1806515,579753
702,1678923,452161
800,1745009,518247
901,1591413,364651
1000,2285269,1058507
1101,2352564,1125802
1199,4050200,2823438
1299,4276912,3050150
1397,4444208,3217446
1498,3874920,2648158
1598,3522083,2295321
1699,3202867,1976105
1798,2989294,1762532
1899,2924763,1698001
2001,2366817,1140055
2100,1181422,0
2202,932112,0
2301,1631415,404653
2416,1259248,32486
2510,1897620,670858
2609,1519712,292950
2723,1159895,0
2812,2358613,1131851
2912,2107659,880897
3013,1921237,694475
3107,2839009,1612247
3210,3823434,2596672
3310,3450567,2223805
3409,2846674,1619912
3512,2207486,980724
3617,4207603,2980841
3717,3005475,1778713
3817,2512401,1285639
3920,2419190,1192428
4019,3124434,1897672
4121,3202663,1975901
4216,4417596,3190834
4316,4198093,2971331
4416,3297963,2071201
4517,2960905,1734143
4616,2566196,1339434
4717,2572195,1345433
4819,2125313,898551
4918,2230223,1003461
5020,1766151,539389
5120,2592267,1365505
5221,3105267,1878505
5326,3172812,1946050
5430,1181422,0
5527,1648773,422011
5623,1683068,456306
5724,1582774,356012
5846,1157482,0
5935,1788311,561549
6026,1419330,192568
6128,1227240,478
6236,1841305,614543
6333,1367608,140846
6439,1641664,414902
6536,1883855,657093
6637,1806309,579547
6736,1426848,200086
6835,1449479,222717
6939,1541222,314460
7036,1491031,264269
7138,1483861,257099
7238,1670284,443522
7344,1498201,271439
7433,1598583,371821
7556,1229156,2394
7642,2968071,1741309
7744,768510,0
7844,1498324,271562
7946,2358885,1132123
8050,1556529,329767
8145,942161,0
8249,1167763,0
8349,1641603,414841
8447,1534052,307290
8548,1655943,429181
8649,1424877,198115
8755,1395712,168950
8854,433869,0
8950,1542691,315929
9051,1509656,282894
9152,1345085,118323
9252,1424877,198115
9353,1559526,332764
9454,1647241,420479
9554,2150680,923918
9647,1440035,213273
9747,1163610,0
9848,1276129,49367
9948,1451255,224493
10049,1923976,697214
10149,2485858,1259096
10250,2485703,1258941
10352,2604691,1377929
10450,1875564,648802
10574,995832,0
10661,1725138,498376
10756,1734814,508052
10854,1100871,0
10952,1994994,768232
11060,1052323,0
11170,1162449,0
11264,1469187,242425
11360,1620093,393331
11483,1102629,0
11565,1758664,531902
