datetime,cpu,mem
Sat Oct 22 10:33:53 GMT 2022,32,1367847
Sat Oct 22 10:33:54 GMT 2022,-7.7,1367677
Sat Oct 22 10:33:56 GMT 2022,-7.7,1251198
Sat Oct 22 10:33:58 GMT 2022,-7.7,1363551
Sat Oct 22 10:34:01 GMT 2022,2.9,1514940
Sat Oct 22 10:34:03 GMT 2022,2.9,1505180
Sat Oct 22 10:34:05 GMT 2022,2.9,1504802
Sat Oct 22 10:34:07 GMT 2022,-20.5,1502534
Sat Oct 22 10:34:09 GMT 2022,-20.5,1417318
Sat Oct 22 10:34:11 GMT 2022,-20.5,1419023
Sat Oct 22 10:34:13 GMT 2022,31,1419158
Sat Oct 22 10:34:14 GMT 2022,31,1417522
Sat Oct 22 10:34:16 GMT 2022,31,1416598
Sat Oct 22 10:34:17 GMT 2022,31,1417595
Sat Oct 22 10:34:19 GMT 2022,30,1418106
Sat Oct 22 10:34:21 GMT 2022,30,1416894
Sat Oct 22 10:34:22 GMT 2022,30,1415538
Sat Oct 22 10:34:24 GMT 2022,30,1417815
Sat Oct 22 10:34:25 GMT 2022,31,1417958
Sat Oct 22 10:34:27 GMT 2022,31,1416542
Sat Oct 22 10:34:29 GMT 2022,31,1416143
Sat Oct 22 10:34:30 GMT 2022,0.5,1418814
Sat Oct 22 10:34:32 GMT 2022,0.5,1417902
Sat Oct 22 10:34:34 GMT 2022,0.5,1418031
Sat Oct 22 10:34:36 GMT 2022,1.3,1409600
Sat Oct 22 10:34:38 GMT 2022,1.3,1411440
Sat Oct 22 10:34:39 GMT 2022,1.3,1413845
Sat Oct 22 10:34:41 GMT 2022,32,1411302
Sat Oct 22 10:34:43 GMT 2022,32,1409870
Sat Oct 22 10:34:44 GMT 2022,32,1412769
Sat Oct 22 10:34:46 GMT 2022,0.6,1412768
Sat Oct 22 10:34:47 GMT 2022,0.6,1413396
Sat Oct 22 10:34:49 GMT 2022,0.6,1412748
Sat Oct 22 10:34:51 GMT 2022,0.6,1412941
Sat Oct 22 10:34:53 GMT 2022,1.5,1412444
Sat Oct 22 10:34:55 GMT 2022,1.5,1411504
Sat Oct 22 10:34:57 GMT 2022,1.5,1411716
Sat Oct 22 10:34:59 GMT 2022,33,1411996
Sat Oct 22 10:35:00 GMT 2022,33,1413484
Sat Oct 22 10:35:02 GMT 2022,33,1412837
Sat Oct 22 10:35:04 GMT 2022,33,1410872
Sat Oct 22 10:35:06 GMT 2022,33,1412223
