Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
87,2172190,648520
188,1592468,68798
289,2215148,691478
389,2057529,533859
490,2507714,984044
591,3407572,1883902
692,3144600,1620930
806,2283527,759857
893,2189505,665835
999,1626285,102615
1099,1690750,167080
1201,3345562,1821892
1295,4770216,3246546
1396,2563730,1040060
1497,1995173,471503
1597,1657011,133341
1698,2032536,508866
1798,1663535,139865
1899,1400144,0
1999,1769190,245520
2100,834469,0
2205,1972444,448774
2301,1788335,264665
2406,1598583,74913
2512,1347629,0
2607,1455181,0
2710,1315163,0
2808,1605753,82083
2910,1569902,46232
3010,2165081,641411
3112,2160664,636994
3210,3053319,1529649
3315,4098900,2575230
3407,6079841,4556171
3509,4503914,2980244
3612,2446235,922565
3714,2188037,664367
3809,1967139,443469
3909,2119161,595491
4010,3636140,2112470
4113,3511910,1988240
4221,4317746,2794076
4315,5154123,3630453
4423,3716895,2193225
4518,3677624,2153954
4628,4155459,2631789
4724,3268212,1744542
4826,3560568,2036898
4936,4239218,2715548
5026,3456313,1932643
5129,3777110,2253440
5234,4368513,2844843
5331,2859816,1336146
5432,3591186,2067516
5531,3961858,2438188
5635,3169982,1646312
5736,3966046,2442376
5842,3467543,1943873
5947,3488366,1964696
6035,3808304,2284634
6137,3164995,1641325
6241,3146257,1622587
6347,3178435,1654765
6448,3994472,2470802
6550,3659281,2135611
6648,3221233,1697563
6749,3115016,1591346
6843,2366811,843141
6939,2099564,575894
7039,1893877,370207
7140,1877520,353850
7241,1834621,310951
7342,1435772,0
7442,1257960,0
7544,1304810,0
7644,2019838,496168
7745,2201248,677578
7846,1426384,0
7947,933335,0
8047,1065367,0
8148,1428489,0
8251,1373856,0
8353,944688,0
8448,1014583,0
8549,844210,0
8651,783567,0
8752,522028,0
8853,477792,0
8954,421409,0
9055,477803,0
9158,468275,0
9259,428104,0
9358,449241,0
9459,468876,0
9559,481032,0
9661,594314,0
9759,1863853,340183
9863,1293264,0
9967,1011745,0
10064,1364965,0
10165,1234018,0
10268,1161639,0
10368,1694789,171119
10464,1144206,0
10574,957783,0
10665,1208737,0
10771,1196292,0
10866,1164081,0
10973,892691,0
11063,1222515,0
11164,890543,0
11265,856841,0
11364,927467,0
11417,619153,0
11516,715760,0
11617,973377,0
11717,1135400,0
11818,884447,0
11932,718997,0
12023,1279876,0
12119,2022692,499022
12219,998701,0
12320,1144509,0
12421,875708,0
12521,765206,0
12630,720323,0
12721,939192,0
12823,882125,0
12922,1062625,0
13024,617724,0
13124,1095930,0
13227,1010893,0
13324,1136991,0
13425,895098,0
13526,799271,0
13626,1029858,0
13728,583605,0
13826,1553513,29843
13928,1767262,243592
14029,720609,0
14128,834256,0
14228,964859,0
14330,670993,0
14430,1137802,0
14532,1042189,0
14633,617544,0
14734,710655,0
14837,744526,0
14937,731857,0
15037,680033,0
15137,756800,0
15239,698947,0
15340,795403,0
15439,821737,0
15540,626844,0
15645,1864691,341021
15742,1691764,168094
15851,1628595,104925
15942,1021753,0
16043,756576,0
16144,739033,0
16246,709835,0
16347,668875,0
16449,717350,0
16550,699447,0
16650,700148,0
16750,759763,0
16851,878353,0
16951,909940,0
17053,649905,0
17154,701728,0
17256,601509,0
17354,768291,0
17459,1010983,0
17568,475777,0
17664,1091490,0
17764,1011697,0
17864,1464773,0
17966,1382579,0
18066,1238118,0
18169,1474747,0
18269,2625027,1101357
18367,1428178,0
18467,1594435,70765
18567,1519630,0
18672,882674,0
18769,960792,0
18868,1665216,141546
18972,1670284,146614
19070,1584242,60572
19173,1548392,24722
19264,1634433,110763
19375,1375007,0
19472,1562732,39062
19582,1586908,63238
19666,1541222,17552
19767,1501672,0
19868,1228269,0
19969,974926,0
20068,1061312,0
20170,865771,0
20270,1504669,0
20370,1284083,0
20484,1206626,0
20584,1382677,0
20681,1471226,0
20777,2308422,784752
20879,2222381,698711
20983,1469521,0
21073,1605753,82083
21190,1311298,0
21287,781072,0
21382,1066639,0
21483,1537508,13838
21576,1280254,0
21677,1241402,0
21777,1311470,0
21879,1136966,0
21978,1370034,0
22081,1239990,0
22183,1269569,0
22281,1136705,0
22382,1256178,0
22484,1261757,0
22584,1174957,0
22686,689562,0
22785,1185004,0
22886,747386,0
22987,747394,0
23090,722833,0
23189,747985,0
23288,754027,0
23391,876676,0
23490,737413,0
23593,730933,0
23694,722065,0
23794,800263,0
23894,625356,0
23996,732972,0
24096,762596,0
24197,708115,0
24299,761465,0
24399,486805,0
24498,884130,0
24599,1369642,0
24700,726098,0
24799,918520,0
24900,1293933,0
25000,1172606,0
25102,1238188,0
25202,1267337,0
25323,2227660,703990
25415,1347618,0
25515,1293990,0
25621,1203386,0
25716,1147032,0
25814,668259,0
25912,1197200,0
26014,1514643,0
26115,1474747,0
26215,1459786,0
26316,1479734,0
26418,1313632,0
26521,1544565,20895
26616,1828026,304356
26717,1794038,270368
26818,1474747,0
26920,1379994,0
27020,1160939,0
27119,1001517,0
27167,1456154,0
27321,1390515,0
27371,1684202,160532
27477,1326765,0
27572,1484721,0
27673,1509656,0
27773,1419890,0
27874,1469760,0
27974,1379994,0
28077,1421978,0
28184,1634332,110662
28275,1720474,196804
28374,927791,0
28475,1035372,0
28570,1627324,103654
28670,1325137,0
28772,898773,0
28874,710725,0
28974,692752,0
29075,699496,0
29176,701890,0
29276,700612,0
29377,705076,0
29478,727788,0
29584,681149,0
29680,636514,0
29781,766243,0
29880,879725,0
29982,800097,0
30083,523308,0
30186,641668,0
30287,1332931,0
30389,935712,0
30494,1244026,0
30584,985902,0
30684,1069414,0
30785,867862,0
30886,857100,0
30985,923361,0
31086,822191,0
31188,1008286,0
31288,766897,0
31389,737740,0
31489,790543,0
31591,669991,0
31694,697536,0
31791,1101401,0
31890,704523,0
31996,1238957,0
32107,1574958,51288
32199,1562732,39062
32299,1648773,125103
32399,1534052,10382
32501,1394955,0
32601,1530907,7237
32701,1627263,103593
32805,1609233,85563
32902,1627263,103593
33007,1799345,275675
33096,1704665,180995
33203,836896,0
33307,1116448,0
33400,695146,0
33498,1317935,0
33599,1326510,0
33700,1141168,0
33804,1251149,0
33904,1309255,0
34006,1152327,0
34105,1355551,0
34205,2143510,619840
34305,3040566,1516896
34405,2428845,905175
34506,1756325,232655
34608,1288800,0
34707,1437866,0
34807,1449812,0
34908,1452050,0
35008,1272881,0
35110,1209866,0
35210,1285191,0
35311,1217966,0
35434,1282654,0
35528,1273046,0
35623,1421978,0
35721,1549552,25882
35827,815939,0
35922,946452,0
36023,1664582,140912
36116,1409803,0
36217,1169171,0
36336,1215630,0
36438,1333628,0
36532,1494208,0
36632,1792995,269325
36730,1079113,0
36829,983078,0
36932,848505,0
37034,874771,0
37140,841939,0
37236,899822,0
37331,924942,0
37431,1277539,0
37525,1083392,0
37626,874132,0
37728,707328,0
37831,831333,0
37928,664855,0
38031,724095,0
38131,696099,0
38232,750105,0
38332,648789,0
38433,660086,0
38536,653769,0
38636,686214,0
38737,821729,0
38837,710655,0
38939,724623,0
39038,491682,0
39140,703168,0
39246,1187325,0
39349,1301386,0
39448,1125839,0
39547,887022,0
39648,1106451,0
39748,926918,0
39853,996736,0
39948,1079113,0
40053,941879,0
40151,1083587,0
40251,941879,0
40351,1136104,0
40453,991749,0
40554,961827,0
40661,1006710,0
40753,1074091,0
40852,731727,0
40954,1572927,49257
41047,1275267,0
41148,1491698,0
41249,1377033,0
41349,1191908,0
41449,1256008,0
41551,1221206,0
41652,1318194,0
41756,1182326,0
41853,1229397,0
41955,1322318,0
42056,768749,0
42159,624069,0
42260,988422,0
42367,1443575,0
42465,1564513,40843
42566,1464773,0
42666,1509656,0
42770,1489708,0
42867,1599448,75778
42967,534723,0
43068,1488605,0
43172,1494695,0
43278,1585183,61513
43369,2033021,509351
43471,1687769,164099
43571,1198085,0
43671,1534052,10382
43773,1564513,40843
43874,1842366,318696
43966,1401298,0
44067,1645288,121618
44167,1310176,0
44269,1535313,11643
44369,1335111,0
44418,1445546,0
44520,1569450,45780
44621,1158026,0
44727,722398,0
44822,867552,0
44923,854095,0
45024,793534,0
45127,663788,0
45227,709539,0
45327,654368,0
45429,802551,0
45528,757267,0
45630,706633,0
46536,871960,0
48648,877569,0
50656,1022796,0
52571,416276,0
54349,921871,0
55967,932654,0
57377,976383,0
58580,450090,0
59596,1021161,0
60401,780898,0
60956,1084340,0
61364,1097894,0
61550,830191,0
61648,797921,0
