datetime,cpu,mem
Sat Oct 22 12:14:31 GMT 2022,81,1248323
Sat Oct 22 12:14:33 GMT 2022,0,1249780
Sat Oct 22 12:14:34 GMT 2022,0,1247893
Sat Oct 22 12:14:36 GMT 2022,0,1253667
Sat Oct 22 12:14:38 GMT 2022,0,1248545
Sat Oct 22 12:14:39 GMT 2022,0.3,1241928
Sat Oct 22 12:14:42 GMT 2022,0.3,1236365
Sat Oct 22 12:14:44 GMT 2022,0.3,1243022
Sat Oct 22 12:14:46 GMT 2022,50,1240121
Sat Oct 22 12:14:48 GMT 2022,50,1238001
Sat Oct 22 12:14:51 GMT 2022,50,1240246
Sat Oct 22 12:14:53 GMT 2022,46,1238179
Sat Oct 22 12:14:55 GMT 2022,46,1236143
Sat Oct 22 12:14:57 GMT 2022,46,1236043
Sat Oct 22 12:15:00 GMT 2022,47,1216111
Sat Oct 22 12:15:02 GMT 2022,47,1211975
Sat Oct 22 12:15:04 GMT 2022,47,1218354
Sat Oct 22 12:15:07 GMT 2022,0.3,1216933
Sat Oct 22 12:15:09 GMT 2022,0.3,1215511
Sat Oct 22 12:15:11 GMT 2022,0.3,1216878
Sat Oct 22 12:15:14 GMT 2022,0,1215859
Sat Oct 22 12:15:16 GMT 2022,0,1217421
Sat Oct 22 12:15:18 GMT 2022,0,1214980
Sat Oct 22 12:15:21 GMT 2022,65,1217525
Sat Oct 22 12:15:23 GMT 2022,65,1217515
Sat Oct 22 12:15:25 GMT 2022,65,1217651
Sat Oct 22 12:15:28 GMT 2022,0.3,1215766
Sat Oct 22 12:15:30 GMT 2022,0.3,1217326
Sat Oct 22 12:15:32 GMT 2022,0.3,1219675
Sat Oct 22 12:15:34 GMT 2022,49,1213454
Sat Oct 22 12:15:37 GMT 2022,49,1217680
Sat Oct 22 12:15:39 GMT 2022,49,1220009
Sat Oct 22 12:15:42 GMT 2022,54,1217828
Sat Oct 22 12:15:44 GMT 2022,54,1216723
