Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
5,1672285,0
86,2992111,1076643
187,2320385,404917
288,2431375,515907
398,3314305,1398837
490,3241196,1325728
600,3466377,1550909
693,3188268,1272800
792,2852927,937459
893,2710003,794535
993,3297953,1382485
1098,3851787,1936319
1199,3256558,1341090
1295,4884159,2968691
1397,3540937,1625469
1497,2824356,908888
1598,5427746,3512278
1701,3116193,1200725
1797,1856223,0
1903,3234822,1319354
2006,1823861,0
2104,4221853,2306385
2203,3337349,1421881
2303,2356666,441198
2406,2315369,399901
2500,3189792,1274324
2604,3472117,1556649
2705,3100508,1185040
2807,1751068,0
2907,2451636,536168
3012,2243742,328274
3113,2842416,926948
3213,3091021,1175553
3315,2293093,377625
3416,1723586,0
3517,1423278,0
3616,1853484,0
3723,1674332,0
3817,1378362,0
3918,1308489,0
4016,1609700,0
4116,2283689,368221
4220,2770579,855111
4313,3226711,1311243
4413,1879549,0
4522,967602,0
4622,1724422,0
4715,1272030,0
4820,813647,0
4917,998166,0
5017,938562,0
5119,1001723,0
5227,1016684,0
5326,1473469,0
5426,1625115,0
5525,1075895,0
5631,794376,0
5728,1138317,0
5829,994371,0
5930,807072,0
6031,832007,0
6133,1604596,0
6228,1511385,0
6327,1756905,0
6429,1311152,0
6528,1443836,0
6629,578693,0
6731,1560059,0
6833,1486856,0
6931,1866871,0
7032,1761762,0
7133,1843990,0
7233,1834405,0
7334,1027062,0
7434,1932505,17037
7535,1884596,0
7636,1880857,0
7736,2394541,479073
7843,2171177,255709
7940,1845504,0
8040,1683595,0
8139,807211,0
8241,1165716,0
8342,1466860,0
8442,1251757,0
8547,965834,0
8646,1145366,0
8746,1319912,0
8847,1130405,0
8948,1175288,0
9048,1170301,0
9154,832007,0
9247,756099,0
9363,385473,0
9455,1171124,0
9550,1210241,0
9646,1561576,0
9746,1584219,0
9849,2424768,509300
9952,2693080,777612
10057,2295028,379560
10151,2383261,467793
10256,1709272,0
10354,2368921,453453
10453,2020605,105137
10550,1604284,0
10651,1958711,43243
10752,2008902,93434
10852,2219435,303967
10952,2277738,362270
11052,1935989,20521
11153,1140108,0
11254,1559832,0
11354,1770134,0
11458,1352796,0
11555,793529,0
11655,853632,0
11756,1082048,0
11857,825776,0
11957,1454818,0
12058,822304,0
12159,382095,0
12258,973024,0
12359,460892,0
12460,858816,0
12560,980798,0
12660,687614,0
12761,777017,0
12863,637887,0
12961,968195,0
13063,684755,0
13163,1439684,0
13264,1580067,0
13364,1465346,0
13465,1059333,0
13565,2001732,86264
13666,1786629,0
13767,976186,0
13867,1820381,0
