datetime,cpu,mem
Sat Oct 22 12:11:58 GMT 2022,56,1411360
Sat Oct 22 12:12:00 GMT 2022,0.8,1331415
Sat Oct 22 12:12:02 GMT 2022,0.8,1280987
Sat Oct 22 12:12:06 GMT 2022,0.3,1345415
Sat Oct 22 12:12:09 GMT 2022,0.3,1340484
Sat Oct 22 12:12:11 GMT 2022,0.3,1328748
Sat Oct 22 12:12:14 GMT 2022,68,1239270
Sat Oct 22 12:12:17 GMT 2022,68,1239441
Sat Oct 22 12:12:19 GMT 2022,76,1238668
Sat Oct 22 12:12:22 GMT 2022,76,1238767
Sat Oct 22 12:12:25 GMT 2022,79,1237568
Sat Oct 22 12:12:28 GMT 2022,79,1237969
Sat Oct 22 12:12:31 GMT 2022,77,1236464
Sat Oct 22 12:12:33 GMT 2022,77,1238921
Sat Oct 22 12:12:36 GMT 2022,76,1236660
Sat Oct 22 12:12:39 GMT 2022,76,1238809
Sat Oct 22 12:12:42 GMT 2022,78,1236792
Sat Oct 22 12:12:45 GMT 2022,78,1239605
Sat Oct 22 12:12:48 GMT 2022,75,1237424
Sat Oct 22 12:12:50 GMT 2022,75,1240085
Sat Oct 22 12:12:53 GMT 2022,78,1238410
Sat Oct 22 12:12:56 GMT 2022,78,1240989
Sat Oct 22 12:12:59 GMT 2022,82,1238866
Sat Oct 22 12:13:02 GMT 2022,82,1240039
Sat Oct 22 12:13:05 GMT 2022,77,1240080
Sat Oct 22 12:13:08 GMT 2022,77,1240185
Sat Oct 22 12:13:11 GMT 2022,81,1239728
