Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
67,2108954,86889
167,2898165,876100
267,2107659,85594
367,5979631,3957566
476,6069110,4047045
569,4449462,2427397
671,4886837,2864772
773,5167827,3145762
878,4748131,2726066
981,4716536,2694471
1082,5733923,3711858
1176,7044752,5022687
1276,7082372,5060307
1377,5531919,3509854
1477,3240334,1218269
1578,2745580,723515
1677,1439317,0
1777,1021753,0
1893,1094678,0
1989,1346112,0
2085,1063626,0
2186,1709044,0
2286,2279742,257677
2386,1688856,0
2487,1622356,0
2608,1013831,0
2690,1444788,0
2789,1659891,0
2892,1494979,0
2991,1616871,0
3091,1036093,0
3197,864011,0
3287,1057603,0
3389,597703,0
3499,944214,0
3595,1200607,0
3694,928134,0
3797,912401,0
3895,1036093,0
4010,629819,0
4101,2318068,296003
4198,3108648,1086583
4305,2752271,730206
4393,1944547,0
4494,1658817,0
4594,1435470,0
4701,1724422,0
4806,1781783,0
4896,1614722,0
4996,847126,0
5097,768379,0
5199,698380,0
5310,804134,0
5406,1382785,0
5506,1156185,0
5606,1222515,0
5712,1016404,0
5813,1172584,0
5908,1122134,0
6009,1078752,0
6110,780865,0
6213,590830,0
6316,1011697,0
6413,2301977,279912
6513,1391982,0
6618,2366439,344374
6711,2282267,260202
6810,3169002,1146937
6915,3417270,1395205
7011,2432232,410167
7112,2579722,557657
7213,1682127,0
7314,1706979,0
7415,1288965,0
7526,3011469,989404
7619,2705492,683427
7720,3287532,1265467
7822,3463771,1441706
7923,2343228,321163
8021,3223001,1200936
8124,2198752,176687
8222,2599203,577138
8321,2161827,139762
8424,2950538,928473
8526,3267096,1245031
8627,3058454,1036389
8722,2844356,822291
8821,2918188,896123
8922,3417479,1395414
9024,2739124,717059
9122,1955317,0
9227,1797177,0
9324,645686,0
9429,2103363,81298
9531,1581020,0
9637,524233,0
9733,1002308,0
9830,787206,0
9941,1048239,0
10031,1274772,0
10138,889440,0
10236,1667623,0
10332,1488370,0
10447,759300,0
10538,1099871,0
10634,1344969,0
10754,488828,0
10838,1106021,0
10936,1338583,0
11041,722675,0
11136,1439684,0
11236,744185,0
11339,1123518,0
11441,1747998,0
11543,2864449,842384
11648,2100522,78457
11743,3196878,1174813
11848,3183481,1161416
11945,5063892,3041827
12041,3687160,1665095
12141,4124800,2102735
12244,3459608,1437543
12345,3386134,1364069
12445,3484311,1462246
12544,3760132,1738067
12652,4077238,2055173
12751,3931229,1909164
12851,3593509,1571444
12956,4055060,2032995
13003,4173262,2151197
13100,3824284,1802219
13203,3475307,1453242
13308,3700454,1678389
13401,3627281,1605216
13505,3345847,1323782
13604,3134893,1112828
13705,3528900,1506835
13805,3438841,1416776
13915,3354411,1332346
14014,3405069,1383004
14112,3061720,1039655
14216,3298124,1276059
14314,3146150,1124085
14414,3213694,1191629
14515,1350881,0
14616,1148249,0
14718,1440940,0
14824,1609800,0
14931,2003807,0
15019,1936263,0
15122,1930634,0
15222,2009435,0
15321,1902491,0
15425,1801175,0
15526,3409869,1387804
15622,3201608,1179543
15724,3224123,1202058
15824,3387354,1365289
15937,3342325,1320260
16035,3449270,1427205
16131,3319810,1297745
16234,3668788,1646723
16342,3421126,1399061
16436,3528071,1506006
16539,4553491,2531426
16632,4153855,2131790
16738,4035653,2013588
16833,4080682,2058617
16933,4339601,2317536
17034,4125711,2103646
17139,4125711,2103646
17235,4283314,2261249
17336,4136969,2114904
17436,4165112,2143047
17543,1369631,0
17642,1881840,0
17740,1729866,0
17844,1746752,0
17943,1763638,0
18039,1741123,0
18142,1375259,0
18245,1662321,0
18346,2073215,51150
18445,1864954,0
18553,1875715,0
18651,1993918,0
18754,2055833,33768
18861,2050204,28139
18947,2017136,0
19047,1814504,0
19148,1966478,0
19248,1921448,0
19354,1954517,0
19466,2010804,0
19553,4275821,2253756
19656,4208277,2186212
19753,4253306,2231241
19854,4219534,2197469
19958,4506596,2484531
20056,4472824,2450759
20156,4343365,2321300
20254,3909957,1887892
20357,3803012,1780947
20456,3831156,1809091
20556,3179922,1157857
20657,3326268,1304203
20758,3140521,1118456
20859,2887231,865166
20958,3241838,1219773
21063,3146150,1124085
21162,3253095,1231030
21261,3309382,1287317
21370,3196808,1174743
21463,3348782,1326717
21566,1350881,0
21663,1514112,0
21767,1469083,0
21865,1733630,0
21969,1339623,0
22078,1530998,0
22171,1818061,0
22276,1688601,0
22374,1801175,0
22473,1576028,0
22574,2975632,953567
22674,3048805,1026740
22777,2924974,902909
22885,2606605,584540
22985,3017498,995433
23078,3330239,1308174
23179,3352753,1330688
23283,3369639,1347574
23379,3318981,1296916
23479,3245808,1223743
23575,4317501,2295436
23682,4148641,2126576
23782,4323130,2301065
23884,4745280,2723215
23983,4632707,2610642
24081,4266843,2244778
24185,4114869,2092804
24282,4154270,2132205
24383,3946009,1923944
24486,4204928,2182863
24584,1610836,0
24684,1526405,0
24788,1644608,0
24886,1329402,0
24986,1413832,0
25090,1599578,0
25187,1503891,0
25296,1368803,0
25391,1931670,0
25494,1914784,0
25590,2169731,147666
25691,2051529,29464
