datetime,cpu,mem
Sat Oct 22 12:34:46 GMT 2022,26,1237221
Sat Oct 22 12:34:47 GMT 2022,0.5,1240799
Sat Oct 22 12:34:49 GMT 2022,0.5,1240532
Sat Oct 22 12:34:50 GMT 2022,0.5,1244026
Sat Oct 22 12:34:52 GMT 2022,0.5,1231567
Sat Oct 22 12:34:53 GMT 2022,44,1230719
Sat Oct 22 12:34:54 GMT 2022,44,1231747
Sat Oct 22 12:34:56 GMT 2022,44,1227650
Sat Oct 22 12:34:57 GMT 2022,44,1222111
Sat Oct 22 12:34:59 GMT 2022,0.3,1223865
Sat Oct 22 12:35:01 GMT 2022,0.3,1225097
Sat Oct 22 12:35:03 GMT 2022,0.3,1225378
Sat Oct 22 12:35:04 GMT 2022,31,1223361
Sat Oct 22 12:35:06 GMT 2022,31,1222683
Sat Oct 22 12:35:08 GMT 2022,31,1223775
Sat Oct 22 12:35:09 GMT 2022,31,1226204
Sat Oct 22 12:35:10 GMT 2022,0.1,1223479
Sat Oct 22 12:35:12 GMT 2022,0.1,1219023
Sat Oct 22 12:35:14 GMT 2022,0.1,1220072
Sat Oct 22 12:35:16 GMT 2022,0.2,1220211
Sat Oct 22 12:35:18 GMT 2022,0.2,1214668
Sat Oct 22 12:35:20 GMT 2022,0.2,1217832
Sat Oct 22 12:35:21 GMT 2022,34,1217963
Sat Oct 22 12:35:23 GMT 2022,34,1215771
Sat Oct 22 12:35:25 GMT 2022,34,1213999
Sat Oct 22 12:35:26 GMT 2022,34,1218868
Sat Oct 22 12:35:28 GMT 2022,31,1216751
Sat Oct 22 12:35:30 GMT 2022,31,1218101
Sat Oct 22 12:35:32 GMT 2022,31,1215398
Sat Oct 22 12:35:33 GMT 2022,33,1218653
Sat Oct 22 12:35:35 GMT 2022,33,1217673
Sat Oct 22 12:35:37 GMT 2022,33,1220190
Sat Oct 22 12:35:39 GMT 2022,33,1214880
Sat Oct 22 12:35:41 GMT 2022,33,1216961
Sat Oct 22 12:35:43 GMT 2022,33,1219522
Sat Oct 22 12:35:45 GMT 2022,33,1217137
Sat Oct 22 12:35:46 GMT 2022,33,1214817
Sat Oct 22 12:35:48 GMT 2022,33,1218342
Sat Oct 22 12:35:50 GMT 2022,0,1217625
Sat Oct 22 12:35:51 GMT 2022,0,1218849
Sat Oct 22 12:35:53 GMT 2022,0,1221142
Sat Oct 22 12:35:55 GMT 2022,0.2,1217853
Sat Oct 22 12:35:57 GMT 2022,0.2,1218037
Sat Oct 22 12:35:59 GMT 2022,0.2,1219496
