Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
10,1383480,0
111,1872047,282598
222,1837459,248010
321,2086149,496700
413,1541222,0
520,1729614,140165
619,1411246,0
721,1949917,360468
821,2031552,442103
924,2420872,831423
1024,3673330,2083881
1075,4836093,3246644
1172,5656635,4067186
1275,4896074,3306625
1374,4917325,3327876
1475,5036291,3446842
1575,5253664,3664215
1675,4409548,2820099
1781,4149942,2560493
1881,4054552,2465103
1977,3730821,2141372
2078,3251450,1662001
2177,2867301,1277852
2277,1736241,146792
2379,3123865,1534416
2479,2406856,817407
2578,2022298,432849
2681,2657051,1067602
2784,2147559,558110
2881,2186507,597058
2986,2619428,1029979
3088,3100061,1510612
3194,1118124,0
3283,2080900,491451
3389,2664480,1075031
3490,1009778,0
3588,1118534,0
3691,1399923,0
3791,1569902,0
3896,1397820,0
3988,1548453,0
4088,3011152,1421703
4188,2761006,1171557
4289,3155394,1565945
4389,1968205,378756
4490,1401768,0
4590,1013509,0
4693,649165,0
4793,996721,0
4893,1113323,0
5001,443987,0
5094,1762092,172643
5195,962055,0
5299,1359215,0
5400,1745326,155877
5499,1489072,0
5604,1532281,0
5697,864011,0
5799,976584,0
5901,1050433,0
6005,812217,0
6103,1294216,0
6210,788014,0
6304,1466299,0
6410,832715,0
6501,1222515,0
6602,1090838,0
6703,1009561,0
6807,1108066,0
6916,709461,0
7003,1165622,0
7105,875735,0
7208,610849,0
7305,652902,0
7406,1006478,0
7510,747609,0
7624,876972,0
7712,1244026,0
7832,606467,0
7916,1407168,0
8014,1229685,0
8120,907031,0
8217,1365917,0
8315,1057603,0
8418,841548,0
8516,1351716,0
8635,421803,0
8717,1226053,0
8837,461174,0
8928,699255,0
9021,1317792,0
9119,715505,0
9235,438832,0
9323,1355091,0
9421,1021753,0
9543,619204,0
9625,1488986,0
9719,1796123,206674
9824,1152077,0
9921,1393991,0
10021,1619396,29947
10123,1275981,0
10222,1401523,0
10323,1881090,291641
10423,1429026,0
10524,1136474,0
10627,613525,0
10726,837027,0
10827,985017,0
10927,1085210,0
11043,673831,0
11137,945313,0
11232,1149282,0
11347,685617,0
11435,1459128,0
11530,1365917,0
11644,770799,0
11731,1014583,0
11832,911844,0
11933,1396746,0
12035,606174,0
12141,900148,0
12235,1136991,0
12336,793350,0
12436,855265,0
12538,769698,0
12637,977658,0
12738,798832,0
12837,962244,0
12942,718252,0
13039,1241410,0
13139,1036093,0
13241,908400,0
13342,1460643,0
13446,554744,0
13544,1027970,0
13644,542967,0
13745,963058,0
13845,784187,0
