datetime,cpu,mem
Sat Oct 22 12:57:29 GMT 2022,0,1264228
Sat Oct 22 12:57:31 GMT 2022,0.6,1265409
Sat Oct 22 12:57:32 GMT 2022,0.6,1241909
Sat Oct 22 12:57:35 GMT 2022,0.6,1282718
Sat Oct 22 12:57:37 GMT 2022,0.3,1269402
Sat Oct 22 12:57:40 GMT 2022,0.3,1265906
Sat Oct 22 12:57:42 GMT 2022,0,1266958
Sat Oct 22 12:57:45 GMT 2022,0,1260398
Sat Oct 22 12:57:46 GMT 2022,0,1265591
Sat Oct 22 12:57:48 GMT 2022,0,1264155
Sat Oct 22 12:57:50 GMT 2022,0,1264546
Sat Oct 22 12:57:52 GMT 2022,0,1264019
Sat Oct 22 12:57:53 GMT 2022,35,1263196
Sat Oct 22 12:57:55 GMT 2022,35,1262598
Sat Oct 22 12:57:57 GMT 2022,35,1264967
Sat Oct 22 12:57:59 GMT 2022,35,1258630
Sat Oct 22 12:58:01 GMT 2022,35,1262887
Sat Oct 22 12:58:02 GMT 2022,35,1263243
Sat Oct 22 12:58:04 GMT 2022,35,1260674
Sat Oct 22 12:58:06 GMT 2022,35,1259234
Sat Oct 22 12:58:08 GMT 2022,35,1262199
Sat Oct 22 12:58:09 GMT 2022,35,1262186
Sat Oct 22 12:58:11 GMT 2022,35,1261074
Sat Oct 22 12:58:13 GMT 2022,35,1260987
Sat Oct 22 12:58:15 GMT 2022,0.3,1261642
Sat Oct 22 12:58:17 GMT 2022,0.3,1263164
Sat Oct 22 12:58:19 GMT 2022,0.3,1263169
Sat Oct 22 12:58:21 GMT 2022,0,1261370
Sat Oct 22 12:58:22 GMT 2022,0,1261790
Sat Oct 22 12:58:24 GMT 2022,0,1264507
Sat Oct 22 12:58:26 GMT 2022,0.3,1261634
Sat Oct 22 12:58:29 GMT 2022,0.3,1262294
Sat Oct 22 12:58:30 GMT 2022,0.3,1263577
Sat Oct 22 12:58:32 GMT 2022,0,1263720
Sat Oct 22 12:58:34 GMT 2022,0,1262608
Sat Oct 22 12:58:36 GMT 2022,0,1263421
Sat Oct 22 12:58:38 GMT 2022,0.3,1263258
Sat Oct 22 12:58:41 GMT 2022,0.3,1261915
Sat Oct 22 12:58:43 GMT 2022,0.3,1246032
