Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,1915329,0
115,1702912,0
166,1803293,0
266,1950379,0
365,1554406,0
466,2053294,0
569,2411120,0
665,1375418,0
770,923437,0
866,698564,0
966,1182694,0
1066,670346,0
1167,725203,0
1267,695281,0
1368,919696,0
1469,776777,0
1569,1804755,0
1678,1227600,0
1776,1352139,0
1876,1294778,0
1977,1249643,0
2083,1088393,0
2177,1940086,0
2282,2945456,0
2373,3210083,67665
2474,2571080,0
2574,1779286,0
2679,2491652,0
2779,3259598,117180
2876,3793013,650595
2977,2707316,0
3083,3488458,346040
3177,3014412,0
3279,2691619,0
3380,2831819,0
3479,2585231,0
3580,3103208,0
3680,1817892,0
3786,2140546,0
3893,2706894,0
3986,3434226,291808
4089,3086769,0
4197,2909583,0
4289,2958240,0
4395,2994090,0
4492,2721627,0
4598,5851319,2708901
4699,6238504,3096086
4787,4096281,953863
4898,6188314,3045896
5004,6224164,3081746
5097,4575133,1432715
5204,5499985,2357567
5303,4003070,860652
5395,2929559,0
5513,3309574,167156
5600,3123152,0
5708,2717284,0
5804,2777854,0
5902,2814838,0
6007,2492184,0
6106,4981433,1839015
6212,4274946,1132528
6309,4101332,958914
6416,4365880,1223462
6507,4185762,1043344
6608,3583494,441076
6709,1865680,0
6810,1227050,0
6911,1502855,0
7011,1294594,0
7113,1001903,0
7211,1037297,0
7312,977453,0
7412,1072206,0
7515,882700,0
7614,1186907,0
7716,1386388,0
7820,957505,0
7917,1047271,0
8016,862752,0
8122,952518,0
8218,1182021,0
8319,1091962,0
8418,1165135,0
8520,878072,0
8620,1215793,0
8721,1142620,0
8825,951245,0
8921,1395910,0
9025,1058190,0
9124,1108848,0
9224,1058190,0
9325,1103219,0
9425,1069447,0
9527,889330,0
9630,1170763,0
9725,962502,0
9831,788014,0
9927,1136991,0
10030,675440,0
10130,1091962,0
10229,1114477,0
10327,385800,0
10427,523259,0
10527,781391,0
10628,867732,0
10729,481699,0
10829,805817,0
10931,386408,0
11031,1899029,0
11137,953102,0
11236,1222327,0
11339,1361175,0
11437,1236393,0
11543,932444,0
11639,1439025,0
11735,584140,0
11836,778864,0
11936,941845,0
12037,888369,0
12137,698872,0
12238,801128,0
12339,719216,0
12439,805817,0
12540,393512,0
12640,757188,0
12741,839589,0
12841,698872,0
12945,728870,0
13042,1943748,0
13142,1026733,0
13243,1004689,0
13343,844273,0
13444,489201,0
13544,663220,0
13645,817079,0
13755,674932,0
13846,416521,0
13948,571936,0
14047,783302,0
14148,642585,0
14248,713880,0
14349,587238,0
14451,562750,0
14550,788931,0
14651,934657,0
14751,770086,0
14851,760112,0
14957,394246,0
15054,590004,0
15155,490320,0
15205,618407,0
15306,523259,0
15409,555897,0
15509,553693,0
15609,1351798,0
15708,1453114,0
15809,1379941,0
15910,732644,0
16011,710281,0
16111,917659,0
16215,912440,0
16310,616941,0
16411,495785,0
16511,1062997,0
16613,1136609,0
16713,1339623,0
16813,978218,0
16914,868677,0
17014,740605,0
17115,766399,0
17217,776293,0
17316,807496,0
17417,760093,0
17517,741067,0
17618,805123,0
17718,748250,0
17820,816545,0
17920,842664,0
18024,1224709,0
18127,881488,0
18221,709967,0
18321,1056580,0
18422,1092919,0
18523,863517,0
18624,996274,0
18724,890724,0
18824,737740,0
18926,856982,0
19026,807073,0
19127,711907,0
19228,829423,0
19328,811319,0
19429,747133,0
19530,749167,0
19631,797353,0
19732,769813,0
19832,808464,0
19937,1130654,0
20041,1095378,0
20135,1018789,0
20234,1069447,0
20335,1040775,0
20436,985017,0
20536,1102252,0
20636,1350881,0
20737,1553513,0
20837,1542256,0
20938,990646,0
21038,1063785,0
21139,1011697,0
21240,948296,0
21340,822191,0
21440,997524,0
21541,1187649,0
21641,868677,0
21742,816675,0
21846,1018789,0
21949,1078492,0
22043,779558,0
22144,852261,0
22244,805685,0
22345,833665,0
22445,859007,0
22546,809107,0
22647,777378,0
22749,742273,0
22849,797353,0
22948,866308,0
23050,845011,0
23150,950757,0
23251,830216,0
23351,948254,0
23452,1051579,0
23553,985017,0
23653,708155,0
23754,1086333,0
23854,1210164,0
23955,1162884,0
24056,845694,0
24156,715147,0
24257,888149,0
24359,1203581,0
24459,886846,0
24560,875741,0
24660,809107,0
24761,862110,0
24861,909513,0
24962,788775,0
25062,957027,0
25163,892475,0
25263,832089,0
25364,924491,0
25464,628383,0
25569,939988,0
25665,923749,0
25766,1114477,0
25866,839128,0
25968,829002,0
26068,740653,0
26168,752845,0
26269,821653,0
26372,695707,0
26470,920365,0
26570,858355,0
26671,876181,0
26772,925327,0
26872,759717,0
26973,854650,0
27074,993438,0
27174,948711,0
27275,842881,0
27375,695734,0
27480,731727,0
27576,991293,0
27676,943309,0
27777,1112867,0
27878,1122988,0
27979,951853,0
28079,1097591,0
28179,763614,0
28280,892597,0
28380,743443,0
28481,931057,0
28581,848977,0
28682,1143577,0
28782,962615,0
28883,911957,0
28983,875243,0
29084,865393,0
29185,856218,0
29284,492952,0
29390,846610,0
29486,1071542,0
29587,1097906,0
29688,1062997,0
29789,1018114,0
29889,921931,0
29990,893585,0
30089,848505,0
30190,925429,0
30290,1033075,0
30391,1102893,0
30492,938322,0
30592,1311480,0
30693,1249565,0
30793,746726,0
30894,825488,0
30994,900842,0
31094,830610,0
31194,683220,0
31295,973760,0
31396,797598,0
31497,800593,0
31598,800714,0
31699,774063,0
