datetime,cpu,mem
Sat Oct 22 20:07:49 GMT 2022,0,1202956
Sat Oct 22 20:07:50 GMT 2022,0.1,1206109
Sat Oct 22 20:07:52 GMT 2022,0.1,1207801
Sat Oct 22 20:07:53 GMT 2022,0.1,1215095
Sat Oct 22 20:07:55 GMT 2022,0.1,1208784
Sat Oct 22 20:07:56 GMT 2022,44,1204691
Sat Oct 22 20:07:57 GMT 2022,44,1197206
Sat Oct 22 20:07:59 GMT 2022,44,1198158
Sat Oct 22 20:08:00 GMT 2022,44,1195147
Sat Oct 22 20:08:02 GMT 2022,0.1,1196878
Sat Oct 22 20:08:04 GMT 2022,0.1,1195914
Sat Oct 22 20:08:06 GMT 2022,0.1,1197439
Sat Oct 22 20:08:07 GMT 2022,30,1195926
Sat Oct 22 20:08:09 GMT 2022,30,1196165
Sat Oct 22 20:08:11 GMT 2022,30,1193002
Sat Oct 22 20:08:13 GMT 2022,31,1195829
Sat Oct 22 20:08:15 GMT 2022,31,1195018
Sat Oct 22 20:08:16 GMT 2022,31,1196418
Sat Oct 22 20:08:17 GMT 2022,31,1196235
Sat Oct 22 20:08:19 GMT 2022,32,1195482
Sat Oct 22 20:08:21 GMT 2022,32,1189094
Sat Oct 22 20:08:23 GMT 2022,32,1192305
Sat Oct 22 20:08:25 GMT 2022,33,1189792
Sat Oct 22 20:08:27 GMT 2022,33,1188356
Sat Oct 22 20:08:28 GMT 2022,33,1189587
Sat Oct 22 20:08:30 GMT 2022,32,1189806
Sat Oct 22 20:08:32 GMT 2022,32,1188546
Sat Oct 22 20:08:34 GMT 2022,32,1190479
Sat Oct 22 20:08:36 GMT 2022,32,1188974
Sat Oct 22 20:08:37 GMT 2022,32,1190134
Sat Oct 22 20:08:39 GMT 2022,32,1188906
Sat Oct 22 20:08:41 GMT 2022,32,1189951
Sat Oct 22 20:08:42 GMT 2022,32,1189261
Sat Oct 22 20:08:44 GMT 2022,32,1190635
Sat Oct 22 20:08:46 GMT 2022,32,1190472
Sat Oct 22 20:08:48 GMT 2022,32,1188775
Sat Oct 22 20:08:50 GMT 2022,32,1191131
Sat Oct 22 20:08:52 GMT 2022,32,1190232
Sat Oct 22 20:08:54 GMT 2022,31,1189311
Sat Oct 22 20:08:55 GMT 2022,31,1184319
Sat Oct 22 20:08:57 GMT 2022,31,1185900
Sat Oct 22 20:08:59 GMT 2022,0,1184779
Sat Oct 22 20:09:00 GMT 2022,0,1183963
Sat Oct 22 20:09:02 GMT 2022,0,1171156
