Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
18,2136340,796247
94,2253618,913525
196,2485912,1145819
295,3161663,1821570
394,2392994,1052901
497,1686774,346681
599,1271288,0
702,2112825,772732
791,1971428,631335
892,2174867,834774
997,2324923,984830
1101,4449669,3109576
1198,4812526,3472433
1297,4456665,3116572
1397,5217795,3877702
1506,3664299,2324206
1603,3862962,2522869
1703,5504124,4164031
1806,4245544,2905451
1906,3591797,2251704
2006,3413834,2073741
2109,2653335,1313242
2210,3720010,2379917
2300,3249609,1909516
2401,3560948,2220855
2501,3553454,2213361
2602,3903846,2563753
2702,4084790,2744697
2805,2899601,1559508
2909,2341629,1001536
3003,2050299,710206
3103,1455181,115088
3204,1962789,622696
3305,1318949,0
3405,1625894,285801
3505,835802,0
3610,1045364,0
3706,1261907,0
3806,1971428,631335
3908,1458913,118820
4007,1590804,250711
4108,1499682,159589
4220,1531245,191152
4318,3201746,1861653
4415,3438589,2098496
4515,1949978,609885
4615,2835664,1495571
4722,1928407,588314
4810,2088118,748025
4915,2229315,889222
5017,1204732,0
5120,1820856,480763
5213,1419330,79237
5315,1449573,109480
5416,2615267,1275174
5515,2365435,1025342
5615,790005,0
5715,1396732,56639
5817,1228165,0
5918,1347198,7105
6017,1152327,0
6127,1559526,219433
6236,1289523,0
6332,2148630,808537
6430,1662486,322393
6522,1562732,222639
6623,1394208,54115
6723,1598028,257935
6823,1585156,245063
6925,1185566,0
7025,1293045,0
7128,1216346,0
7228,1164506,0
7327,1247908,0
7427,1566700,226607
7540,1701787,361694
7634,1097024,0
7736,1528070,187977
7838,1479734,139641
7938,1519630,179537
8040,1494695,154602
8139,1369140,29047
8233,1598583,258490
8333,1743954,403861
8434,1632964,292871
8533,2090675,750582
8634,1397820,57727
8736,1369140,29047
8838,1180849,0
8936,918964,0
9041,934520,0
9165,1165966,0
9248,1772430,432337
9343,1612923,272830
9440,1124972,0
9540,1129304,0
9643,864011,0
9741,1510691,170598
9842,1664446,324353
9942,1544096,204003
10042,1777467,437374
10143,1168137,0
10255,1361670,21577
10350,1942762,602669
10448,1591790,251697
10555,1111623,0
10651,1221720,0
10759,856841,0
10846,1079113,0
10949,696483,0
11047,1229685,0
