datetime,cpu,mem
Sat Oct 22 20:02:46 GMT 2022,18,1221389
Sat Oct 22 20:02:47 GMT 2022,6.6,1221951
Sat Oct 22 20:02:49 GMT 2022,6.6,1281150
Sat Oct 22 20:02:51 GMT 2022,6.6,1320744
Sat Oct 22 20:02:53 GMT 2022,0.1,1309970
Sat Oct 22 20:02:55 GMT 2022,0.1,1302490
Sat Oct 22 20:02:57 GMT 2022,0.1,1304013
Sat Oct 22 20:02:59 GMT 2022,0,1216664
Sat Oct 22 20:03:01 GMT 2022,0,1219024
Sat Oct 22 20:03:03 GMT 2022,0,1219453
Sat Oct 22 20:03:05 GMT 2022,35,1219148
Sat Oct 22 20:03:07 GMT 2022,35,1214960
Sat Oct 22 20:03:08 GMT 2022,35,1217333
Sat Oct 22 20:03:10 GMT 2022,36,1216742
Sat Oct 22 20:03:12 GMT 2022,36,1215938
Sat Oct 22 20:03:14 GMT 2022,36,1216271
Sat Oct 22 20:03:16 GMT 2022,35,1216222
Sat Oct 22 20:03:18 GMT 2022,35,1217662
Sat Oct 22 20:03:20 GMT 2022,35,1218085
Sat Oct 22 20:03:22 GMT 2022,36,1216640
Sat Oct 22 20:03:24 GMT 2022,36,1217156
Sat Oct 22 20:03:25 GMT 2022,36,1219593
Sat Oct 22 20:03:27 GMT 2022,35,1217696
Sat Oct 22 20:03:29 GMT 2022,35,1217956
Sat Oct 22 20:03:31 GMT 2022,35,1219049
Sat Oct 22 20:03:33 GMT 2022,36,1219238
Sat Oct 22 20:03:35 GMT 2022,36,1215070
Sat Oct 22 20:03:37 GMT 2022,36,1220699
Sat Oct 22 20:03:39 GMT 2022,36,1218780
Sat Oct 22 20:03:40 GMT 2022,36,1219388
Sat Oct 22 20:03:42 GMT 2022,36,1217533
Sat Oct 22 20:03:44 GMT 2022,36,1218180
Sat Oct 22 20:03:46 GMT 2022,36,1219500
Sat Oct 22 20:03:48 GMT 2022,36,1219897
Sat Oct 22 20:03:50 GMT 2022,36,1217540
Sat Oct 22 20:03:52 GMT 2022,36,1218996
Sat Oct 22 20:03:54 GMT 2022,36,1221529
Sat Oct 22 20:03:55 GMT 2022,-174.7,1218780
Sat Oct 22 20:03:58 GMT 2022,-174.7,1216398
Sat Oct 22 20:04:00 GMT 2022,-174.7,1205913
