Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
13,2104809,790704
85,2456938,1142833
188,2435427,1121322
294,2444654,1130549
388,2451824,1137719
489,2529226,1215121
590,2454087,1139982
696,2651802,1337697
790,3072772,1758667
891,2255354,941249
997,3284017,1969912
1099,3703611,2389506
1198,4818073,3503968
1304,3739544,2425439
1399,4414784,3100679
1498,2476724,1162619
1600,2959126,1645021
1700,3636404,2322299
1801,3632738,2318633
1903,2469436,1155331
2002,3891109,2577004
2105,3072873,1758768
2198,3124528,1810423
2298,2611424,1297319
2400,3203708,1889603
2501,3053039,1738934
2601,3373106,2059001
2707,2814994,1500889
2806,2784542,1470437
2907,3375171,2061066
3006,3083996,1769891
3108,3345229,2031124
3208,4014103,2699998
3310,2765770,1451665
3410,2724030,1409925
3509,2673699,1359594
3609,2951535,1637430
3711,2579926,1265821
3811,1364410,50305
3926,1242641,0
4014,3381109,2067004
4112,2444004,1129899
4214,3230122,1916017
4314,3463241,2149136
4413,1734991,420886
4514,2467616,1153511
4614,1765811,451706
4711,1440506,126401
4816,3347389,2033284
4916,2301977,987872
5017,2111259,797154
5119,1931281,617176
5220,1667061,352956
5320,1667061,352956
5420,1710082,395977
5527,1645551,331446
5615,1710082,395977
5716,1650106,336001
5816,898787,0
5916,1125734,0
6018,599691,0
6120,541746,0
6220,1588932,274827
6324,1423359,109254
6426,1070032,0
6527,952118,0
6623,966458,0
6723,967333,0
6824,695281,0
6924,633657,0
7025,673055,0
7125,1481270,167165
7226,1489875,175770
7326,1526784,212679
7426,877398,0
7527,975365,0
7627,995668,0
7728,1556142,242037
7828,788931,0
7929,755125,0
8029,613958,0
8132,767432,0
8231,1006460,0
8330,1368248,54143
8430,932874,0
8532,468177,0
8633,568512,0
8736,418083,0
8836,1101007,0
8939,746890,0
9041,941348,0
9143,1152880,0
9236,1052499,0
9337,1127748,0
9440,523649,0
9537,1085331,0
9637,719656,0
9738,625699,0
9838,1106841,0
9943,1070991,0
10041,1375534,61429
10145,1028537,0
10243,1893298,579193
10347,1326497,12392
10447,2108037,793932
10544,1682992,368887
10648,1025127,0
10748,1430448,116343
10851,978732,0
10948,1455529,141424
11046,1384414,70309
11148,856841,0
11247,964392,0
11343,849670,0
11448,1307482,0
11552,1101091,0
11650,1344407,30302
11756,942882,0
11845,1301386,0
11948,2133117,819012
12049,810528,0
12149,1079839,0
12251,922314,0
12350,896996,0
12453,1029112,0
12552,1279737,0
12652,749457,0
12753,1346227,32122
12853,975391,0
