datetime,cpu,mem
Sat Oct 22 17:56:45 GMT 2022,0,1146359
Sat Oct 22 17:56:46 GMT 2022,5.7,1146932
Sat Oct 22 17:56:48 GMT 2022,5.7,1135606
Sat Oct 22 17:56:49 GMT 2022,5.7,1152316
Sat Oct 22 17:56:50 GMT 2022,5.7,1156167
Sat Oct 22 17:56:51 GMT 2022,41,1150703
Sat Oct 22 17:56:53 GMT 2022,41,1147173
Sat Oct 22 17:56:54 GMT 2022,41,1148168
Sat Oct 22 17:56:55 GMT 2022,41,1158090
Sat Oct 22 17:56:57 GMT 2022,0.1,1147131
Sat Oct 22 17:56:59 GMT 2022,0.1,1145822
Sat Oct 22 17:57:00 GMT 2022,0.1,1144209
Sat Oct 22 17:57:02 GMT 2022,31,1143624
Sat Oct 22 17:57:04 GMT 2022,31,1142508
Sat Oct 22 17:57:06 GMT 2022,31,1142481
Sat Oct 22 17:57:07 GMT 2022,31,1142848
Sat Oct 22 17:57:09 GMT 2022,31,1143672
Sat Oct 22 17:57:10 GMT 2022,31,1144889
Sat Oct 22 17:57:12 GMT 2022,31,1144750
Sat Oct 22 17:57:14 GMT 2022,31,1144269
Sat Oct 22 17:57:15 GMT 2022,31,1143915
Sat Oct 22 17:57:17 GMT 2022,31,1146596
Sat Oct 22 17:57:19 GMT 2022,0,1143895
Sat Oct 22 17:57:20 GMT 2022,0,1143115
Sat Oct 22 17:57:22 GMT 2022,0,1143863
Sat Oct 22 17:57:23 GMT 2022,0,1146472
Sat Oct 22 17:57:25 GMT 2022,0.1,1143939
Sat Oct 22 17:57:27 GMT 2022,0.1,1143671
Sat Oct 22 17:57:29 GMT 2022,0.1,1145568
Sat Oct 22 17:57:31 GMT 2022,34,1145539
Sat Oct 22 17:57:32 GMT 2022,34,1144367
Sat Oct 22 17:57:34 GMT 2022,34,1144352
Sat Oct 22 17:57:36 GMT 2022,0,1143931
Sat Oct 22 17:57:37 GMT 2022,0,1144339
Sat Oct 22 17:57:39 GMT 2022,0,1145538
Sat Oct 22 17:57:40 GMT 2022,0,1145569
Sat Oct 22 17:57:42 GMT 2022,0.1,1141900
Sat Oct 22 17:57:44 GMT 2022,0.1,1142104
Sat Oct 22 17:57:46 GMT 2022,0.1,1143833
Sat Oct 22 17:57:47 GMT 2022,0,1142872
Sat Oct 22 17:57:49 GMT 2022,0,1143420
Sat Oct 22 17:57:50 GMT 2022,0,1143868
Sat Oct 22 17:57:52 GMT 2022,0,1145201
Sat Oct 22 17:57:54 GMT 2022,23,1144304
Sat Oct 22 17:57:56 GMT 2022,23,1144680
Sat Oct 22 17:57:58 GMT 2022,23,1144926
