Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
59,2655143,1028546
159,2442304,815707
261,2425407,798810
360,2519412,892815
464,2432283,805686
570,2739596,1112999
663,2846179,1219582
764,2573161,946564
864,3389290,1762693
966,4003154,2376557
1070,4492603,2866006
1167,5565898,3939301
1269,3831739,2205142
1370,3188960,1562363
1471,3484656,1858059
1572,4599531,2972934
1671,5311883,3685286
1772,3229336,1602739
1873,1601566,0
1974,2359212,732615
2074,2769898,1143301
2174,3282093,1655496
2275,2349957,723360
2379,1381130,0
2479,2960961,1334364
2577,3193874,1567277
2677,2035067,408470
2788,2524274,897677
2887,2458661,832064
2986,1383480,0
3088,1529819,0
3186,1344000,0
3292,1541222,0
3382,1751418,124821
3484,1078244,0
3583,1442043,0
3684,2679798,1053201
3784,1820856,194259
3885,2887791,1261194
3986,3371033,1744436
4086,3171647,1545050
4188,2010897,384300
4289,1455181,0
4393,1406748,0
4496,1225143,0
4594,1627263,666
4713,1112645,0
4797,1748777,122180
4896,1562732,0
5002,1468052,0
5092,1512542,0
5195,1166908,0
5294,1641603,15006
5395,1668815,42218
5495,1983124,356527
5597,749835,0
5700,1109895,0
5799,1476063,0
5897,1526882,0
5998,1324650,0
6103,1726176,99579
6205,1555562,0
6305,1656004,29407
6407,1693170,66573
6511,1526882,0
6600,1503963,0
6703,1376310,0
6806,1662232,35635
6910,528622,0
7007,1511736,0
7111,1254886,0
7203,1806515,179918
7304,1448011,0
7405,1210051,0
7504,1912777,286180
7608,1077373,0
7707,1532915,0
7807,2107659,481062
7908,1225798,0
8030,1218981,0
8121,1422086,0
8214,1081081,0
8320,1455181,0
8410,1598583,0
8514,1278833,0
8617,1765758,139161
8724,1333289,0
8813,1640134,13537
8914,1361970,0
9018,1568433,0
9115,1722953,96356
9218,646152,0
9318,803026,0
9417,1182021,0
9517,1292416,0
9620,777970,0
9719,993540,0
9820,1214271,0
9921,1357673,0
10026,1043989,0
10122,1685855,59258
10222,1520089,0
10323,1215497,0
10423,1650799,24202
10525,1453689,0
10624,1250122,0
10724,970488,0
10828,682747,0
10927,884057,0
11027,1428907,0
11130,1642418,15821
11234,1261796,0
11333,1219826,0
11438,1064773,0
11530,942882,0
11632,814288,0
11731,1070869,0
