datetime,cpu,mem
Sat Oct 22 18:29:27 GMT 2022,33,1193800
Sat Oct 22 18:29:28 GMT 2022,0.1,1192503
Sat Oct 22 18:29:30 GMT 2022,0.1,1247712
Sat Oct 22 18:29:31 GMT 2022,0.1,1265811
Sat Oct 22 18:29:33 GMT 2022,0.1,1299254
Sat Oct 22 18:29:34 GMT 2022,0.1,1286808
Sat Oct 22 18:29:36 GMT 2022,0.1,1282651
Sat Oct 22 18:29:38 GMT 2022,0.1,1289639
Sat Oct 22 18:29:40 GMT 2022,33,1281561
Sat Oct 22 18:29:41 GMT 2022,33,1280795
Sat Oct 22 18:29:43 GMT 2022,33,1281268
Sat Oct 22 18:29:45 GMT 2022,31,1198513
Sat Oct 22 18:29:47 GMT 2022,31,1194189
Sat Oct 22 18:29:48 GMT 2022,31,1199138
Sat Oct 22 18:29:50 GMT 2022,33,1197033
Sat Oct 22 18:29:52 GMT 2022,33,1198389
Sat Oct 22 18:29:54 GMT 2022,33,1195826
Sat Oct 22 18:29:55 GMT 2022,32,1199053
Sat Oct 22 18:29:57 GMT 2022,32,1197997
Sat Oct 22 18:29:59 GMT 2022,32,1200686
Sat Oct 22 18:30:01 GMT 2022,35,1195861
Sat Oct 22 18:30:03 GMT 2022,35,1197357
Sat Oct 22 18:30:04 GMT 2022,35,1199966
Sat Oct 22 18:30:06 GMT 2022,32,1198757
Sat Oct 22 18:30:08 GMT 2022,32,1194609
Sat Oct 22 18:30:10 GMT 2022,32,1199630
Sat Oct 22 18:30:11 GMT 2022,34,1197205
Sat Oct 22 18:30:13 GMT 2022,34,1196765
Sat Oct 22 18:30:15 GMT 2022,34,1196404
Sat Oct 22 18:30:17 GMT 2022,33,1196751
Sat Oct 22 18:30:19 GMT 2022,33,1198145
Sat Oct 22 18:30:20 GMT 2022,33,1200554
Sat Oct 22 18:30:22 GMT 2022,33,1194969
Sat Oct 22 18:30:24 GMT 2022,33,1199149
Sat Oct 22 18:30:26 GMT 2022,33,1200030
Sat Oct 22 18:30:27 GMT 2022,35,1198165
Sat Oct 22 18:30:29 GMT 2022,35,1197245
Sat Oct 22 18:30:31 GMT 2022,35,1199026
Sat Oct 22 18:30:33 GMT 2022,33,1197421
Sat Oct 22 18:30:34 GMT 2022,33,1198745
Sat Oct 22 18:30:36 GMT 2022,33,1198378
Sat Oct 22 18:30:38 GMT 2022,34,1197509
Sat Oct 22 18:30:40 GMT 2022,34,1196792
