datetime,cpu,mem
Sat Oct 22 14:06:35 GMT 2022,92,1326967
Sat Oct 22 14:06:37 GMT 2022,0,1335233
Sat Oct 22 14:06:38 GMT 2022,0,1248924
Sat Oct 22 14:06:40 GMT 2022,0,1270817
Sat Oct 22 14:06:43 GMT 2022,0.1,1290637
Sat Oct 22 14:06:45 GMT 2022,0.1,1312030
Sat Oct 22 14:06:48 GMT 2022,0,1315676
Sat Oct 22 14:06:50 GMT 2022,0,1328140
Sat Oct 22 14:06:53 GMT 2022,0,1340552
Sat Oct 22 14:06:56 GMT 2022,0.3,1337533
Sat Oct 22 14:06:59 GMT 2022,0.3,1340833
Sat Oct 22 14:07:02 GMT 2022,94,1342229
Sat Oct 22 14:07:04 GMT 2022,94,1351429
Sat Oct 22 14:07:07 GMT 2022,94,1353262
Sat Oct 22 14:07:09 GMT 2022,0,1355349
Sat Oct 22 14:07:12 GMT 2022,0,1369098
Sat Oct 22 14:07:15 GMT 2022,0.2,1359003
Sat Oct 22 14:07:17 GMT 2022,0.2,1363434
Sat Oct 22 14:07:20 GMT 2022,92,1359641
Sat Oct 22 14:07:23 GMT 2022,92,1365764
Sat Oct 22 14:07:26 GMT 2022,93,1363759
Sat Oct 22 14:07:28 GMT 2022,93,1369692
Sat Oct 22 14:07:31 GMT 2022,93,1368623
Sat Oct 22 14:07:34 GMT 2022,93,1373306
Sat Oct 22 14:07:37 GMT 2022,93,1374593
Sat Oct 22 14:07:39 GMT 2022,93,1377676
Sat Oct 22 14:07:42 GMT 2022,93,1379697
Sat Oct 22 14:07:45 GMT 2022,93,1383348
Sat Oct 22 14:07:47 GMT 2022,93,1379473
