Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
67,3219893,67449
169,3318834,166390
268,2799916,0
370,2543085,0
472,2923633,0
569,2730813,0
670,2050355,0
766,2385372,0
867,1890210,0
966,2998352,0
1083,2992889,0
1169,2168313,0
1272,2981083,0
1371,1654425,0
1479,3625601,473157
1576,4041466,889022
1671,3536546,384102
1777,2861086,0
1880,2488052,0
1979,2574093,0
2080,2373330,0
2181,2265779,0
2280,2387670,0
2379,3018639,0
2482,2496296,0
2576,1630485,0
2680,1358917,0
2782,1727615,0
2886,2112074,0
2982,2984210,0
3078,2353292,0
3183,3642437,489993
3284,3214331,61887
3386,2394332,0
3485,3075491,0
3590,1412015,0
3686,2576603,0
3789,1624602,0
3894,2026127,0
3993,3187683,35239
4089,2857858,0
4196,3245043,92599
4290,3001260,0
4390,2112169,0
4494,2004617,0
4588,2001069,0
4694,1852002,0
4793,2191040,0
4894,2571055,0
4994,2244249,0
5096,2248136,0
5196,2155189,0
5299,1717813,0
5398,1918576,0
5499,1158546,0
5600,1366479,0
5704,1050995,0
5801,1409499,0
5899,1366479,0
6016,726624,0
6101,2700116,0
6208,1371792,0
6318,1711116,0
6411,2099494,0
6508,2138895,0
6609,1941891,0
6708,1744888,0
6815,2093865,0
6910,1936263,0
7012,1857461,0
7117,1925005,0
7212,2144524,0
7315,2088237,0
7416,2138895,0
7520,1874347,0
7619,2082608,0
7717,2043207,0
7818,1998178,0
7921,2122009,0
8018,1930634,0
8120,1953149,0
8230,2155781,0
8341,2178296,0
8425,2200810,0
8520,1947520,0
8623,2122009,0
8728,1970035,0
8825,1773031,0
8933,1823689,0
9025,1998178,0
9132,1970035,0
9229,2015064,0
9331,2099494,0
9436,2110752,0
9527,2054465,0
9629,1739259,0
9724,1941891,0
9830,1981292,0
9930,2054465,0
10033,1936263,0
10130,2093865,0
10233,2071351,0
10328,1958048,0
10427,2691632,0
10529,2674746,0
10631,2308882,0
10730,2798577,0
10834,2564759,0
10934,2851822,0
11038,2795535,0
11130,2170752,0
11234,2288954,0
11333,2238296,0
11432,2345241,0
11538,2400122,0
11633,2030035,0
11741,2345241,0
11831,2474701,0
11930,2311469,0
12031,1988771,0
12135,2486903,0
12239,1744876,0
12344,2195182,0
12443,2305702,0
12542,2159357,0
12651,2333846,0
12753,2333846,0
12843,2221272,0
12944,2026321,0
13046,2093865,0
13151,2071351,0
13251,1964406,0
13348,2009435,0
13448,2127638,0
13553,2088237,0
13659,2138895,0
13752,2138895,0
13849,1981292,0
